candidate,candidate_category,fake_viability_rate,family,hidden_nonviability_rate,macro_viability_purity,mixed_viability_label_fraction,pair_id,variant,world_seed
identity,DIAGNOSTIC_ONLY,0.0,D,0.0,1.0,0.0,1,hidden,301
all_one,DIAGNOSTIC_ONLY,1.0,D,0.0,0.8367346938775511,1.0,1,hidden,301
random_k,ADVERSARIAL,0.9230769230769231,D,0.0,0.8362309047839077,0.9230769230769231,1,hidden,301
hash_k34_s1206,ADVERSARIAL,0.9411764705882353,D,0.0,0.8368983957219251,0.9411764705882353,1,hidden,301
best_of_10_hashes_per_world,ADAPTIVE_HASH,1.0,D,0.0,0.836489376379691,1.0,1,hidden,301
checkerboard,ADVERSARIAL,1.0,D,0.0,0.8383333333333334,1.0,1,hidden,301
trap_mixing_adversarial,ADVERSARIAL,0.5,D,0.0,0.8694444444444445,0.5,1,hidden,301
viability_signature,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,1,hidden,301
behavioral_quotient_k5,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,1,hidden,301
behavioral_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,1,hidden,301
behavioral_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,1,hidden,301
behavioral_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,1,hidden,301
predictive_quotient_k5,THEORY_INFORMED,0.0,D,0.2,0.9964912280701753,0.2,1,hidden,301
predictive_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,1,hidden,301
predictive_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,1,hidden,301
predictive_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,1,hidden,301
identity,DIAGNOSTIC_ONLY,0.0,D,0.0,1.0,0.0,6,hidden,306
all_one,DIAGNOSTIC_ONLY,1.0,D,0.0,0.9206349206349206,1.0,6,hidden,306
random_k,ADVERSARIAL,0.9230769230769231,D,0.0,0.921128702879654,0.9230769230769231,6,hidden,306
hash_k34_s1206,ADVERSARIAL,0.6764705882352942,D,0.0,0.9218004461846658,0.6764705882352942,6,hidden,306
best_of_10_hashes_per_world,ADAPTIVE_HASH,1.0,D,0.0,0.920993031358885,1.0,6,hidden,306
checkerboard,ADVERSARIAL,1.0,D,0.0,0.9203832752613241,1.0,6,hidden,306
trap_mixing_adversarial,ADVERSARIAL,0.5,D,0.0,0.9246336996336997,0.5,6,hidden,306
viability_signature,THEORY_INFORMED,0.10526315789473684,D,0.0,0.9780701754385964,0.10526315789473684,6,hidden,306
behavioral_quotient_k5,THEORY_INFORMED,0.2,D,0.0,0.9963190184049079,0.2,6,hidden,306
behavioral_quotient_k8,THEORY_INFORMED,0.125,D,0.0,0.9962871287128713,0.125,6,hidden,306
behavioral_quotient_k13,THEORY_INFORMED,0.07692307692307693,D,0.0,0.9899665551839465,0.07692307692307693,6,hidden,306
behavioral_quotient_k21,THEORY_INFORMED,0.047619047619047616,D,0.0,0.9945054945054944,0.047619047619047616,6,hidden,306
predictive_quotient_k5,THEORY_INFORMED,0.2,D,0.0,0.9960264900662251,0.2,6,hidden,306
predictive_quotient_k8,THEORY_INFORMED,0.125,D,0.0,0.9960106382978724,0.125,6,hidden,306
predictive_quotient_k13,THEORY_INFORMED,0.07692307692307693,D,0.0,0.9947552447552448,0.07692307692307693,6,hidden,306
predictive_quotient_k21,THEORY_INFORMED,0.047619047619047616,D,0.0,0.9935064935064934,0.047619047619047616,6,hidden,306
identity,DIAGNOSTIC_ONLY,0.0,D,0.0,1.0,0.0,3,hidden,303
all_one,DIAGNOSTIC_ONLY,1.0,D,0.0,0.8367346938775511,1.0,3,hidden,303
random_k,ADVERSARIAL,1.0,D,0.0,0.8341731930821698,1.0,3,hidden,303
hash_k34_s1206,ADVERSARIAL,0.6764705882352942,D,0.0,0.8368983957219251,0.6764705882352942,3,hidden,303
best_of_10_hashes_per_world,ADAPTIVE_HASH,1.0,D,0.0,0.8379120879120878,1.0,3,hidden,303
checkerboard,ADVERSARIAL,1.0,D,0.0,0.8375,1.0,3,hidden,303
trap_mixing_adversarial,ADVERSARIAL,0.5,D,0.0,0.8683035714285714,0.5,3,hidden,303
viability_signature,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,3,hidden,303
behavioral_quotient_k5,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,3,hidden,303
behavioral_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,3,hidden,303
behavioral_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,3,hidden,303
behavioral_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,3,hidden,303
predictive_quotient_k5,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,3,hidden,303
predictive_quotient_k8,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,3,hidden,303
predictive_quotient_k13,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,3,hidden,303
predictive_quotient_k21,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,3,hidden,303
identity,DIAGNOSTIC_ONLY,0.0,D,0.0,1.0,0.0,5,hidden,305
all_one,DIAGNOSTIC_ONLY,1.0,D,0.0,0.8688046647230321,1.0,5,hidden,305
random_k,ADVERSARIAL,1.0,D,0.0,0.8696994559256155,1.0,5,hidden,305
hash_k34_s1206,ADVERSARIAL,0.7058823529411765,D,0.0,0.8687165775401069,0.7352941176470589,5,hidden,305
best_of_10_hashes_per_world,ADAPTIVE_HASH,1.0,D,0.0,0.8686904761904762,1.0,5,hidden,305
checkerboard,ADVERSARIAL,0.5,D,0.0,0.8714285714285714,0.5,5,hidden,305
trap_mixing_adversarial,ADVERSARIAL,0.25,D,0.0,0.9301242236024845,0.25,5,hidden,305
viability_signature,THEORY_INFORMED,0.05,D,0.0,0.9800000000000001,0.05,5,hidden,305
behavioral_quotient_k5,THEORY_INFORMED,0.2,D,0.2,0.9678571428571429,0.4,5,hidden,305
behavioral_quotient_k8,THEORY_INFORMED,0.125,D,0.0,0.9916666666666667,0.125,5,hidden,305
behavioral_quotient_k13,THEORY_INFORMED,0.07692307692307693,D,0.0,0.9878542510121456,0.07692307692307693,5,hidden,305
behavioral_quotient_k21,THEORY_INFORMED,0.047619047619047616,D,0.0,0.9915966386554622,0.047619047619047616,5,hidden,305
predictive_quotient_k5,THEORY_INFORMED,0.2,D,0.2,0.9888270980788676,0.4,5,hidden,305
predictive_quotient_k8,THEORY_INFORMED,0.125,D,0.0,0.9923469387755102,0.125,5,hidden,305
predictive_quotient_k13,THEORY_INFORMED,0.07692307692307693,D,0.0,0.9899665551839465,0.07692307692307693,5,hidden,305
predictive_quotient_k21,THEORY_INFORMED,0.047619047619047616,D,0.0,0.987012987012987,0.047619047619047616,5,hidden,305
identity,DIAGNOSTIC_ONLY,0.0,D,0.0,1.0,0.0,0,hidden,300
all_one,DIAGNOSTIC_ONLY,1.0,D,0.0,0.927689594356261,1.0,0,hidden,300
random_k,ADVERSARIAL,0.9230769230769231,D,0.0,0.9274463770467217,0.9230769230769231,0,hidden,300
hash_k34_s1206,ADVERSARIAL,0.7647058823529411,D,0.0,0.9296512980837329,0.7647058823529411,0,hidden,300
best_of_10_hashes_per_world,ADAPTIVE_HASH,1.0,D,0.0,0.9280591662931421,1.0,0,hidden,300
checkerboard,ADVERSARIAL,1.0,D,0.0,0.9279616724738675,1.0,0,hidden,300
trap_mixing_adversarial,ADVERSARIAL,0.75,D,0.0,0.917052590266876,0.75,0,hidden,300
viability_signature,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,0,hidden,300
behavioral_quotient_k5,THEORY_INFORMED,0.2,D,0.2,0.9909502262443439,0.4,0,hidden,300
behavioral_quotient_k8,THEORY_INFORMED,0.125,D,0.0,0.9946236559139785,0.125,0,hidden,300
behavioral_quotient_k13,THEORY_INFORMED,0.0,D,0.07692307692307693,0.9807692307692307,0.07692307692307693,0,hidden,300
behavioral_quotient_k21,THEORY_INFORMED,0.0,D,0.047619047619047616,0.9880952380952381,0.047619047619047616,0,hidden,300
predictive_quotient_k5,THEORY_INFORMED,0.2,D,0.0,0.9933333333333334,0.2,0,hidden,300
predictive_quotient_k8,THEORY_INFORMED,0.125,D,0.0,0.9817073170731707,0.125,0,hidden,300
predictive_quotient_k13,THEORY_INFORMED,0.0,D,0.07692307692307693,0.9807692307692307,0.07692307692307693,0,hidden,300
predictive_quotient_k21,THEORY_INFORMED,0.0,D,0.047619047619047616,0.9880952380952381,0.047619047619047616,0,hidden,300
identity,DIAGNOSTIC_ONLY,0.0,D,0.0,1.0,0.0,4,hidden,304
all_one,DIAGNOSTIC_ONLY,1.0,D,0.0,0.9259259259259259,1.0,4,hidden,304
random_k,ADVERSARIAL,1.0,D,0.0,0.9255943186048874,1.0,4,hidden,304
hash_k34_s1206,ADVERSARIAL,0.8529411764705882,D,0.0,0.9267337714239463,0.8529411764705882,4,hidden,304
best_of_10_hashes_per_world,ADAPTIVE_HASH,1.0,D,0.0,0.926240322620796,1.0,4,hidden,304
checkerboard,ADVERSARIAL,1.0,D,0.0,0.9256097560975609,1.0,4,hidden,304
trap_mixing_adversarial,ADVERSARIAL,0.5,D,0.0,0.9236111111111112,0.5,4,hidden,304
viability_signature,THEORY_INFORMED,0.0,D,0.0,1.0,0.0,4,hidden,304
