candidate,candidate_category,family,heldout_l1_loss,heldout_nll,heldout_predictive_quality,mc_fallback_used,pair_id,raw_count,test_records,train_records,truncated,variant,world_seed
identity,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,1,5249,0,0,0,reversible,1
all_one,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,1,5249,0,0,0,reversible,1
random_k,ADVERSARIAL,A,1.0,inf,0.0,0,1,5249,0,0,0,reversible,1
hash_k34_s1206,ADVERSARIAL,A,1.0,inf,0.0,0,1,5249,0,0,0,reversible,1
best_of_10_hashes_per_world,ADAPTIVE_HASH,A,1.0,inf,0.0,0,1,5249,0,0,0,reversible,1
checkerboard,ADVERSARIAL,A,1.0,inf,0.0,0,1,5249,0,0,0,reversible,1
trap_mixing_adversarial,ADVERSARIAL,A,1.0,inf,0.0,0,1,5249,0,0,0,reversible,1
viability_signature,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5249,0,0,0,reversible,1
behavioral_quotient_k5,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5249,0,0,0,reversible,1
behavioral_quotient_k8,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5249,0,0,0,reversible,1
behavioral_quotient_k13,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5249,0,0,0,reversible,1
behavioral_quotient_k21,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5249,0,0,0,reversible,1
predictive_quotient_k5,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5249,0,0,0,reversible,1
predictive_quotient_k8,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5249,0,0,0,reversible,1
predictive_quotient_k13,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5249,0,0,0,reversible,1
predictive_quotient_k21,THEORY_INFORMED,A,1.0,inf,0.0,0,1,5249,0,0,0,reversible,1
identity,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,1,5337,0,0,0,irreversible,1
all_one,DIAGNOSTIC_ONLY,A,1.0,inf,0.0,0,1,5337,0,0,0,irreversible,1
random_k,ADVERSARIAL,A,1.0,inf,0.0,0,1,5337,0,0,0,irreversible,1
hash_k34_s1206,ADVERSARIAL,A,1.0,inf,0.0,0,1,5337,0,0,0,irreversible,1
