adaptive_idx,bounded_cost_sustainment,candidate,candidate_category,compression_ratio,fake_viability_rate,fake_viability_rejection_score,family,heldout_l1_loss,heldout_nll,heldout_predictive_quality,hidden_nonviability_rate,horizon_coherence,irreversibility_sensitivity,label_entropy,macro_viability_purity,mc_fallback_used,mean_fiber_size,mixed_viability_label_fraction,norm_irrev_sensitivity,pair_id,quotient_gate_pass,raw_I_mean,recoverability_preservation,recoverability_purity,singleton_fraction,truncated,truncation_fraction,unsustainable_branch_penalty,variant,world_seed
,,identity,DIAGNOSTIC_ONLY,1.0,0.0,1.0,A,1.0,inf,0.0,0.0,1.0,0.0,5.837730447165968,1.0,0,1.0,0.0,0.0,1,0,0.0,1.0,1.0,1.0,0,0.0,,reversible,1
,,all_one,DIAGNOSTIC_ONLY,0.0029154518950437317,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.0,0.7784256559766763,0,343.0,1.0,0.0,1,0,0.0,0.8349881830247199,0.7288629737609329,0.0,0,0.0,,reversible,1
,,random_k,ADVERSARIAL,0.037900874635568516,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,2.5592201783023105,0.7782481230930084,0,26.384615384615383,1.0,0.0,1,1,0.0,0.8388029570543065,0.7280513445344491,0.0,0,0.0,,reversible,1
,,hash_k34_s1206,ADVERSARIAL,0.09912536443148688,0.9705882352941176,0.02941176470588236,A,1.0,inf,0.0,0.0,1.0,0.0,3.5259755701090882,0.779144385026738,0,10.088235294117647,0.9705882352941176,0.0,1,1,0.0,0.8381771988908515,0.7296791443850267,0.0,0,0.0,,reversible,1
0,,best_of_10_hashes_per_world,ADAPTIVE_HASH,0.0058309037900874635,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.6931089307033735,0.778306698401904,0,171.5,1.0,0.0,1,1,0.0,0.835034321064837,0.7289187351241075,0.0,0,0.0,,reversible,1
,,checkerboard,ADVERSARIAL,0.0058309037900874635,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.6929389195380611,0.7782142857142857,0,171.5,1.0,0.0,1,1,0.0,0.8349829650931443,0.7286904761904762,0.0,0,0.0,,reversible,1
,,trap_mixing_adversarial,ADVERSARIAL,0.011661807580174927,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,1.3284760744713622,0.8061301443654385,0,85.75,1.0,0.0,1,1,0.0,0.8578348445923966,0.7562486533074768,0.0,0,0.0,,reversible,1
,,viability_signature,THEORY_INFORMED,0.0728862973760933,0.0,1.0,A,1.0,inf,0.0,0.12,1.0,0.0,2.830613101416443,0.9444175824175823,0,13.72,0.16,0.0,1,1,0.0,1.0,1.0,0.16,0,0.0,,reversible,1
,,behavioral_quotient_k5,THEORY_INFORMED,0.014577259475218658,0.0,1.0,A,1.0,inf,0.0,0.4,1.0,0.0,1.4970249966966762,0.9,0,68.6,0.4,0.0,1,1,0.0,0.9577445081852526,0.9459459459459459,0.0,0,0.0,,reversible,1
,,behavioral_quotient_k8,THEORY_INFORMED,0.023323615160349854,0.25,0.75,A,1.0,inf,0.0,0.125,1.0,0.0,1.9211083737594223,0.9387019230769231,0,42.875,0.375,0.0,1,1,0.0,0.9874018623333941,0.9855769230769231,0.0,0,0.0,,reversible,1
,,behavioral_quotient_k13,THEORY_INFORMED,0.037900874635568516,0.15384615384615385,0.8461538461538461,A,1.0,inf,0.0,0.15384615384615385,1.0,0.0,2.3783235409098697,0.9423238526179702,0,26.384615384615383,0.3076923076923077,0.0,1,1,0.0,0.9846957827569387,0.9817388493859082,0.0,0,0.0,,reversible,1
,,behavioral_quotient_k21,THEORY_INFORMED,0.061224489795918366,0.047619047619047616,0.9523809523809523,A,1.0,inf,0.0,0.14285714285714285,1.0,0.0,2.8101858777030544,0.9304089451872702,0,16.333333333333332,0.23809523809523808,0.0,1,1,0.0,1.0,1.0,0.0,0,0.0,,reversible,1
,,predictive_quotient_k5,THEORY_INFORMED,0.014577259475218658,0.0,1.0,A,1.0,inf,0.0,0.4,1.0,0.0,1.5014961215899871,0.8927234927234927,0,68.6,0.4,0.0,1,1,0.0,0.9527511827492493,0.9386694386694387,0.0,0,0.0,,reversible,1
,,predictive_quotient_k8,THEORY_INFORMED,0.023323615160349854,0.125,0.875,A,1.0,inf,0.0,0.25,1.0,0.0,1.9371640077576766,0.9476036835383478,0,42.875,0.375,0.0,1,1,0.0,0.9761957876515538,0.9735455737043759,0.0,0,0.0,,reversible,1
,,predictive_quotient_k13,THEORY_INFORMED,0.037900874635568516,0.23076923076923078,0.7692307692307692,A,1.0,inf,0.0,0.15384615384615385,1.0,0.0,2.4000527796063484,0.9441661279896574,0,26.384615384615383,0.38461538461538464,0.0,1,1,0.0,0.9808148897747078,0.9769917582417583,0.0,0,0.0,,reversible,1
,,predictive_quotient_k21,THEORY_INFORMED,0.061224489795918366,0.09523809523809523,0.9047619047619048,A,1.0,inf,0.0,0.14285714285714285,1.0,0.0,2.8780989620673285,0.9315143873641412,0,16.333333333333332,0.23809523809523808,0.0,1,1,0.0,1.0,1.0,0.0,0,0.0,,reversible,1
,,identity,DIAGNOSTIC_ONLY,1.0,0.0,1.0,A,1.0,inf,0.0,0.0,1.0,0.0,5.837730447165968,1.0,0,1.0,0.0,0.0,1,0,0.0,1.0,1.0,1.0,0,0.0,,irreversible,1
,,all_one,DIAGNOSTIC_ONLY,0.0029154518950437317,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.0,0.6763848396501457,0,343.0,1.0,0.0,1,0,0.0,0.8158794443789485,0.6559766763848397,0.0,0,0.0,,irreversible,1
,,random_k,ADVERSARIAL,0.037900874635568516,0.9230769230769231,0.07692307692307687,A,1.0,inf,0.0,0.07692307692307693,1.0,0.0,2.5592201783023105,0.6799252571943151,0,26.384615384615383,1.0,0.0,1,1,0.0,0.8199678246005545,0.6550235539308311,0.0,0,0.0,,irreversible,1
,,hash_k34_s1206,ADVERSARIAL,0.09912536443148688,0.8823529411764706,0.11764705882352944,A,1.0,inf,0.0,0.029411764705882353,1.0,0.0,3.5259755701090882,0.6855614973262032,0,10.088235294117647,1.0,0.0,1,1,0.0,0.8221044995933441,0.6655080213903742,0.0,0,0.0,,irreversible,1
0,,best_of_10_hashes_per_world,ADAPTIVE_HASH,0.0058309037900874635,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.6931089307033735,0.6763345800748044,0,171.5,1.0,0.0,1,1,0.0,0.815880007158725,0.6559503570214213,0.0,0,0.0,,irreversible,1
,,checkerboard,ADVERSARIAL,0.0058309037900874635,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.6929389195380611,0.6763095238095238,0,171.5,1.0,0.0,1,1,0.0,0.8158825317861753,0.6558333333333333,0.0,0,0.0,,irreversible,1
