H_cond_viable,H_recoverability_weighted,H_viability_weighted,N_eff_cond,N_eff_recoverability_weighted,Pi_mean,Pi_min,adaptive_idx,candidate_C,condition,estimator_mode,family,horizon_T,num_all_trajectories,num_viable_macro_classes,num_viable_trajectories,p_viable,pair_id,start_state,truncated,world_id,world_seed
1.6094379124341005,1.6094379124341005,0.32188758248682015,5.000000000000001,5.000000000000001,1.0,1.0,,identity,reversible,exact,A,2,25,5,5,0.2,0,start,0,A_0_reversible,0
2.70805020110221,2.6994975711448848,0.3249660241322652,15.0,14.872257596064102,0.9166666666666666,0.6666666666666666,,identity,reversible,exact,A,3,125,15,15,0.12,0,start,0,A_0_reversible,0
3.610917912644226,3.5973046367706165,0.2137663404285382,37.000000000000064,36.49972173170997,0.8648648648648649,0.4594594594594595,,identity,reversible,exact,A,4,625,37,37,0.0592,0,start,0,A_0_reversible,0
4.330733340286325,4.313962078376289,0.10532343483576342,75.99999999999953,74.7360130501426,0.8355263157894737,0.34210526315789475,,identity,reversible,exact,A,5,3125,76,76,0.02432,0,start,0,A_0_reversible,0
4.919980925828137,4.900899961375829,0.0431383927576611,137.0000000000016,134.41068969883096,0.8175182481751825,0.27007299270072993,,identity,reversible,exact,A,6,15625,137,137,0.008768,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,identity,reversible,truncated,A,8,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,identity,reversible,truncated,A,10,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,,all_one,reversible,exact,A,2,25,1,5,0.2,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.9166666666666666,0.6666666666666666,,all_one,reversible,exact,A,3,125,1,15,0.12,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.8648648648648649,0.4594594594594595,,all_one,reversible,exact,A,4,625,1,37,0.0592,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.8355263157894737,0.34210526315789475,,all_one,reversible,exact,A,5,3125,1,76,0.02432,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.8175182481751825,0.27007299270072993,,all_one,reversible,exact,A,6,15625,1,137,0.008768,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,all_one,reversible,truncated,A,8,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,all_one,reversible,truncated,A,10,50000,0,0,0.0,0,start,1,A_0_reversible,0
1.6094379124341005,1.6094379124341005,0.32188758248682015,5.000000000000001,5.000000000000001,1.0,1.0,,random_k,reversible,exact,A,2,25,5,5,0.2,0,start,0,A_0_reversible,0
2.615630577027551,2.6125819941830066,0.3138756692433061,13.675837328373255,13.634208891419295,0.9166666666666666,0.6666666666666666,,random_k,reversible,exact,A,3,125,14,15,0.12,0,start,0,A_0_reversible,0
3.4469064102592504,3.4392047348734076,0.20405685948734764,31.40309359701832,31.16216612750308,0.8648648648648649,0.4594594594594595,,random_k,reversible,exact,A,4,625,33,37,0.0592,0,start,0,A_0_reversible,0
4.116315784235697,4.104825873093171,0.10010879987261216,61.332862006560035,60.63218593337241,0.8355263157894737,0.34210526315789475,,random_k,reversible,exact,A,5,3125,66,76,0.02432,0,start,0,A_0_reversible,0
4.667643462371037,4.653449170656638,0.04092589787806925,106.44660121556852,104.94633986855514,0.8175182481751825,0.27007299270072993,,random_k,reversible,exact,A,6,15625,117,137,0.008768,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,random_k,reversible,truncated,A,8,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,random_k,reversible,truncated,A,10,50000,0,0,0.0,0,start,1,A_0_reversible,0
1.3321790402101223,1.3321790402101223,0.2664358080420245,3.7892914162759954,3.7892914162759954,1.0,1.0,,checkerboard,reversible,exact,A,2,25,4,5,0.2,0,start,0,A_0_reversible,0
1.8943120247335319,1.9580957344185173,0.2273174429680238,6.6479731898692584,7.085820924695336,0.9166666666666666,0.6666666666666666,,checkerboard,reversible,exact,A,3,125,8,15,0.12,0,start,0,A_0_reversible,0
2.5161469824982423,2.5829504226071527,0.14895590136389594,12.380801200618054,13.236132791468625,0.8648648648648649,0.4594594594594595,,checkerboard,reversible,exact,A,4,625,15,37,0.0592,0,start,0,A_0_reversible,0
3.0894854556428575,3.1451925456601044,0.0751362862812343,21.96577270308607,23.224146751474557,0.8355263157894737,0.34210526315789475,,checkerboard,reversible,exact,A,5,3125,26,76,0.02432,0,start,0,A_0_reversible,0
3.593424672833904,3.6374869359351454,0.03150714753140767,36.35837850831207,37.996229682988535,0.8175182481751825,0.27007299270072993,,checkerboard,reversible,exact,A,6,15625,42,137,0.008768,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,checkerboard,reversible,truncated,A,8,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,checkerboard,reversible,truncated,A,10,50000,0,0,0.0,0,start,1,A_0_reversible,0
1.6094379124341005,1.6094379124341005,0.32188758248682015,5.000000000000001,5.000000000000001,1.0,1.0,,trap_mixing_adversarial,reversible,exact,A,2,25,5,5,0.2,0,start,0,A_0_reversible,0
2.488327743368588,2.501515757445753,0.29859932920423055,12.041123426403459,12.20097366847145,0.9166666666666666,0.6666666666666666,,trap_mixing_adversarial,reversible,exact,A,3,125,13,15,0.12,0,start,0,A_0_reversible,0
3.2152729587474917,3.2308751566908365,0.19034415915785152,24.91009041034653,25.30179031556273,0.8648648648648649,0.4594594594594595,,trap_mixing_adversarial,reversible,exact,A,4,625,29,37,0.0592,0,start,0,A_0_reversible,0
3.8096378038949963,3.8238455168620273,0.09265039139072631,45.13408851441776,45.77991770308961,0.8355263157894737,0.34210526315789475,,trap_mixing_adversarial,reversible,exact,A,5,3125,56,76,0.02432,0,start,0,A_0_reversible,0
4.304340929964414,4.31669362177149,0.03774046127392798,74.0204147356959,74.94043678201469,0.8175182481751825,0.27007299270072993,,trap_mixing_adversarial,reversible,exact,A,6,15625,97,137,0.008768,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,trap_mixing_adversarial,reversible,truncated,A,8,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,trap_mixing_adversarial,reversible,truncated,A,10,50000,0,0,0.0,0,start,1,A_0_reversible,0
1.6094379124341005,1.6094379124341005,0.32188758248682015,5.000000000000001,5.000000000000001,1.0,1.0,,hash_k34_s1206,reversible,exact,A,2,25,5,5,0.2,0,start,0,A_0_reversible,0
2.70805020110221,2.6994975711448848,0.3249660241322652,15.0,14.872257596064102,0.9166666666666666,0.6666666666666666,,hash_k34_s1206,reversible,exact,A,3,125,15,15,0.12,0,start,0,A_0_reversible,0
3.610917912644226,3.5973046367706165,0.2137663404285382,37.000000000000064,36.49972173170997,0.8648648648648649,0.4594594594594595,,hash_k34_s1206,reversible,exact,A,4,625,37,37,0.0592,0,start,0,A_0_reversible,0
4.330733340286325,4.313962078376289,0.10532343483576342,75.99999999999953,74.7360130501426,0.8355263157894737,0.34210526315789475,,hash_k34_s1206,reversible,exact,A,5,3125,76,76,0.02432,0,start,0,A_0_reversible,0
4.919980925828137,4.900899961375829,0.0431383927576611,137.0000000000016,134.41068969883096,0.8175182481751825,0.27007299270072993,,hash_k34_s1206,reversible,exact,A,6,15625,137,137,0.008768,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,hash_k34_s1206,reversible,truncated,A,8,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,hash_k34_s1206,reversible,truncated,A,10,50000,0,0,0.0,0,start,1,A_0_reversible,0
1.6094379124341005,1.6094379124341005,0.32188758248682015,5.000000000000001,5.000000000000001,1.0,1.0,7,best_of_10_hashes_per_world,reversible,exact,A,2,25,5,5,0.2,0,start,0,A_0_reversible,0
2.615630577027551,2.6125819941830066,0.3138756692433061,13.675837328373255,13.634208891419295,0.9166666666666666,0.6666666666666666,7,best_of_10_hashes_per_world,reversible,exact,A,3,125,14,15,0.12,0,start,0,A_0_reversible,0
3.4469064102592504,3.4392047348734076,0.20405685948734764,31.40309359701832,31.16216612750308,0.8648648648648649,0.4594594594594595,7,best_of_10_hashes_per_world,reversible,exact,A,4,625,33,37,0.0592,0,start,0,A_0_reversible,0
4.116315784235697,4.104825873093171,0.10010879987261216,61.332862006560035,60.63218593337241,0.8355263157894737,0.34210526315789475,7,best_of_10_hashes_per_world,reversible,exact,A,5,3125,66,76,0.02432,0,start,0,A_0_reversible,0
4.667643462371037,4.653449170656638,0.04092589787806925,106.44660121556852,104.94633986855514,0.8175182481751825,0.27007299270072993,7,best_of_10_hashes_per_world,reversible,exact,A,6,15625,117,137,0.008768,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,7,best_of_10_hashes_per_world,reversible,truncated,A,8,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,7,best_of_10_hashes_per_world,reversible,truncated,A,10,50000,0,0,0.0,0,start,1,A_0_reversible,0
1.3321790402101223,1.3321790402101223,0.2664358080420245,3.7892914162759954,3.7892914162759954,1.0,1.0,,behavioral_quotient_k5,reversible,exact,A,2,25,4,5,0.2,0,start,0,A_0_reversible,0
1.7670091910745693,1.8060107295314336,0.21204110292894832,5.853320991802024,6.086119761831134,0.9166666666666666,0.6666666666666666,,behavioral_quotient_k5,reversible,exact,A,3,125,7,15,0.12,0,start,0,A_0_reversible,0
2.1654528458255,2.207857413672783,0.1281948084728696,8.718549181633916,9.09620609244922,0.8648648648648649,0.4594594594594595,,behavioral_quotient_k5,reversible,exact,A,4,625,11,37,0.0592,0,start,0,A_0_reversible,0
2.5272315231906664,2.560954832178639,0.06146227064399701,12.518800109635452,12.948174748871587,0.8355263157894737,0.34210526315789475,,behavioral_quotient_k5,reversible,exact,A,5,3125,16,76,0.02432,0,start,0,A_0_reversible,0
2.847078047911342,2.8708623328736342,0.024963180324086644,17.237341498329478,17.652233739911246,0.8175182481751825,0.27007299270072993,,behavioral_quotient_k5,reversible,exact,A,6,15625,22,137,0.008768,0,start,0,A_0_reversible,0
