candidate_C,compression_ratio,condition,family,label_entropy,macro_recoverability_mixing_rate,macro_viability_mixing_rate,mean_fiber_size,num_macro_labels,num_micro_states,pair_id,singleton_fraction,trap_mixing_rate,world_id,world_seed
identity,1.0,reversible,A,6.340359303727763,0.0,0.0,1.0,567,567,2,1.0,0.0,A_2_reversible,2
all_one,0.001763668430335097,reversible,A,0.0,1.0,1.0,567.0,1,567,2,0.0,1.0,A_2_reversible,2
random_k,0.02292768959435626,reversible,A,2.5423289358788614,1.0,1.0,43.61538461538461,13,567,2,0.0,1.0,A_2_reversible,2
hash_k34_s1206,0.059964726631393295,reversible,A,3.5234439856557835,1.0,1.0,16.676470588235293,34,567,2,0.0,1.0,A_2_reversible,2
trap_mixing_adversarial,0.007054673721340388,reversible,A,0.9223011154613077,1.0,1.0,141.75,4,567,2,0.0,0.5,A_2_reversible,2
best_of_10_hashes_per_world,0.059964726631393295,reversible,A,3.4918689021373135,0.9411764705882353,0.9411764705882353,16.676470588235293,34,567,2,0.0,0.9411764705882353,A_2_reversible,2
viability_signature,0.026455026455026454,reversible,A,1.952383140264562,0.0,0.13333333333333333,37.8,15,567,2,0.0,0.13333333333333333,A_2_reversible,2
behavioral_quotient_k5,0.008818342151675485,reversible,A,1.196276753318929,0.2,0.4,113.4,5,567,2,0.0,0.4,A_2_reversible,2
predictive_quotient_k5,0.008818342151675485,reversible,A,1.1758114894408684,0.2,0.4,113.4,5,567,2,0.0,0.4,A_2_reversible,2
predictive_quotient_k8,0.014109347442680775,reversible,A,1.4426075428760932,0.125,0.25,70.875,8,567,2,0.0,0.25,A_2_reversible,2
identity,1.0,reversible,A,6.340359303727763,0.0,0.0,1.0,567,567,1,1.0,0.0,A_1_reversible,1
all_one,0.001763668430335097,reversible,A,0.0,1.0,1.0,567.0,1,567,1,0.0,1.0,A_1_reversible,1
random_k,0.02292768959435626,reversible,A,2.559137944559846,1.0,1.0,43.61538461538461,13,567,1,0.0,1.0,A_1_reversible,1
hash_k34_s1206,0.059964726631393295,reversible,A,3.5234439856557835,1.0,1.0,16.676470588235293,34,567,1,0.0,1.0,A_1_reversible,1
trap_mixing_adversarial,0.007054673721340388,reversible,A,0.9232763374623556,1.0,1.0,141.75,4,567,1,0.0,0.5,A_1_reversible,1
best_of_10_hashes_per_world,0.037037037037037035,reversible,A,3.0209603696202785,0.9523809523809523,0.9523809523809523,27.0,21,567,1,0.0,0.9523809523809523,A_1_reversible,1
viability_signature,0.026455026455026454,reversible,A,1.938028052707846,0.0,0.13333333333333333,37.8,15,567,1,0.0,0.13333333333333333,A_1_reversible,1
behavioral_quotient_k5,0.008818342151675485,reversible,A,1.1478017131295115,0.2,0.6,113.4,5,567,1,0.0,0.4,A_1_reversible,1
predictive_quotient_k5,0.008818342151675485,reversible,A,1.133729649434888,0.4,0.6,113.4,5,567,1,0.0,0.4,A_1_reversible,1
predictive_quotient_k8,0.014109347442680775,reversible,A,1.7653616942486838,0.375,0.5,70.875,8,567,1,0.0,0.375,A_1_reversible,1
identity,1.0,irreversible,A,6.340359303727763,0.0,0.0,1.0,567,567,1,1.0,0.0,A_1_irreversible,1
all_one,0.001763668430335097,irreversible,A,0.0,1.0,1.0,567.0,1,567,1,0.0,1.0,A_1_irreversible,1
random_k,0.02292768959435626,irreversible,A,2.559137944559846,1.0,1.0,43.61538461538461,13,567,1,0.0,1.0,A_1_irreversible,1
hash_k34_s1206,0.059964726631393295,irreversible,A,3.5234439856557835,1.0,1.0,16.676470588235293,34,567,1,0.0,1.0,A_1_irreversible,1
trap_mixing_adversarial,0.005291005291005291,irreversible,A,0.7498763393946101,1.0,1.0,189.0,3,567,1,0.0,0.6666666666666666,A_1_irreversible,1
best_of_10_hashes_per_world,0.003527336860670194,irreversible,A,0.6924611526112329,1.0,1.0,283.5,2,567,1,0.0,1.0,A_1_irreversible,1
viability_signature,0.02292768959435626,irreversible,A,1.8518700656914182,0.0,0.07692307692307693,43.61538461538461,13,567,1,0.0,0.23076923076923078,A_1_irreversible,1
