Delta_H_cond_ci_high,Delta_H_cond_ci_low,Delta_H_cond_mean,Delta_H_cond_se,Delta_H_recovery_ci_high,Delta_H_recovery_ci_low,Delta_H_recovery_mean,Delta_H_recovery_se,Delta_H_weighted_ci_high,Delta_H_weighted_ci_low,Delta_H_weighted_mean,Delta_H_weighted_se,Delta_p_viable_ci_high,Delta_p_viable_ci_low,Delta_p_viable_mean,Delta_p_viable_se,candidate_C,horizon_T,pair_id,start_state
1.7917594692280547,1.7917594692280547,1.7917594692280547,0.0,1.7917594692280547,1.7917594692280547,1.7917594692280547,0.0,0.43002227261473314,0.43002227261473314,0.43002227261473314,0.0,0.2246153846153846,0.2246153846153846,0.2246153846153846,0.0,identity,2,2,start
2.995732273553991,2.995732273553991,2.995732273553991,0.0,2.9877474524103893,2.9877474524103893,2.9877474524103893,0.0,0.47931716376863853,0.47931716376863853,0.47931716376863853,0.0,0.15773242630385487,0.15773242630385487,0.15773242630385487,0.0,identity,3,2,start
4.007333185232473,4.007333185232473,4.007333185232473,0.0,3.9949272243245515,3.9949272243245515,3.9949272243245515,0.0,0.3526453203004576,0.3526453203004576,0.3526453203004576,0.0,0.08765337954939341,0.08765337954939341,0.08765337954939341,0.0,identity,4,2,start
4.912654885736057,4.912654885736057,4.912654885736057,0.0,4.898513587858044,4.898513587858044,4.898513587858044,0.0,0.2137987406272332,0.2137987406272332,0.2137987406272332,0.0,0.043466065476511516,0.043466065476511516,0.043466065476511516,0.0,identity,5,2,start
5.802118375377085,5.802118375377085,5.802118375377085,0.0,5.788346387889063,5.788346387889063,5.788346387889063,0.0,0.12291207566398818,0.12291207566398818,0.12291207566398818,0.0,0.02119915283198635,0.02105456145372794,0.021126857142857145,3.688555567816588e-05,identity,6,2,start
3.556579423936489,3.3602334306969808,3.458406427316735,0.050088263581507156,3.551844295948554,3.3534406284350866,3.4526424621918204,0.05061318048812949,0.024909575265762006,0.019543106227886825,0.022226340746824415,0.0013689972035395865,0.007004869131851401,0.0057951308681486,0.0064,0.0003086066999241838,identity,8,2,start
2.74870444469963,2.3683118626648136,2.558508153682222,0.09703892398847364,2.748368133373197,2.3676402242372454,2.5580041788052212,0.09712446661631419,0.008763725532009372,0.005131112668142969,0.00694741910007617,0.00092668695506796,0.003161142857142857,0.002153142857142857,0.002657142857142857,0.0002571428571428571,identity,10,2,start
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2246153846153846,0.2246153846153846,0.2246153846153846,0.0,all_one,2,2,start
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15773242630385487,0.15773242630385487,0.15773242630385487,0.0,all_one,3,2,start
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08765337954939341,0.08765337954939341,0.08765337954939341,0.0,all_one,4,2,start
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043466065476511516,0.043466065476511516,0.043466065476511516,0.0,all_one,5,2,start
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021177481673778607,0.021019089754792823,0.021098285714285715,4.0406101782088426e-05,all_one,6,2,start
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006734205952793489,0.0056657940472065104,0.0062,0.0002725540575476988,all_one,8,2,start
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030846649862252646,0.0021724778709175923,0.0026285714285714285,0.00023270079472134507,all_one,10,2,start
1.7917594692280547,1.7917594692280547,1.7917594692280547,0.0,1.7917594692280547,1.7917594692280547,1.7917594692280547,0.0,0.43002227261473314,0.43002227261473314,0.43002227261473314,0.0,0.2246153846153846,0.2246153846153846,0.2246153846153846,0.0,random_k,2,2,start
2.8571028374420018,2.8571028374420018,2.8571028374420018,0.0,2.858548621791381,2.858548621791381,2.858548621791381,0.0,0.4571364539907203,0.4571364539907203,0.4571364539907203,0.0,0.15773242630385487,0.15773242630385487,0.15773242630385487,0.0,random_k,3,2,start
3.7866631638417774,3.7866631638417774,3.7866631638417774,0.0,3.7884293932751354,3.7884293932751354,3.7884293932751354,0.0,0.3332263584180764,0.3332263584180764,0.3332263584180764,0.0,0.08765337954939341,0.08765337954939341,0.08765337954939341,0.0,random_k,4,2,start
4.652625053074762,4.652625053074762,4.652625053074762,0.0,4.655436394771085,4.655436394771085,4.655436394771085,0.0,0.20248224230981365,0.20248224230981365,0.20248224230981365,0.0,0.043466065476511516,0.043466065476511516,0.043466065476511516,0.0,random_k,5,2,start
5.549771980385512,5.549771980385512,5.549771980385512,0.0,5.555776355114467,5.555776355114467,5.555776355114467,0.0,0.11756636963248669,0.11756636963248669,0.11756636963248669,0.0,0.02119915283198635,0.02105456145372794,0.021126857142857145,3.688555567816588e-05,random_k,6,2,start
3.556579423936489,3.3602334306969808,3.458406427316735,0.050088263581507156,3.551844295948554,3.3534406284350866,3.4526424621918204,0.05061318048812949,0.024909575265762006,0.019543106227886825,0.022226340746824415,0.0013689972035395865,0.007004869131851401,0.0057951308681486,0.0064,0.0003086066999241838,random_k,8,2,start
2.74870444469963,2.3683118626648136,2.558508153682222,0.09703892398847364,2.748368133373197,2.3676402242372454,2.5580041788052212,0.09712446661631419,0.008763725532009372,0.005131112668142969,0.00694741910007617,0.00092668695506796,0.003161142857142857,0.002153142857142857,0.002657142857142857,0.0002571428571428571,random_k,10,2,start
1.7917594692280547,1.7917594692280547,1.7917594692280547,0.0,1.7917594692280547,1.7917594692280547,1.7917594692280547,0.0,0.43002227261473314,0.43002227261473314,0.43002227261473314,0.0,0.2246153846153846,0.2246153846153846,0.2246153846153846,0.0,hash_k34_s1206,2,2,start
2.995732273553991,2.995732273553991,2.995732273553991,0.0,2.9877474524103893,2.9877474524103893,2.9877474524103893,0.0,0.47931716376863853,0.47931716376863853,0.47931716376863853,0.0,0.15773242630385487,0.15773242630385487,0.15773242630385487,0.0,hash_k34_s1206,3,2,start
4.007333185232473,4.007333185232473,4.007333185232473,0.0,3.9949272243245515,3.9949272243245515,3.9949272243245515,0.0,0.3526453203004576,0.3526453203004576,0.3526453203004576,0.0,0.08765337954939341,0.08765337954939341,0.08765337954939341,0.0,hash_k34_s1206,4,2,start
4.912654885736057,4.912654885736057,4.912654885736057,0.0,4.898513587858044,4.898513587858044,4.898513587858044,0.0,0.2137987406272332,0.2137987406272332,0.2137987406272332,0.0,0.043466065476511516,0.043466065476511516,0.043466065476511516,0.0,hash_k34_s1206,5,2,start
5.802118375377085,5.802118375377085,5.802118375377085,0.0,5.788346387889063,5.788346387889063,5.788346387889063,0.0,0.12291207566398818,0.12291207566398818,0.12291207566398818,0.0,0.021211428571428572,0.02109942857142857,0.02115542857142857,2.857142857142857e-05,hash_k34_s1206,6,2,start
3.4205155772916687,3.2651996263447893,3.342857601818229,0.039621416057877376,3.410982282714442,3.2582888395515672,3.3346355611330045,0.03895240897012109,0.020852532986048264,0.017261775347148567,0.019057154166598415,0.0009160096017601267,0.006103530832378808,0.005267897739049765,0.005685714285714286,0.00021317170748189895,hash_k34_s1206,8,2,start
2.7826500675011525,2.3529413555510423,2.5677957115260974,0.10961956937502802,2.7819631299764653,2.352106516186195,2.5670348230813302,0.10965729943629349,0.009401578995337126,0.005072219528001424,0.0072368992616692746,0.0011044284355448217,0.0033275143073561338,0.002158199978358152,0.002742857142857143,0.00029829447168315857,hash_k34_s1206,10,2,start
1.5607104090414063,1.5607104090414063,1.5607104090414063,0.0,1.5607104090414063,1.5607104090414063,1.5607104090414063,0.0,0.3745704981699375,0.3745704981699375,0.3745704981699375,0.0,0.2246153846153846,0.2246153846153846,0.2246153846153846,0.0,trap_mixing_adversarial,2,2,start
2.510529247162029,2.510529247162029,2.510529247162029,0.0,2.5213418853027583,2.5213418853027583,2.5213418853027583,0.0,0.4016846795459247,0.4016846795459247,0.4016846795459247,0.0,0.15773242630385487,0.15773242630385487,0.15773242630385487,0.0,trap_mixing_adversarial,3,2,start
3.38337753151599,3.38337753151599,3.38337753151599,0.0,3.392345290098023,3.392345290098023,3.392345290098023,0.0,0.29773722277340714,0.29773722277340714,0.29773722277340714,0.0,0.08765337954939341,0.08765337954939341,0.08765337954939341,0.0,trap_mixing_adversarial,4,2,start
4.185720905964715,4.185720905964715,4.185720905964715,0.0,4.190207736335588,4.190207736335588,4.190207736335588,0.0,0.18216257382758438,0.18216257382758438,0.18216257382758438,0.0,0.043466065476511516,0.043466065476511516,0.043466065476511516,0.0,trap_mixing_adversarial,5,2,start
4.946225068177733,4.946225068177733,4.946225068177733,0.0,4.941856248412885,4.941856248412885,4.941856248412885,0.0,0.1047808318442771,0.1047808318442771,0.1047808318442771,0.0,0.021184,0.021184,0.021184,0.0,trap_mixing_adversarial,6,2,start
3.619937666519429,3.3952395149009282,3.5075885907101787,0.05732095704553605,3.6124197832461515,3.3830966640695515,3.4977582236578515,0.05850079570831634,0.028033301861623415,0.02036468625178569,0.024198994056704552,0.0019562794923055423,0.007707040105834329,0.006007245608451386,0.006857142857142858,0.0004336210452507509,trap_mixing_adversarial,8,2,start
2.732071641555198,2.309083822031306,2.520577731793252,0.10790505600099284,2.727836444422649,2.3060838518052265,2.5169601481139376,0.10758994709628117,0.00844087228121017,0.004855898238603679,0.006648385259906925,0.0009145341945424722,0.00308058735478271,0.002062269788074433,0.0025714285714285713,0.00025977488946639723,trap_mixing_adversarial,10,2,start
