alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,n_seeds
0.4,900,all_one_diagnostic,Delta_R,-1.824147854780989e-05,0.0023620782590999564,0.0002640883777760932,-0.0005604808535787653,0.0005075266394436233,80
0.4,900,all_one_diagnostic,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.0003125,0.00047531250000000015,80
0.4,900,all_one_diagnostic,Delta_H_cond_product,-8.980588964883072,0.10138420993360313,0.0113350992628323,-9.000918993428597,-8.957407291520711,80
0.4,900,all_one_diagnostic,Delta_H_weighted_product,-8.969677298352014,0.09963322467296137,0.011139333159312544,-8.996139388390457,-8.949891584493455,80
0.4,900,all_one_diagnostic,Delta_H_recovery_product,-8.986865703003149,0.10269864782658637,0.011482057886877908,-9.011804075317144,-8.967216467502901,80
0.4,900,all_one_diagnostic,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.00035031250000000004,0.0003140625000000004,80
0.4,900,all_one_diagnostic,certified_transport_density_advantage,0.0,0.0,0.0,0.0,0.0,80
0.4,900,basin_transition_profile,Delta_R,-1.447183032688485,0.07500301372830408,0.008385591860691892,-1.460310798077328,-1.430664587912179,80
0.4,900,basin_transition_profile,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.0002875,0.0004,80
0.4,900,basin_transition_profile,Delta_H_cond_product,-6.734571772958586,0.11165093724503426,0.012482954271572984,-6.759871566346861,-6.711585147272786,80
0.4,900,basin_transition_profile,Delta_H_weighted_product,-6.726260039983883,0.11059966453682311,0.012365418409650462,-6.748284026157144,-6.704966074843192,80
0.4,900,basin_transition_profile,Delta_H_recovery_product,-6.739669504311519,0.1126783144855833,0.012597818538993175,-6.764923528058364,-6.715808297570295,80
0.4,900,basin_transition_profile,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.00036250000000000003,0.0003125,80
0.4,900,basin_transition_profile,certified_transport_density_advantage,0.05296546546546541,0.007237963104883491,0.0008092288760577463,0.05147428678678674,0.05443005505505499,80
0.4,900,boundary_v2_regime_sequence,Delta_R,0.9047339283822545,0.07167250705174771,0.008013229894277047,0.890159351921409,0.918899383630929,80
0.4,900,boundary_v2_regime_sequence,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.0003253125,0.00046281250000000006,80
0.4,900,boundary_v2_regime_sequence,Delta_H_cond_product,-7.411037748359587,0.10239086442814455,0.011447646656814817,-7.431097357266498,-7.391378202388325,80
0.4,900,boundary_v2_regime_sequence,Delta_H_weighted_product,-7.4019470945541,0.10102642398781708,0.011295097578023718,-7.4224582985861725,-7.382225467093168,80
0.4,900,boundary_v2_regime_sequence,Delta_H_recovery_product,-7.411662101199985,0.10377142855790117,0.011601998418886499,-7.434107733972585,-7.387426098734164,80
0.4,900,boundary_v2_regime_sequence,strict_certified_mass_advantage,-1.250000000000001e-05,0.0016342361665626134,0.0001827131579861336,-0.00035031250000000004,0.00031312500000000014,80
0.4,900,boundary_v2_regime_sequence,certified_transport_density_advantage,-0.09697197197197194,0.00915823995357555,0.0010239223545224724,-0.09891141141141137,-0.09498154404404399,80
0.4,900,center_of_mass,Delta_R,-0.10647973070624665,0.09590112514986392,0.01072207174769052,-0.12491458194398686,-0.08642018601197046,80
0.4,900,center_of_mass,Delta_p_viable_product,5e-05,0.0016906294236470822,0.0001890181158018083,-0.00036281250000000007,0.0003628125000000002,80
0.4,900,center_of_mass,Delta_H_cond_product,-3.7430051777680404,0.11951538521988349,0.013362226285436657,-3.7713659554619614,-3.7172132738901786,80
0.4,900,center_of_mass,Delta_H_weighted_product,-3.7381920162367543,0.11837324085334422,0.013234530663251644,-3.7618349024970636,-3.7132013670189195,80
0.4,900,center_of_mass,Delta_H_recovery_product,-3.7433046944450483,0.12075598876767256,0.013500929978735844,-3.768493335705126,-3.7165432388766546,80
