alpha,T,kappa,seed,n_traj,macro_classes,singleton_fraction,estimator_warning
0.4,900,center_of_mass,0,1000,93.0,0.25806451612903225,
0.4,900,relative_distance,0,1000,432.0,0.5532407407407407,
0.4,900,joint_basin,0,1000,36.0,0.4722222222222222,
0.4,900,basin_transition_profile,0,1000,18.0,0.2777777777777778,
0.4,900,boundary_v2_regime_sequence,0,1000,11.0,0.45454545454545453,
0.4,900,random_kappa_matched,0,1000,235.0,0.18723404255319148,
0.4,900,identity_like_diagnostic,0,1000,998.0,1.0,HIGH_SINGLETON_FRACTION
0.4,900,all_one_diagnostic,0,1000,1.0,0.0,
0.4,1500,center_of_mass,0,1000,254.0,0.48031496062992124,
0.4,1500,relative_distance,0,1000,861.0,0.8780487804878049,HIGH_SINGLETON_FRACTION
0.4,1500,joint_basin,0,1000,109.0,0.48623853211009177,
0.4,1500,basin_transition_profile,0,1000,28.0,0.35714285714285715,
0.4,1500,boundary_v2_regime_sequence,0,1000,11.0,0.45454545454545453,
0.4,1500,random_kappa_matched,0,1000,240.0,0.0625,
0.4,1500,identity_like_diagnostic,0,1000,998.0,1.0,HIGH_SINGLETON_FRACTION
0.4,1500,all_one_diagnostic,0,1000,1.0,0.0,
0.4,2400,center_of_mass,0,1000,580.0,0.7413793103448276,HIGH_SINGLETON_FRACTION
0.4,2400,relative_distance,0,1000,991.0,0.992936427850656,HIGH_SINGLETON_FRACTION
0.4,2400,joint_basin,0,1000,355.0,0.7183098591549296,HIGH_SINGLETON_FRACTION
0.4,2400,basin_transition_profile,0,1000,39.0,0.20512820512820512,
0.4,2400,boundary_v2_regime_sequence,0,1000,11.0,0.45454545454545453,
0.4,2400,random_kappa_matched,0,1000,245.0,0.0653061224489796,
0.4,2400,identity_like_diagnostic,0,1000,998.0,1.0,HIGH_SINGLETON_FRACTION
0.4,2400,all_one_diagnostic,0,1000,1.0,0.0,
0.4,3600,center_of_mass,0,1000,869.0,0.9125431530494822,HIGH_SINGLETON_FRACTION
0.4,3600,relative_distance,0,1000,997.0,0.9989969909729187,HIGH_SINGLETON_FRACTION
0.4,3600,joint_basin,0,1000,580.0,0.8568965517241379,HIGH_SINGLETON_FRACTION
0.4,3600,basin_transition_profile,0,1000,52.0,0.34615384615384615,
0.4,3600,boundary_v2_regime_sequence,0,1000,12.0,0.5,
0.4,3600,random_kappa_matched,0,1000,248.0,0.08870967741935484,
0.4,3600,identity_like_diagnostic,0,1000,998.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,all_one_diagnostic,0,1000,1.0,0.0,
0.4,900,center_of_mass,3,1000,100.0,0.25,
0.4,900,relative_distance,3,1000,456.0,0.5789473684210527,
0.4,900,joint_basin,3,1000,39.0,0.38461538461538464,
0.4,900,basin_transition_profile,3,1000,18.0,0.2222222222222222,
0.4,900,boundary_v2_regime_sequence,3,1000,8.0,0.25,
0.4,900,random_kappa_matched,3,1000,235.0,0.17446808510638298,
0.4,900,identity_like_diagnostic,3,1000,997.0,0.9989969909729187,HIGH_SINGLETON_FRACTION
0.4,900,all_one_diagnostic,3,1000,1.0,0.0,
0.4,1500,center_of_mass,3,1000,267.0,0.5168539325842697,
0.4,1500,relative_distance,3,1000,846.0,0.859338061465721,HIGH_SINGLETON_FRACTION
0.4,1500,joint_basin,3,1000,119.0,0.4957983193277311,
0.4,1500,basin_transition_profile,3,1000,25.0,0.2,
0.4,1500,boundary_v2_regime_sequence,3,1000,8.0,0.25,
0.4,1500,random_kappa_matched,3,1000,247.0,0.06477732793522267,
0.4,1500,identity_like_diagnostic,3,1000,998.0,1.0,HIGH_SINGLETON_FRACTION
0.4,1500,all_one_diagnostic,3,1000,1.0,0.0,
0.4,2400,center_of_mass,3,1000,577.0,0.7504332755632582,HIGH_SINGLETON_FRACTION
0.4,2400,relative_distance,3,1000,996.0,0.9979919678714859,HIGH_SINGLETON_FRACTION
0.4,2400,joint_basin,3,1000,336.0,0.6726190476190477,HIGH_SINGLETON_FRACTION
0.4,2400,basin_transition_profile,3,1000,34.0,0.11764705882352941,
0.4,2400,boundary_v2_regime_sequence,3,1000,8.0,0.25,
0.4,2400,random_kappa_matched,3,1000,247.0,0.06072874493927125,
0.4,2400,identity_like_diagnostic,3,1000,998.0,1.0,HIGH_SINGLETON_FRACTION
0.4,2400,all_one_diagnostic,3,1000,1.0,0.0,
0.4,3600,center_of_mass,3,1000,865.0,0.9063583815028902,HIGH_SINGLETON_FRACTION
0.4,3600,relative_distance,3,1000,998.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,joint_basin,3,1000,552.0,0.822463768115942,HIGH_SINGLETON_FRACTION
0.4,3600,basin_transition_profile,3,1000,48.0,0.25,
0.4,3600,boundary_v2_regime_sequence,3,1000,8.0,0.25,
0.4,3600,random_kappa_matched,3,1000,246.0,0.04878048780487805,
0.4,3600,identity_like_diagnostic,3,1000,998.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,all_one_diagnostic,3,1000,1.0,0.0,
0.4,900,center_of_mass,7,1000,93.0,0.3225806451612903,
0.4,900,relative_distance,7,1000,437.0,0.5354691075514875,
0.4,900,joint_basin,7,1000,34.0,0.29411764705882354,
0.4,900,basin_transition_profile,7,1000,15.0,0.13333333333333333,
0.4,900,boundary_v2_regime_sequence,7,1000,9.0,0.3333333333333333,
0.4,900,random_kappa_matched,7,1000,235.0,0.15319148936170213,
0.4,900,identity_like_diagnostic,7,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,900,all_one_diagnostic,7,1000,1.0,0.0,
0.4,1500,center_of_mass,7,1000,249.0,0.4859437751004016,
0.4,1500,relative_distance,7,1000,873.0,0.8865979381443299,HIGH_SINGLETON_FRACTION
0.4,1500,joint_basin,7,1000,115.0,0.5217391304347826,
0.4,1500,basin_transition_profile,7,1000,24.0,0.2916666666666667,
0.4,1500,boundary_v2_regime_sequence,7,1000,9.0,0.3333333333333333,
0.4,1500,random_kappa_matched,7,1000,245.0,0.07755102040816327,
0.4,1500,identity_like_diagnostic,7,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,1500,all_one_diagnostic,7,1000,1.0,0.0,
0.4,2400,center_of_mass,7,1000,581.0,0.7228915662650602,HIGH_SINGLETON_FRACTION
0.4,2400,relative_distance,7,1000,991.0,0.9909182643794148,HIGH_SINGLETON_FRACTION
0.4,2400,joint_basin,7,1000,327.0,0.6758409785932722,HIGH_SINGLETON_FRACTION
0.4,2400,basin_transition_profile,7,1000,38.0,0.2631578947368421,
0.4,2400,boundary_v2_regime_sequence,7,1000,9.0,0.3333333333333333,
0.4,2400,random_kappa_matched,7,1000,246.0,0.056910569105691054,
0.4,2400,identity_like_diagnostic,7,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,2400,all_one_diagnostic,7,1000,1.0,0.0,
0.4,3600,center_of_mass,7,1000,881.0,0.9125993189557321,HIGH_SINGLETON_FRACTION
0.4,3600,relative_distance,7,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,joint_basin,7,1000,549.0,0.8506375227686703,HIGH_SINGLETON_FRACTION
0.4,3600,basin_transition_profile,7,1000,48.0,0.3125,
0.4,3600,boundary_v2_regime_sequence,7,1000,10.0,0.4,
0.4,3600,random_kappa_matched,7,1000,250.0,0.064,
0.4,3600,identity_like_diagnostic,7,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,all_one_diagnostic,7,1000,1.0,0.0,
0.4,900,center_of_mass,6,1000,94.0,0.2872340425531915,
0.4,900,relative_distance,6,1000,444.0,0.5180180180180181,
0.4,900,joint_basin,6,1000,38.0,0.39473684210526316,
0.4,900,basin_transition_profile,6,1000,19.0,0.2631578947368421,
0.4,900,boundary_v2_regime_sequence,6,1000,9.0,0.3333333333333333,
0.4,900,random_kappa_matched,6,1000,231.0,0.15151515151515152,
0.4,900,identity_like_diagnostic,6,1000,999.0,0.998998998998999,HIGH_SINGLETON_FRACTION
0.4,900,all_one_diagnostic,6,1000,1.0,0.0,
0.4,1500,center_of_mass,6,1000,241.0,0.4896265560165975,
0.4,1500,relative_distance,6,1000,870.0,0.8793103448275862,HIGH_SINGLETON_FRACTION
0.4,1500,joint_basin,6,1000,123.0,0.5040650406504065,
0.4,1500,basin_transition_profile,6,1000,25.0,0.28,
0.4,1500,boundary_v2_regime_sequence,6,1000,9.0,0.3333333333333333,
0.4,1500,random_kappa_matched,6,1000,246.0,0.0975609756097561,
0.4,1500,identity_like_diagnostic,6,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,1500,all_one_diagnostic,6,1000,1.0,0.0,
0.4,2400,center_of_mass,6,1000,572.0,0.7237762237762237,HIGH_SINGLETON_FRACTION
0.4,2400,relative_distance,6,1000,990.0,0.990909090909091,HIGH_SINGLETON_FRACTION
0.4,2400,joint_basin,6,1000,359.0,0.6935933147632312,HIGH_SINGLETON_FRACTION
0.4,2400,basin_transition_profile,6,1000,36.0,0.2222222222222222,
0.4,2400,boundary_v2_regime_sequence,6,1000,9.0,0.3333333333333333,
0.4,2400,random_kappa_matched,6,1000,245.0,0.06938775510204082,
0.4,2400,identity_like_diagnostic,6,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,2400,all_one_diagnostic,6,1000,1.0,0.0,
0.4,3600,center_of_mass,6,1000,874.0,0.9221967963386728,HIGH_SINGLETON_FRACTION
0.4,3600,relative_distance,6,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,joint_basin,6,1000,574.0,0.8606271777003485,HIGH_SINGLETON_FRACTION
0.4,3600,basin_transition_profile,6,1000,46.0,0.1956521739130435,
0.4,3600,boundary_v2_regime_sequence,6,1000,10.0,0.4,
0.4,3600,random_kappa_matched,6,1000,248.0,0.07661290322580645,
0.4,3600,identity_like_diagnostic,6,1000,1000.0,1.0,HIGH_SINGLETON_FRACTION
0.4,3600,all_one_diagnostic,6,1000,1.0,0.0,
0.4,900,center_of_mass,10,1000,91.0,0.26373626373626374,
0.4,900,relative_distance,10,1000,458.0,0.5960698689956332,
0.4,900,joint_basin,10,1000,40.0,0.375,
0.4,900,basin_transition_profile,10,1000,17.0,0.11764705882352941,
0.4,900,boundary_v2_regime_sequence,10,1000,9.0,0.3333333333333333,
0.4,900,random_kappa_matched,10,1000,230.0,0.12608695652173912,
0.4,900,identity_like_diagnostic,10,1000,999.0,0.998998998998999,HIGH_SINGLETON_FRACTION
0.4,900,all_one_diagnostic,10,1000,1.0,0.0,
0.4,1500,center_of_mass,10,1000,250.0,0.496,
