alpha,T,kappa,seed,transport_survival,transport_entropy_change,certified_transport_density,transport_advantage_vs_shuffled
0.4,900,center_of_mass,0,0.998,-0.009053008220825554,0.6356356356356356,0.02102102102102099
0.4,900,relative_distance,0,0.998,-0.006234311437772533,0.990990990990991,-0.007007007007007071
0.4,900,joint_basin,0,0.998,-0.00717476392712646,0.15615615615615616,0.12312312312312312
0.4,900,basin_transition_profile,0,0.998,-0.0027531027302099,0.07207207207207207,0.05405405405405406
0.4,900,boundary_v2_regime_sequence,0,0.998,-0.007247999332347099,0.035035035035035036,-0.08808808808808809
0.4,900,random_kappa_matched,0,0.998,-0.00034946056474804976,0.977977977977978,-0.004004004004003914
0.4,900,identity_like_diagnostic,0,0.998,-0.002888279324828602,1.0,0.0
0.4,900,all_one_diagnostic,0,0.998,0.0,0.001001001001001001,0.0
0.4,1500,center_of_mass,0,0.998,-0.007019748403202186,0.9029029029029029,0.05005005005005003
0.4,1500,relative_distance,0,0.998,-0.0034933945613317974,1.0,0.0
0.4,1500,joint_basin,0,0.998,-0.006243241245408981,0.5045045045045045,0.4654654654654654
0.4,1500,basin_transition_profile,0,0.998,0.000156068343836413,0.14414414414414414,0.12912912912912913
0.4,1500,boundary_v2_regime_sequence,0,0.998,-0.007247999332347099,0.035035035035035036,-0.25625625625625625
0.4,1500,random_kappa_matched,0,0.998,0.0001684001761974585,0.98998998998999,0.0
0.4,1500,identity_like_diagnostic,0,0.998,-0.002888279324828602,1.0,0.0
0.4,1500,all_one_diagnostic,0,0.998,0.0,0.001001001001001001,0.0
0.4,2400,center_of_mass,0,0.998,-0.003540045326781538,0.991991991991992,0.011011011011010985
0.4,2400,relative_distance,0,0.998,-0.0029163354370531636,1.0,0.0
0.4,2400,joint_basin,0,0.998,-0.0070211565508317975,0.8728728728728729,0.8278278278278278
0.4,2400,basin_transition_profile,0,0.998,-0.0018575092926509384,0.24024024024024024,0.22922922922922923
0.4,2400,boundary_v2_regime_sequence,0,0.998,-0.007247999332347321,0.035035035035035036,-0.5105105105105106
0.4,2400,random_kappa_matched,0,0.998,0.0005021112146197382,0.991991991991992,0.0030030030030029353
0.4,2400,identity_like_diagnostic,0,0.998,-0.002888279324828602,1.0,0.0
0.4,2400,all_one_diagnostic,0,0.998,0.0,0.001001001001001001,0.0
0.4,3600,center_of_mass,0,0.998,-0.0035421177374441726,1.0,0.005005005005005003
0.4,3600,relative_distance,0,0.998,-0.0028922873408614436,1.0,0.0
0.4,3600,joint_basin,0,0.998,-0.006717762827364027,0.954954954954955,0.9099099099099099
0.4,3600,basin_transition_profile,0,0.998,0.001670926646658355,0.2862862862862863,0.2752752752752753
0.4,3600,boundary_v2_regime_sequence,0,0.998,-0.007227285912896786,0.037037037037037035,-0.7287287287287287
0.4,3600,random_kappa_matched,0,0.998,-0.0010826566748214361,0.98998998998999,-0.0010010010010009784
0.4,3600,identity_like_diagnostic,0,0.998,-0.002888279324828602,1.0,0.0
0.4,3600,all_one_diagnostic,0,0.998,0.0,0.001001001001001001,0.0
0.4,900,center_of_mass,3,0.998,-0.01015425612387677,0.6456456456456456,0.013013013013013053
0.4,900,relative_distance,3,0.998,-0.006091097414341107,0.995995995995996,0.0
0.4,900,joint_basin,3,0.998,-0.005577681311867533,0.17117117117117117,0.13813813813813813
0.4,900,basin_transition_profile,3,0.998,-0.003054623700492698,0.08108108108108109,0.062062062062062065
0.4,900,boundary_v2_regime_sequence,3,0.998,-0.01360810225702802,0.02702702702702703,-0.08608608608608609
0.4,900,random_kappa_matched,3,0.998,-0.0007712134215491773,0.9769769769769769,-0.00800800800800805
0.4,900,identity_like_diagnostic,3,0.998,-0.0028922873408614436,1.0,0.0
0.4,900,all_one_diagnostic,3,0.998,0.0,0.001001001001001001,0.0
0.4,1500,center_of_mass,3,0.998,-0.009018022163385098,0.8998998998998999,0.03103103103103111
0.4,1500,relative_distance,3,0.998,-0.003557070788808403,1.0,0.0
0.4,1500,joint_basin,3,0.998,-0.006307039013999649,0.5035035035035035,0.4604604604604604
0.4,1500,basin_transition_profile,3,0.998,-0.0026959518965554707,0.14514514514514515,0.12712712712712712
0.4,1500,boundary_v2_regime_sequence,3,0.998,-0.01360810225702802,0.02702702702702703,-0.25225225225225223
0.4,1500,random_kappa_matched,3,0.998,-0.00037394691835501703,0.990990990990991,-0.0030030030030030463
0.4,1500,identity_like_diagnostic,3,0.998,-0.002888279324828602,1.0,0.0
0.4,1500,all_one_diagnostic,3,0.998,0.0,0.001001001001001001,0.0
0.4,2400,center_of_mass,3,0.998,-0.005615269453603133,0.993993993993994,0.02202202202202208
0.4,2400,relative_distance,3,0.998,-0.0028962953568925087,1.0,0.0
0.4,2400,joint_basin,3,0.998,-0.005762789563712012,0.8318318318318318,0.7847847847847848
0.4,2400,basin_transition_profile,3,0.998,-0.0013174372977697857,0.21921921921921922,0.20520520520520522
0.4,2400,boundary_v2_regime_sequence,3,0.998,-0.013608102257028243,0.02702702702702703,-0.5165165165165164
0.4,2400,random_kappa_matched,3,0.998,-0.0008447817875447683,0.994994994994995,0.00800800800800805
0.4,2400,identity_like_diagnostic,3,0.998,-0.002888279324828602,1.0,0.0
0.4,2400,all_one_diagnostic,3,0.998,0.0,0.001001001001001001,0.0
0.4,3600,center_of_mass,3,0.998,-0.0035564423686871294,1.0,0.005005005005005003
0.4,3600,relative_distance,3,0.998,-0.002888279324828602,1.0,0.0
0.4,3600,joint_basin,3,0.998,-0.006937342160221682,0.944944944944945,0.8978978978978979
0.4,3600,basin_transition_profile,3,0.998,-0.0007107480500425645,0.28128128128128127,0.26726726726726724
0.4,3600,boundary_v2_regime_sequence,3,0.998,-0.01360810225702802,0.02702702702702703,-0.7617617617617618
0.4,3600,random_kappa_matched,3,0.998,0.0007375533474398566,0.992992992992993,0.0010010010010010895
0.4,3600,identity_like_diagnostic,3,0.998,-0.002888279324828602,1.0,0.0
0.4,3600,all_one_diagnostic,3,0.998,0.0,0.001001001001001001,0.0
0.4,900,center_of_mass,7,1.0,0.0,0.6406406406406406,0.040040040040040026
0.4,900,relative_distance,7,1.0,0.0,0.995995995995996,0.0
0.4,900,joint_basin,7,1.0,0.0,0.17017017017017017,0.12612612612612611
0.4,900,basin_transition_profile,7,1.0,0.0,0.08008008008008008,0.057057057057057055
0.4,900,boundary_v2_regime_sequence,7,1.0,0.0,0.02702702702702703,-0.0970970970970971
0.4,900,random_kappa_matched,7,1.0,0.0,0.9769769769769769,-0.007007007007007071
0.4,900,identity_like_diagnostic,7,1.0,0.0,1.0,0.0
0.4,900,all_one_diagnostic,7,1.0,0.0,0.001001001001001001,0.0
0.4,1500,center_of_mass,7,1.0,0.0,0.9009009009009009,0.0520520520520521
0.4,1500,relative_distance,7,1.0,0.0,1.0,0.0
0.4,1500,joint_basin,7,1.0,0.0,0.48848848848848847,0.43843843843843844
0.4,1500,basin_transition_profile,7,1.0,0.0,0.13813813813813813,0.11711711711711711
0.4,1500,boundary_v2_regime_sequence,7,1.0,0.0,0.02702702702702703,-0.25425425425425424
0.4,1500,random_kappa_matched,7,1.0,0.0,0.98998998998999,-0.0030030030030030463
0.4,1500,identity_like_diagnostic,7,1.0,0.0,1.0,0.0
0.4,1500,all_one_diagnostic,7,1.0,0.0,0.001001001001001001,0.0
0.4,2400,center_of_mass,7,1.0,0.0,0.987987987987988,0.020020020020020124
0.4,2400,relative_distance,7,1.0,0.0,1.0,0.0
0.4,2400,joint_basin,7,1.0,0.0,0.8388388388388388,0.7807807807807807
0.4,2400,basin_transition_profile,7,1.0,0.0,0.22722722722722724,0.21021021021021022
0.4,2400,boundary_v2_regime_sequence,7,1.0,0.0,0.02702702702702703,-0.5045045045045045
0.4,2400,random_kappa_matched,7,1.0,0.0,0.995995995995996,0.008008008008007939
0.4,2400,identity_like_diagnostic,7,1.0,0.0,1.0,0.0
0.4,2400,all_one_diagnostic,7,1.0,0.0,0.001001001001001001,0.0
0.4,3600,center_of_mass,7,1.0,0.0,1.0,0.0
0.4,3600,relative_distance,7,1.0,0.0,1.0,0.0
0.4,3600,joint_basin,7,1.0,0.0,0.933933933933934,0.8718718718718719
0.4,3600,basin_transition_profile,7,1.0,0.0,0.2732732732732733,0.25825825825825827
0.4,3600,boundary_v2_regime_sequence,7,1.0,0.0,0.02902902902902903,-0.7247247247247247
0.4,3600,random_kappa_matched,7,1.0,0.0,0.995995995995996,0.0030030030030029353
0.4,3600,identity_like_diagnostic,7,1.0,0.0,1.0,0.0
0.4,3600,all_one_diagnostic,7,1.0,0.0,0.001001001001001001,0.0
0.4,900,center_of_mass,6,1.0,0.0,0.6256256256256256,0.0
0.4,900,relative_distance,6,1.0,0.0,0.993993993993994,-0.002002002002001957
0.4,900,joint_basin,6,1.0,0.0,0.17117117117117117,0.13513513513513514
0.4,900,basin_transition_profile,6,1.0,0.0,0.08208208208208208,0.06406406406406406
0.4,900,boundary_v2_regime_sequence,6,1.0,0.0,0.03203203203203203,-0.08608608608608609
0.4,900,random_kappa_matched,6,1.0,0.0,0.984984984984985,0.0030030030030030463
0.4,900,identity_like_diagnostic,6,1.0,0.0,1.0,0.0
0.4,900,all_one_diagnostic,6,1.0,0.0,0.001001001001001001,0.0
0.4,1500,center_of_mass,6,1.0,0.0,0.8958958958958959,0.041041041041041004
0.4,1500,relative_distance,6,1.0,0.0,1.0,0.0
0.4,1500,joint_basin,6,1.0,0.0,0.5235235235235235,0.47447447447447444
0.4,1500,basin_transition_profile,6,1.0,0.0,0.16616616616616617,0.14814814814814814
0.4,1500,boundary_v2_regime_sequence,6,1.0,0.0,0.03203203203203203,-0.2682682682682683
0.4,1500,random_kappa_matched,6,1.0,0.0,0.991991991991992,-0.0010010010010010895
0.4,1500,identity_like_diagnostic,6,1.0,0.0,1.0,0.0
0.4,1500,all_one_diagnostic,6,1.0,0.0,0.001001001001001001,0.0
0.4,2400,center_of_mass,6,1.0,0.0,0.991991991991992,0.026026026026025995
0.4,2400,relative_distance,6,1.0,0.0,1.0,0.0
0.4,2400,joint_basin,6,1.0,0.0,0.8448448448448449,0.7917917917917918
0.4,2400,basin_transition_profile,6,1.0,0.0,0.23023023023023023,0.21521521521521522
0.4,2400,boundary_v2_regime_sequence,6,1.0,0.0,0.03203203203203203,-0.5375375375375375
0.4,2400,random_kappa_matched,6,1.0,0.0,0.995995995995996,0.0030030030030029353
