alpha,T,kappa,breadth_index,depth_index,robust_reachability_index,viable_propagation_index,Delta_breadth_vs_product,Delta_depth_vs_product,Delta_viable_propagation_vs_product,category
0.45,900,basin_transition_profile,0.33782860393734326,0.9568875701461433,0.32326268904812444,0.5227691608853288,0.24880756595213116,-0.022260789269469505,-0.06879161440403792,Local transport artifact
0.45,900,boundary_v2_regime_sequence,0.1542687662973657,0.9945877867316252,0.1534338352747719,0.5883665543643566,-0.09216924069769242,0.00025481291036755227,-0.2756149564318815,Overfragmented/inconclusive
0.45,900,center_of_mass,0.5379387938854114,0.6393682041634914,0.343939544588509,0.27403787969684806,0.008636320839336853,0.04007229559798953,0.05587143352188767,Viable propagation positive
0.45,900,joint_basin,0.33782860393734326,0.9855040406656691,0.3329316029306835,0.5438532499479583,0.24880756595213116,-0.009533529970823795,-0.060978817607394875,Entropy-only pseudo-risk
0.45,1500,basin_transition_profile,0.45451158071280756,0.9499267549468596,0.43175248579792747,0.526218376566418,0.37086690063622607,-0.03453324133745361,-0.08030628649516336,Local transport artifact
0.45,1500,boundary_v2_regime_sequence,0.12307599293533736,0.9934196365495579,0.12226607762483455,0.6120967445932263,-0.16728237799008103,-0.00024753606588612254,-0.2838320390865374,Overfragmented/inconclusive
0.45,1500,center_of_mass,0.5905847443660402,0.6729883105915087,0.397455551315588,0.29011441444177616,0.025350409307936972,0.0907084314455141,0.07085759787755647,Viable propagation positive
0.45,1500,joint_basin,0.45451158071280756,0.9894057928586347,0.44969610870194954,0.5559667037027861,0.37086690063622607,-0.005079869489956423,-0.059343643897516896,Local transport artifact
0.45,2400,basin_transition_profile,0.49674074683441705,0.951436001042828,0.4726187489614725,0.48590774651054786,0.4218327795411415,-0.03525961924160159,-0.14786081663465983,Local transport artifact
0.45,2400,boundary_v2_regime_sequence,0.09244072225522429,0.996064419508963,0.09207707641402134,0.6480601530342893,-0.23654405450323227,-0.0002676143269719766,-0.26096417794002347,Overfragmented/inconclusive
0.45,2400,center_of_mass,0.642115714310798,0.7285850234216541,0.4678356823173493,0.2884242782795964,0.0542864932657533,0.16861588694932583,0.07858727736872886,Viable propagation positive
0.45,2400,joint_basin,0.4967407468344171,0.9907880046482157,0.4921644792951437,0.5126892627022791,0.4218327795411416,-0.0014857949581872365,-0.12654913293200565,Local transport artifact
0.5,900,basin_transition_profile,0.3796270506904108,0.9592753161519537,0.3641661994341314,0.5208641705383423,0.2906060127051987,-0.01987304326365913,-0.07069660475102435,Local transport artifact
0.5,900,boundary_v2_regime_sequence,0.14723289521080826,0.9931147314498021,0.14621900677990565,0.5983372745687092,-0.09920511178424984,-0.0012182423714555135,-0.26564423622752886,Overfragmented/inconclusive
0.5,900,center_of_mass,0.5385035374328212,0.6435249154908027,0.3465385006022971,0.28641311043827167,0.009201064386746616,0.04422900692530085,0.06824666426331127,Viable propagation positive
0.5,900,joint_basin,0.3796270506904108,0.9873100613350448,0.37480917792462093,0.5424734527467278,0.2906060127051987,-0.0077275093014480545,-0.06235861480862537,Local transport artifact
0.5,1500,basin_transition_profile,0.4890459898408534,0.9510512784057885,0.46510799836599526,0.5241787706489954,0.4054013097642719,-0.03340871787852473,-0.08234589241258594,Local transport artifact
0.5,1500,boundary_v2_regime_sequence,0.11626860159271635,0.9948341821532745,0.1156680440895819,0.5898025981663815,-0.17408976933270204,0.0011670095378304435,-0.3061261855133822,Overfragmented/inconclusive
0.5,1500,center_of_mass,0.5924241360580401,0.679031805098627,0.40227263060833873,0.30599163974141363,0.027189800999936842,0.09675192595263249,0.08673482317719394,Viable propagation positive
0.5,1500,joint_basin,0.4890459898408534,0.9880096529822777,0.483182064410624,0.5517756738849511,0.4054013097642719,-0.006476009366313429,-0.06353467371535193,Local transport artifact
0.5,2400,basin_transition_profile,0.5056878802321243,0.9500730582531576,0.4804425170975525,0.4951157830460186,0.43077991293884876,-0.03662256203127201,-0.13865278009918908,Local transport artifact
0.5,2400,boundary_v2_regime_sequence,0.0885688383146305,0.9960230112664616,0.08821690695040037,0.6261699484640206,-0.24041593844382605,-0.000309022569473294,-0.28285438251029216,Overfragmented/inconclusive
0.5,2400,center_of_mass,0.6442002326518926,0.7369695355314129,0.47475431850960537,0.3044680620591857,0.05637101160684799,0.1770003990590846,0.09463106114831818,Viable propagation positive
0.5,2400,joint_basin,0.5056878802321243,0.9899918281385917,0.5006263012048465,0.5226515193909401,0.43077991293884876,-0.0022819714678112835,-0.11658687624334463,Local transport artifact
0.525,900,basin_transition_profile,0.3978110854334692,0.9576237737748124,0.3809532648313902,0.5234894451707766,0.3087900474482571,-0.021524585640800398,-0.06807133011859012,Local transport artifact
0.525,900,boundary_v2_regime_sequence,0.14395108214451977,0.994186746738413,0.14311419953475546,0.5789417610262124,-0.10248692485053834,-0.00014622708284461883,-0.28503974977002566,Overfragmented/inconclusive
0.525,900,center_of_mass,0.5390076569197448,0.6449472901801144,0.3476296472659343,0.29163930671758675,0.009705183873670253,0.045651381614612574,0.07347286054262636,Viable propagation positive
0.525,900,joint_basin,0.3978110854334692,0.9863870507318054,0.3923950680824318,0.5451796012117974,0.3087900474482571,-0.00865051990468746,-0.0596524663435557,Local transport artifact
0.525,1500,basin_transition_profile,0.5005466365341672,0.952067539970391,0.47655555216289996,0.5291091266434061,0.41690195645758577,-0.03239245631392229,-0.07741553641817522,Local transport artifact
0.525,1500,boundary_v2_regime_sequence,0.11273113600415349,0.9948261730843635,0.11214791316035488,0.564441202668363,-0.1776272349212649,0.00115900046891948,-0.33148758101140074,Overfragmented/inconclusive
0.525,1500,center_of_mass,0.592771231539143,0.6814325547817076,0.40393149720871036,0.31467847146962163,0.02753689648103974,0.09915267563571306,0.09542165490540194,Viable propagation positive
0.525,1500,joint_basin,0.5005466365341672,0.9895811671906369,0.49533110670129304,0.5575818117132474,0.41690195645758577,-0.004904495157954214,-0.05772853588705562,Local transport artifact
0.525,2400,basin_transition_profile,0.5067832519680585,0.9503021389574962,0.4815986945920662,0.496688769967694,0.431875284674783,-0.03639348132693343,-0.13707979317751368,Local transport artifact
0.525,2400,boundary_v2_regime_sequence,0.08717544434365158,0.9924516495263266,0.08651779883209039,0.618613869531701,-0.24180933241480496,-0.0038803843096083535,-0.29041046144261173,Overfragmented/inconclusive
0.525,2400,center_of_mass,0.6448652917048419,0.7399782886561013,0.47718532119931883,0.3110584479733166,0.05703607065979721,0.180009152183773,0.1012214470624491,Viable propagation positive
0.525,2400,joint_basin,0.5067832519680585,0.9887464610907264,0.5010801966976721,0.5230321258829174,0.431875284674783,-0.003527338515676548,-0.11620626975136739,Local transport artifact
