condition,alpha,T,kappa,segment_depth,seed,certified_path_mass_survival,component_A_preservation,component_B_preservation
coupled,0.45,900,basin_transition_profile,1,79.5,0.99037620544314,1.0,1.0
coupled,0.45,900,basin_transition_profile,2,79.5,0.986109059676329,1.0,1.0
coupled,0.45,900,basin_transition_profile,3,79.5,0.9842839459275131,1.0,1.0
coupled,0.45,900,basin_transition_profile,4,79.5,0.9793666590269888,1.0,1.0
coupled,0.45,900,basin_transition_profile,5,79.5,0.9684896808933227,1.0,1.0
coupled,0.45,900,basin_transition_profile,6,79.5,0.9568875701461433,1.0,1.0
coupled,0.45,900,boundary_v2_regime_sequence,1,79.5,0.9955025275552447,1.0,1.0
coupled,0.45,900,boundary_v2_regime_sequence,2,79.5,0.9952103356096351,1.0,1.0
coupled,0.45,900,boundary_v2_regime_sequence,3,79.5,0.9949444248295318,1.0,1.0
coupled,0.45,900,boundary_v2_regime_sequence,4,79.5,0.9947116685797622,1.0,1.0
coupled,0.45,900,boundary_v2_regime_sequence,5,79.5,0.9946447189223596,1.0,1.0
coupled,0.45,900,boundary_v2_regime_sequence,6,79.5,0.9945877867316252,1.0,1.0
coupled,0.45,900,center_of_mass,1,79.5,0.6838603055416466,1.0,0.7984386697873369
coupled,0.45,900,center_of_mass,2,79.5,0.6649194861007092,1.0,0.7984386697873369
coupled,0.45,900,center_of_mass,3,79.5,0.6543853595064012,1.0,0.7984386697873369
coupled,0.45,900,center_of_mass,4,79.5,0.6474120850025391,1.0,0.7984386697873369
coupled,0.45,900,center_of_mass,5,79.5,0.6427031392722858,1.0,0.7984386697873369
coupled,0.45,900,center_of_mass,6,79.5,0.6393682041634914,1.0,0.7984386697873369
coupled,0.45,900,joint_basin,1,79.5,0.9943794740908484,1.0,1.0
coupled,0.45,900,joint_basin,2,79.5,0.9935473198707756,1.0,1.0
coupled,0.45,900,joint_basin,3,79.5,0.9918104169061266,1.0,1.0
coupled,0.45,900,joint_basin,4,79.5,0.9874493403169783,1.0,1.0
coupled,0.45,900,joint_basin,5,79.5,0.9865351904169801,1.0,1.0
coupled,0.45,900,joint_basin,6,79.5,0.9855040406656691,1.0,1.0
coupled,0.45,1500,basin_transition_profile,1,79.5,0.9910207204183215,1.0,0.9995574470864808
coupled,0.45,1500,basin_transition_profile,2,79.5,0.9877245594701367,1.0,0.9995574470864808
coupled,0.45,1500,basin_transition_profile,3,79.5,0.9764835244949464,1.0,0.9995574470864808
coupled,0.45,1500,basin_transition_profile,4,79.5,0.9688375879139018,1.0,0.9995574470864808
coupled,0.45,1500,basin_transition_profile,5,79.5,0.9601317944152619,1.0,0.9995574470864808
coupled,0.45,1500,basin_transition_profile,6,79.5,0.9499267549468596,1.0,0.9995574470864808
coupled,0.45,1500,boundary_v2_regime_sequence,1,79.5,0.9960156061030331,1.0,1.0
coupled,0.45,1500,boundary_v2_regime_sequence,2,79.5,0.9937199704658886,1.0,1.0
coupled,0.45,1500,boundary_v2_regime_sequence,3,79.5,0.9936017166841784,1.0,1.0
coupled,0.45,1500,boundary_v2_regime_sequence,4,79.5,0.9935347680933807,1.0,1.0
coupled,0.45,1500,boundary_v2_regime_sequence,5,79.5,0.9934778283861927,1.0,1.0
