condition,alpha,T,kappa,singleton_fraction,macro_node_count,macro_edge_count,p_viable,estimator_warning
coupled,0.45,900,basin_transition_profile,0.44494555475894,23.75625,229.41875,0.9989000000000001,
coupled,0.45,900,boundary_v2_regime_sequence,0.40699322749729133,4.0,36.14375,0.9989000000000001,
coupled,0.45,900,center_of_mass,0.3306326768361942,10.5125,132.2875,0.9989000000000001,
coupled,0.45,900,joint_basin,0.44494555475894,5.03125,97.7625,0.9989000000000001,
coupled,0.45,1500,basin_transition_profile,0.43564659743117334,23.7625,283.375,0.9989000000000001,
coupled,0.45,1500,boundary_v2_regime_sequence,0.38242725216039886,4.0,28.35,0.9989000000000001,
coupled,0.45,1500,center_of_mass,0.36558656087356217,10.50625,134.2875,0.9989000000000001,
coupled,0.45,1500,joint_basin,0.43564659743117334,5.0375,104.04375,0.9989000000000001,
coupled,0.45,2400,basin_transition_profile,0.43945811153485304,23.76875,309.63125,0.9989000000000001,
coupled,0.45,2400,boundary_v2_regime_sequence,0.34865248670855287,4.0,23.83125,0.9989000000000001,
coupled,0.45,2400,center_of_mass,0.40627123676566723,10.49375,140.98125,0.9989000000000001,
coupled,0.45,2400,joint_basin,0.43945811153485304,5.0375,106.84375,0.9989000000000001,
coupled,0.5,900,basin_transition_profile,0.4476296997179355,23.66875,248.975,0.9988725,
coupled,0.5,900,boundary_v2_regime_sequence,0.3957022260577151,4.00625,33.79375,0.9988725,
coupled,0.5,900,center_of_mass,0.33118396675128386,10.56875,132.6125,0.9988725,
coupled,0.5,900,joint_basin,0.4476296997179355,5.00625,100.20625,0.9988725,
coupled,0.5,1500,basin_transition_profile,0.4249510609389625,23.68125,296.775,0.9988725,
coupled,0.5,1500,boundary_v2_regime_sequence,0.4060344125395171,4.0,29.28125,0.9988725,
coupled,0.5,1500,center_of_mass,0.36653220348148186,10.56875,134.94375,0.9988725,
coupled,0.5,1500,joint_basin,0.4249510609389625,5.0125,105.50625,0.9988725,
coupled,0.5,2400,basin_transition_profile,0.4414734711207723,23.6875,318.925,0.9988725,
coupled,0.5,2400,boundary_v2_regime_sequence,0.3705611560620752,4.0,24.95,0.9988725,
coupled,0.5,2400,center_of_mass,0.406191716728619,10.56875,141.8625,0.9988725,
coupled,0.5,2400,joint_basin,0.4414734711207723,5.00625,107.8375,0.9988725,
coupled,0.525,900,basin_transition_profile,0.4441092905702068,23.71875,256.98125,0.9989100000000001,
coupled,0.525,900,boundary_v2_regime_sequence,0.41613277483913225,4.00625,33.0125,0.9989100000000001,
coupled,0.525,900,center_of_mass,0.3319277298234984,10.45625,132.5,0.9989100000000001,
coupled,0.525,900,joint_basin,0.4441092905702068,5.01875,101.30625,0.9989100000000001,
coupled,0.525,1500,basin_transition_profile,0.4172208740374118,23.74375,301.81875,0.9989100000000001,
coupled,0.525,1500,boundary_v2_regime_sequence,0.43160076012453724,4.00625,28.84375,0.9989100000000001,
coupled,0.525,1500,center_of_mass,0.36371684341526916,10.44375,134.14375,0.9989100000000001,
coupled,0.525,1500,joint_basin,0.4172208740374118,5.03125,106.01875,0.9989100000000001,
coupled,0.525,2400,basin_transition_profile,0.44899937918385185,23.7375,321.8875,0.9989100000000001,
coupled,0.525,2400,boundary_v2_regime_sequence,0.37520060080061424,4.0,25.08125,0.9989100000000001,
coupled,0.525,2400,center_of_mass,0.40714950680852524,10.44375,141.48125,0.9989100000000001,
coupled,0.525,2400,joint_basin,0.44899937918385185,5.01875,108.1875,0.9989100000000001,
independent_alpha0,0.45,900,basin_transition_profile,0.38679696382177836,15.3,76.6875,0.9988625000000001,
independent_alpha0,0.45,900,boundary_v2_regime_sequence,0.1321445076056627,4.0,46.15,0.9988625000000001,
independent_alpha0,0.45,900,center_of_mass,0.33054370215694634,10.4875,132.8125,0.9988625000000001,
independent_alpha0,0.45,900,joint_basin,0.38679696382177836,4.68125,44.50625,0.9988625000000001,
independent_alpha0,0.45,1500,basin_transition_profile,0.3873444270012186,14.3875,67.34375,0.9988625000000001,
independent_alpha0,0.45,1500,boundary_v2_regime_sequence,0.09663683338934145,4.0,39.2375,0.9988625000000001,
independent_alpha0,0.45,1500,center_of_mass,0.35190232091748375,10.48125,136.6125,0.9988625000000001,
independent_alpha0,0.45,1500,joint_basin,0.3873444270012186,4.64375,38.38125,0.9988625000000001,
independent_alpha0,0.45,2400,basin_transition_profile,0.3510450144990442,13.5375,57.09375,0.9988625000000001,
independent_alpha0,0.45,2400,boundary_v2_regime_sequence,0.08610901638168111,4.0,34.1625,0.9988625000000001,
independent_alpha0,0.45,2400,center_of_mass,0.38619046978094196,10.46875,134.14375,0.9988625000000001,
independent_alpha0,0.45,2400,joint_basin,0.3510450144990442,4.6375,33.16875,0.9988625000000001,
independent_alpha0,0.5,900,basin_transition_profile,0.38679696382177836,15.3,76.6875,0.9988625000000001,
independent_alpha0,0.5,900,boundary_v2_regime_sequence,0.1321445076056627,4.0,46.15,0.9988625000000001,
independent_alpha0,0.5,900,center_of_mass,0.33054370215694634,10.4875,132.8125,0.9988625000000001,
independent_alpha0,0.5,900,joint_basin,0.38679696382177836,4.68125,44.50625,0.9988625000000001,
independent_alpha0,0.5,1500,basin_transition_profile,0.3873444270012186,14.3875,67.34375,0.9988625000000001,
independent_alpha0,0.5,1500,boundary_v2_regime_sequence,0.09663683338934145,4.0,39.2375,0.9988625000000001,
independent_alpha0,0.5,1500,center_of_mass,0.35190232091748375,10.48125,136.6125,0.9988625000000001,
independent_alpha0,0.5,1500,joint_basin,0.3873444270012186,4.64375,38.38125,0.9988625000000001,
independent_alpha0,0.5,2400,basin_transition_profile,0.3510450144990442,13.5375,57.09375,0.9988625000000001,
independent_alpha0,0.5,2400,boundary_v2_regime_sequence,0.08610901638168111,4.0,34.1625,0.9988625000000001,
independent_alpha0,0.5,2400,center_of_mass,0.38619046978094196,10.46875,134.14375,0.9988625000000001,
independent_alpha0,0.5,2400,joint_basin,0.3510450144990442,4.6375,33.16875,0.9988625000000001,
independent_alpha0,0.525,900,basin_transition_profile,0.38679696382177836,15.3,76.6875,0.9988625000000001,
independent_alpha0,0.525,900,boundary_v2_regime_sequence,0.1321445076056627,4.0,46.15,0.9988625000000001,
independent_alpha0,0.525,900,center_of_mass,0.33054370215694634,10.4875,132.8125,0.9988625000000001,
independent_alpha0,0.525,900,joint_basin,0.38679696382177836,4.68125,44.50625,0.9988625000000001,
independent_alpha0,0.525,1500,basin_transition_profile,0.3873444270012186,14.3875,67.34375,0.9988625000000001,
