variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,component_A_preservation,component_B_preservation,lower_rank_erasure_score,singleton_fraction
noise_000,noise,mild,0.45,900,center_of_mass,1.0,0.8108467502321156,0.09457662488394215,0.3506934605635454
noise_000,noise,mild,0.45,1500,center_of_mass,1.0,0.7941005386570705,0.1029497306714647,0.3943925236758915
noise_000,noise,mild,0.45,2400,center_of_mass,1.0,0.7526870763140796,0.12365646184296016,0.4487980581966058
noise_000,noise,mild,0.5,900,center_of_mass,1.0,0.8281439432573914,0.08592802837130427,0.3516459046838441
noise_000,noise,mild,0.5,1500,center_of_mass,1.0,0.8137988482741395,0.09310057586293023,0.3924592879093556
noise_000,noise,mild,0.5,2400,center_of_mass,1.0,0.7699961431700977,0.11500192841495113,0.4490980610319534
noise_000,noise,mild,0.525,900,center_of_mass,1.0,0.8373980909557919,0.08130095452210405,0.35128019488464746
noise_000,noise,mild,0.525,1500,center_of_mass,1.0,0.8231025760362691,0.0884487119818654,0.39350148887609754
noise_000,noise,mild,0.525,2400,center_of_mass,1.0,0.777771857985994,0.11111407100700296,0.4471017907028535
noise_001,noise,moderate,0.45,900,center_of_mass,1.0,0.7696063331131031,0.1151968334434484,0.3005959657336851
noise_001,noise,moderate,0.45,1500,center_of_mass,1.0,0.709545884619292,0.14522705769035393,0.31648826616253006
noise_001,noise,moderate,0.45,2400,center_of_mass,1.0,0.599643436380937,0.20017828180953146,0.32277507059742194
noise_001,noise,moderate,0.5,900,center_of_mass,1.0,0.8184779519605773,0.09076102401971133,0.30476554875046324
noise_001,noise,moderate,0.5,1500,center_of_mass,1.0,0.7775627566456116,0.11121862167719417,0.3185642748883245
noise_001,noise,moderate,0.5,2400,center_of_mass,1.0,0.6646495993565393,0.1676752003217303,0.32594351032535784
noise_001,noise,moderate,0.525,900,center_of_mass,1.0,0.8441587857751719,0.07792060711241403,0.30386445900624504
noise_001,noise,moderate,0.525,1500,center_of_mass,1.0,0.8100426514975249,0.09497867425123754,0.32151498425301595
noise_001,noise,moderate,0.525,2400,center_of_mass,1.0,0.6956377383840712,0.15218113080796436,0.3288909805295003
noise_002,noise,mild,0.45,900,center_of_mass,1.0,0.8112290502079749,0.0943854748960126,0.3517083595561922
noise_002,noise,mild,0.45,1500,center_of_mass,1.0,0.7942708549301589,0.10286457253492047,0.39362278026633574
noise_002,noise,mild,0.45,2400,center_of_mass,1.0,0.7533130157428041,0.1233434921285979,0.44972673930534945
noise_002,noise,mild,0.5,900,center_of_mass,1.0,0.8291876786339681,0.08540616068301585,0.3506164934045665
noise_002,noise,mild,0.5,1500,center_of_mass,1.0,0.8139959195584725,0.09300204022076376,0.3949675600102945
noise_002,noise,mild,0.5,2400,center_of_mass,1.0,0.7695272912625664,0.11523635436871678,0.4463352660787082
noise_002,noise,mild,0.525,900,center_of_mass,1.0,0.8362425217756723,0.08187873911216383,0.35069498643400493
noise_002,noise,mild,0.525,1500,center_of_mass,1.0,0.8226935157772989,0.08865324211135056,0.3933569837265513
noise_002,noise,mild,0.525,2400,center_of_mass,1.0,0.7772876933104342,0.11135615334478284,0.4460377991902934
noise_003,noise,moderate,0.45,900,center_of_mass,1.0,0.7684359974730792,0.11578200126346035,0.3011888886598383
noise_003,noise,moderate,0.45,1500,center_of_mass,1.0,0.7093691136468296,0.14531544317658512,0.31537631651211334
noise_003,noise,moderate,0.45,2400,center_of_mass,1.0,0.5994015147657843,0.2002992426171078,0.3231715049590348
noise_003,noise,moderate,0.5,900,center_of_mass,1.0,0.8198646596373826,0.09006767018130865,0.3035154266716239
noise_003,noise,moderate,0.5,1500,center_of_mass,1.0,0.7781111217007276,0.11094443914963614,0.3184468202621693
noise_003,noise,moderate,0.5,2400,center_of_mass,1.0,0.6650659597288486,0.16746702013557563,0.32766273055817685
noise_003,noise,moderate,0.525,900,center_of_mass,1.0,0.8440453453466137,0.07797732732669307,0.30347921128450234
noise_003,noise,moderate,0.525,1500,center_of_mass,1.0,0.8103448085502976,0.0948275957248512,0.32000304416998143
noise_003,noise,moderate,0.525,2400,center_of_mass,1.0,0.6959329024870573,0.1520335487564713,0.3311324299017354
noise_004,noise,mild,0.45,900,center_of_mass,1.0,0.7843751553404765,0.10781242232976165,0.3127519592093663
noise_004,noise,mild,0.45,1500,center_of_mass,1.0,0.7459274693689959,0.12703626531550197,0.3389487317357701
noise_004,noise,mild,0.45,2400,center_of_mass,1.0,0.6648989161614576,0.16755054191927116,0.3600372328624705
noise_004,noise,mild,0.5,900,center_of_mass,1.0,0.8211292805658689,0.08943535971706558,0.31395175768924627
noise_004,noise,mild,0.5,1500,center_of_mass,1.0,0.793487280899287,0.10325635955035647,0.3364180433993297
noise_004,noise,mild,0.5,2400,center_of_mass,1.0,0.7093987124572523,0.14530064377137383,0.3602738568826155
noise_004,noise,mild,0.525,900,center_of_mass,1.0,0.8389220150360682,0.08053899248196586,0.31422633995697075
noise_004,noise,mild,0.525,1500,center_of_mass,1.0,0.8154936517886254,0.09225317410568723,0.33772803405044866
noise_004,noise,mild,0.525,2400,center_of_mass,1.0,0.7302500143608848,0.13487499281955756,0.3633449717475305
noise_005,noise,moderate,0.45,900,center_of_mass,1.0,0.8207807045789647,0.08960964771051763,0.37214615241008747
noise_005,noise,moderate,0.45,1500,center_of_mass,1.0,0.8089188643947638,0.095540567802618,0.4246915689268266
noise_005,noise,moderate,0.45,2400,center_of_mass,1.0,0.777831839200732,0.11108408039963395,0.4860045564172003
noise_005,noise,moderate,0.5,900,center_of_mass,1.0,0.8321160381684252,0.08394198091578742,0.3705165628535528
noise_005,noise,moderate,0.5,1500,center_of_mass,1.0,0.820155494756381,0.08992225262180946,0.4260588737195475
noise_005,noise,moderate,0.5,2400,center_of_mass,1.0,0.7871067252131931,0.1064466373934034,0.48569573039313063
noise_005,noise,moderate,0.525,900,center_of_mass,1.0,0.8377928691694055,0.0811035654152972,0.371457891150224
noise_005,noise,moderate,0.525,1500,center_of_mass,1.0,0.8253918675023888,0.08730406624880557,0.4255714843316474
noise_005,noise,moderate,0.525,2400,center_of_mass,1.0,0.791245759974214,0.10437712001289298,0.48541024645242326
noise_006,noise,mild,0.45,900,center_of_mass,1.0,0.8110680188285994,0.09446599058570028,0.35166457696197384
noise_006,noise,mild,0.45,1500,center_of_mass,1.0,0.7940966116223382,0.10295169418883085,0.3954976685098869
noise_006,noise,mild,0.45,2400,center_of_mass,1.0,0.7530160511195086,0.12349197444024565,0.45061255007968065
noise_006,noise,mild,0.5,900,center_of_mass,1.0,0.8281087131721154,0.08594564341394223,0.3512010474606237
noise_006,noise,mild,0.5,1500,center_of_mass,1.0,0.8134244752482338,0.09328776237588306,0.3931912049707407
noise_006,noise,mild,0.5,2400,center_of_mass,1.0,0.7696551555606219,0.11517242221968897,0.4485437024532749
noise_006,noise,mild,0.525,900,center_of_mass,1.0,0.8371191184653254,0.08144044076733728,0.3502629124613875
noise_006,noise,mild,0.525,1500,center_of_mass,1.0,0.8230634796323445,0.08846826018382771,0.39534054328427815
