variant_id,family,strength_label,strength,noise_multiplier,sink_shift,initial_shift_a,initial_shift_b,dt_multiplier,drift_scale_f,drift_scale_t,center_shift_f,center_shift_t
reference_000,reference,reference,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
potential_shape_000,potential_shape,mild,0.05,1.0,0.0,0.0,0.0,1.0,1.05,0.95,-0.027514162266145694,0.013563871736825286
potential_shape_001,potential_shape,moderate,0.1,1.0,0.0,0.0,0.0,1.0,0.9,1.1,0.05431172868005529,-0.016530883400009015
potential_shape_002,potential_shape,mild,0.05,1.0,0.0,0.0,0.0,1.0,0.95,1.05,-0.029496630108808798,-0.009178903401594492
potential_shape_003,potential_shape,moderate,0.1,1.0,0.0,0.0,0.0,1.0,1.1,0.9,-0.0028666620547789373,-0.001817758909072327
potential_shape_004,potential_shape,mild,0.05,1.0,0.0,0.0,0.0,1.0,1.05,0.95,-0.026280886578344972,-0.019940799592576816
potential_shape_005,potential_shape,moderate,0.1,1.0,0.0,0.0,0.0,1.0,1.1,0.9,-0.04666964229640014,-0.014606900378109924
potential_shape_006,potential_shape,mild,0.05,1.0,0.0,0.0,0.0,1.0,1.05,0.95,0.013248200503648375,-0.017660687152631502
potential_shape_007,potential_shape,moderate,0.1,1.0,0.0,0.0,0.0,1.0,0.9,1.1,0.04802766815997454,0.027919649976075017
potential_shape_008,potential_shape,mild,0.05,1.0,0.0,0.0,0.0,1.0,0.95,1.05,-0.0014177113831224594,-0.0012127589517952897
potential_shape_009,potential_shape,moderate,0.1,1.0,0.0,0.0,0.0,1.0,0.9,0.9,-0.03456399088281097,0.043750627944216997
potential_shape_010,potential_shape,mild,0.05,1.0,0.0,0.0,0.0,1.0,1.05,1.05,-0.02739430384727672,-0.013802510985010709
potential_shape_011,potential_shape,moderate,0.1,1.0,0.0,0.0,0.0,1.0,0.9,0.9,0.03851808281850348,-0.04740238410470102
potential_shape_012,potential_shape,mild,0.05,1.0,0.0,0.0,0.0,1.0,0.95,1.05,-0.009690788694139797,0.015908768772661973
potential_shape_013,potential_shape,moderate,0.1,1.0,0.0,0.0,0.0,1.0,0.9,0.9,-0.05656680476017167,0.04041698785965531
potential_shape_014,potential_shape,mild,0.05,1.0,0.0,0.0,0.0,1.0,0.95,1.05,0.002771727731308231,0.019826604065144172
