variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,component_A_preservation,component_B_preservation,lower_rank_erasure_score,singleton_fraction
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,1.0,1.0,0.0,0.4182790547975695
initial_location_000,initial_location,mild,0.45,900,center_of_mass,1.0,0.8002894153254514,0.09985529233727422,0.3495711662376336
initial_location_000,initial_location,mild,0.45,900,joint_basin,1.0,1.0,0.0,0.45250125174202926
initial_location_000,initial_location,mild,0.45,1500,boundary_v2_regime_sequence,1.0,1.0,0.0,0.37691388702363426
initial_location_000,initial_location,mild,0.45,1500,center_of_mass,1.0,0.774688922912672,0.11265553854366399,0.3850592714400421
initial_location_000,initial_location,mild,0.45,1500,joint_basin,1.0,0.9986969856534719,0.0006515071732640643,0.44261139611082045
initial_location_000,initial_location,mild,0.45,2400,boundary_v2_regime_sequence,1.0,1.0,0.0,0.32673036586736276
initial_location_000,initial_location,mild,0.45,2400,center_of_mass,1.0,0.7167451721153818,0.14162741394230907,0.42223241946140116
initial_location_000,initial_location,mild,0.45,2400,joint_basin,1.0,0.9244681827823614,0.03776590860881926,0.4574640798496635
initial_location_000,initial_location,mild,0.5,900,boundary_v2_regime_sequence,1.0,1.0,0.0,0.40666363686444235
initial_location_000,initial_location,mild,0.5,900,center_of_mass,1.0,0.8241032926150265,0.08794835369248669,0.3536785439994879
initial_location_000,initial_location,mild,0.5,900,joint_basin,1.0,1.0,0.0,0.4506950192757696
initial_location_000,initial_location,mild,0.5,1500,boundary_v2_regime_sequence,1.0,1.0,0.0,0.4138494404496124
initial_location_000,initial_location,mild,0.5,1500,center_of_mass,1.0,0.8059405901820792,0.09702970490896035,0.3853969296865376
initial_location_000,initial_location,mild,0.5,1500,joint_basin,1.0,0.9750825634907923,0.012458718254603785,0.4308755810432426
initial_location_000,initial_location,mild,0.5,2400,boundary_v2_regime_sequence,1.0,1.0,0.0,0.33246688258636786
initial_location_000,initial_location,mild,0.5,2400,center_of_mass,1.0,0.745755806905585,0.12712209654720746,0.42108616105403635
initial_location_000,initial_location,mild,0.5,2400,joint_basin,1.0,0.9474843171353114,0.026257841432344258,0.46185112005712947
initial_location_000,initial_location,mild,0.525,900,boundary_v2_regime_sequence,1.0,1.0,0.0,0.39899329063663724
initial_location_000,initial_location,mild,0.525,900,center_of_mass,1.0,0.8376118468610416,0.08119407656947915,0.3527629952595934
initial_location_000,initial_location,mild,0.525,900,joint_basin,1.0,1.0,0.0,0.4459455613939496
initial_location_000,initial_location,mild,0.525,1500,boundary_v2_regime_sequence,1.0,1.0,0.0,0.41470811072237906
initial_location_000,initial_location,mild,0.525,1500,center_of_mass,1.0,0.8209204283576208,0.08953978582118953,0.38547362726263495
initial_location_000,initial_location,mild,0.525,1500,joint_basin,1.0,0.9711578905829523,0.014421054708523779,0.431212208970258
initial_location_000,initial_location,mild,0.525,2400,boundary_v2_regime_sequence,1.0,1.0,0.0,0.34862448229659915
initial_location_000,initial_location,mild,0.525,2400,center_of_mass,1.0,0.7585565730382395,0.12072171348088019,0.42026831873998177
