variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,singleton_fraction,estimator_stable,ci_width,category
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,0.4182790547975695,True,0.035164137868544665,Propagation lost
initial_location_000,initial_location,mild,0.45,900,center_of_mass,0.3495711662376336,True,0.004212397198840846,Robust propagation retained
initial_location_000,initial_location,mild,0.45,900,joint_basin,0.45250125174202926,False,0.024488691101137584,Estimator-limited
initial_location_000,initial_location,mild,0.45,1500,boundary_v2_regime_sequence,0.37691388702363426,True,0.04103248626473588,Propagation lost
initial_location_000,initial_location,mild,0.45,1500,center_of_mass,0.3850592714400421,True,0.004006417489828856,Robust propagation retained
initial_location_000,initial_location,mild,0.45,1500,joint_basin,0.44261139611082045,False,0.029915561742199663,Estimator-limited
initial_location_000,initial_location,mild,0.45,2400,boundary_v2_regime_sequence,0.32673036586736276,True,0.05126139155873105,Propagation lost
initial_location_000,initial_location,mild,0.45,2400,center_of_mass,0.42223241946140116,True,0.003584048892099123,Robust propagation retained
initial_location_000,initial_location,mild,0.45,2400,joint_basin,0.4574640798496635,True,0.02652061268363609,Entropy-only pseudo-risk
initial_location_000,initial_location,mild,0.5,900,boundary_v2_regime_sequence,0.40666363686444235,True,0.039827820360507554,Propagation lost
initial_location_000,initial_location,mild,0.5,900,center_of_mass,0.3536785439994879,True,0.0040191154196765055,Robust propagation retained
initial_location_000,initial_location,mild,0.5,900,joint_basin,0.4506950192757696,False,0.027974455445284534,Estimator-limited
initial_location_000,initial_location,mild,0.5,1500,boundary_v2_regime_sequence,0.4138494404496124,True,0.04170150960943236,Propagation lost
initial_location_000,initial_location,mild,0.5,1500,center_of_mass,0.3853969296865376,True,0.0034291128544090277,Robust propagation retained
initial_location_000,initial_location,mild,0.5,1500,joint_basin,0.4308755810432426,False,0.02468883806361296,Estimator-limited
initial_location_000,initial_location,mild,0.5,2400,boundary_v2_regime_sequence,0.33246688258636786,True,0.046297875082458695,Propagation lost
initial_location_000,initial_location,mild,0.5,2400,center_of_mass,0.42108616105403635,True,0.003628310977156657,Robust propagation retained
initial_location_000,initial_location,mild,0.5,2400,joint_basin,0.46185112005712947,True,0.027260119965004798,Entropy-only pseudo-risk
initial_location_000,initial_location,mild,0.525,900,boundary_v2_regime_sequence,0.39899329063663724,True,0.035868527252389565,Propagation lost
initial_location_000,initial_location,mild,0.525,900,center_of_mass,0.3527629952595934,True,0.004268470745033989,Robust propagation retained
initial_location_000,initial_location,mild,0.525,900,joint_basin,0.4459455613939496,False,0.02695422761659327,Estimator-limited
initial_location_000,initial_location,mild,0.525,1500,boundary_v2_regime_sequence,0.41470811072237906,True,0.04133899029852489,Propagation lost
initial_location_000,initial_location,mild,0.525,1500,center_of_mass,0.38547362726263495,True,0.003714914433380137,Robust propagation retained
initial_location_000,initial_location,mild,0.525,1500,joint_basin,0.431212208970258,False,0.02566257275124137,Estimator-limited
initial_location_000,initial_location,mild,0.525,2400,boundary_v2_regime_sequence,0.34862448229659915,True,0.04727796904451559,Propagation lost
initial_location_000,initial_location,mild,0.525,2400,center_of_mass,0.42026831873998177,True,0.0038905913439515744,Robust propagation retained
initial_location_000,initial_location,mild,0.525,2400,joint_basin,0.47275646715727265,True,0.02995512220712479,Entropy-only pseudo-risk
initial_location_001,initial_location,moderate,0.45,900,boundary_v2_regime_sequence,0.4072770102634428,True,0.029315686923309353,Propagation lost
initial_location_001,initial_location,moderate,0.45,900,center_of_mass,0.35239521055520895,True,0.0037795219566965008,Robust propagation retained
initial_location_001,initial_location,moderate,0.45,900,joint_basin,0.4512645169829347,False,0.030527642596050893,Estimator-limited
initial_location_001,initial_location,moderate,0.45,1500,boundary_v2_regime_sequence,0.36818886119180994,True,0.038231286135504694,Propagation lost
initial_location_001,initial_location,moderate,0.45,1500,center_of_mass,0.3808611540818308,True,0.003600093971215121,Robust propagation retained
initial_location_001,initial_location,moderate,0.45,1500,joint_basin,0.44353158281602817,False,0.02662989792383457,Estimator-limited
