variant_id,family,strength_label,strength,noise_multiplier,sink_shift,initial_shift_a,initial_shift_b,dt_multiplier,drift_scale_f,drift_scale_t,center_shift_f,center_shift_t
reference_000,reference,reference,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
potential_shape_000,potential_shape,mild,0.05,1.0,0.0,0.0,0.0,1.0,1.05,0.95,-0.027514162266145694,0.013563871736825286
potential_shape_001,potential_shape,moderate,0.1,1.0,0.0,0.0,0.0,1.0,0.9,1.1,0.05431172868005529,-0.016530883400009015
noise_000,noise,mild,0.05,0.85,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_001,noise,moderate,0.1,1.3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
sink_threshold_000,sink_threshold,mild,0.05,1.0,-0.05,0.0,0.0,1.0,1.0,1.0,0.0,0.0
sink_threshold_001,sink_threshold,moderate,0.1,1.0,-0.1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
initial_location_000,initial_location,mild,0.05,1.0,0.0,-0.009178903401594492,-0.00019617385437246948,1.0,1.0,1.0,0.0,0.0
initial_location_001,initial_location,moderate,0.1,1.0,0.0,-0.003344439063908758,-0.0021207187272510447,1.0,1.0,1.0,0.0,0.0
time_discretization_000,time_discretization,mild,0.05,1.0,0.0,0.0,0.0,1.2,1.0,1.0,0.0,0.0
time_discretization_001,time_discretization,moderate,0.1,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0
threshold_loose_reference,certification_threshold,loose,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
threshold_strict_reference,certification_threshold,strict,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
