perturbation_family,perturbation_strength,kappa,fraction_positive_vs_product,fraction_positive_vs_shuffled,fraction_component_preserving,fraction_non_overfragmented,fraction_estimator_stable,retention_rate,median_Delta_viable_propagation_vs_shuffled,median_Delta_depth_vs_shuffled
initial_location,mild,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.24501975945442478,-0.0001132290284505677
initial_location,mild,center_of_mass,1.0,1.0,1.0,1.0,1.0,1.0,0.07662733520993992,0.09803556956661819
initial_location,mild,joint_basin,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,-0.04925277130317263,-0.004975437301853014
initial_location,moderate,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.24447904568468792,-0.00041663422901649927
initial_location,moderate,center_of_mass,1.0,1.0,1.0,1.0,1.0,1.0,0.07659044813873025,0.09759184492901807
initial_location,moderate,joint_basin,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,-0.052829960570024204,-0.005138716418789713
noise,mild,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,0.5555555555555556,0.0,-0.15006091644862785,-4.337207028659584e-05
noise,mild,center_of_mass,1.0,1.0,0.8888888888888888,1.0,1.0,0.8888888888888888,0.09365329933457961,0.07709502111966371
noise,mild,joint_basin,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,-0.08536531704497852,-0.0044570643210177785
noise,moderate,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.30340974241144125,-0.002488822029561022
noise,moderate,center_of_mass,1.0,1.0,1.0,1.0,1.0,1.0,0.06970894332478811,0.12190630359911059
noise,moderate,joint_basin,0.0,0.0,1.0,1.0,0.7777777777777778,0.0,-0.08039357849695428,-0.008431757790986372
potential_shape,mild,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,0.7777777777777778,0.0,-0.21424372377309286,-0.00026164842199472016
potential_shape,mild,center_of_mass,1.0,1.0,1.0,1.0,1.0,1.0,0.07553596316959288,0.09525839968560335
potential_shape,mild,joint_basin,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,-0.06086041425908195,-0.004369385261256853
potential_shape,moderate,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.32175919638201067,8.0123650488928e-05
potential_shape,moderate,center_of_mass,1.0,1.0,0.7777777777777778,1.0,1.0,0.7777777777777778,0.08149522314289906,0.09708238292192284
potential_shape,moderate,joint_basin,0.0,0.0,1.0,1.0,0.2222222222222222,0.0,-0.051387196159393134,-0.008949810846785589
reference,reference,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.24508229435834594,-0.00021528159627992594
reference,reference,center_of_mass,1.0,1.0,1.0,1.0,1.0,1.0,0.07543439049847134,0.09823804557262017
reference,reference,joint_basin,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,-0.05435045345568057,-0.005412608556323861
sink_threshold,mild,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.25837653906863156,-0.0005923456212933997
sink_threshold,mild,center_of_mass,1.0,1.0,1.0,1.0,1.0,1.0,0.07560248872226649,0.09809526082472442
sink_threshold,mild,joint_basin,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,-0.0572358244921205,-0.005320849589910415
sink_threshold,moderate,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.2496471860116708,-0.00017168918991194992
sink_threshold,moderate,center_of_mass,1.0,1.0,1.0,1.0,1.0,1.0,0.0771247284002248,0.09836862493979592
sink_threshold,moderate,joint_basin,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,-0.053506685312725843,-0.005228865403301142
time_discretization,mild,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.26104842366581726,0.0006939243109795878
time_discretization,mild,center_of_mass,1.0,1.0,0.8888888888888888,1.0,1.0,0.8888888888888888,0.08371740824517937,0.1252173398873746
time_discretization,mild,joint_basin,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,-0.08241592543641463,-0.005154110583407867
time_discretization,moderate,boundary_v2_regime_sequence,0.0,0.0,1.0,1.0,1.0,0.0,-0.25681629064712885,0.0003927059777391051
time_discretization,moderate,center_of_mass,1.0,1.0,1.0,1.0,1.0,1.0,0.07243746304269652,0.07028298127675459
time_discretization,moderate,joint_basin,0.0,0.0,1.0,1.0,0.1111111111111111,0.0,-0.04913356438157801,-0.006818612477141883
