variant_id,perturbation_family,perturbation_strength,threshold,condition,alpha,T,kappa,seed,p_viable,certified_path_mass_survival_to_final_segment,multi_step_transport_depth,transport_survival_mean,certified_transport_density,viable_propagation_index,component_A_preservation,component_B_preservation,lower_rank_erasure_score,singleton_fraction,certified_node_fraction,viable_fiber_fraction,macro_path_entropy,macro_node_entropy,breadth_index
initial_location_000,initial_location,mild,main,coupled,0.45,900,boundary_v2_regime_sequence,39.5,0.9988616666666668,0.994532162085395,0.994704173759444,0.9976114633194193,0.404497835132198,0.5771608834238877,1.0,1.0,0.0,0.4182790547975695,0.5948883572567782,1.0,2.055149542292818,0.6700989329694387,0.1596724838021085
initial_location_000,initial_location,mild,main,coupled,0.45,900,center_of_mass,39.5,0.9988616666666668,0.6354363819446724,0.6445829089930755,0.7991607007308165,0.5113129624365114,0.26434832607271375,1.0,0.8002894153254514,0.09985529233727422,0.3495711662376336,0.7327662166869983,1.0,7.121446203280182,2.1154467594744233,0.5532925858067517
initial_location_000,initial_location,mild,main,coupled,0.45,900,joint_basin,39.5,0.9988616666666668,0.9855368285503578,0.9882778329024562,0.9943165714705003,0.5410933088508129,0.5365172993963656,1.0,1.0,0.0,0.45250125174202926,0.6461855689245395,1.0,4.48435620449801,1.2452230043448722,0.3484069145726297
initial_location_000,initial_location,mild,main,coupled,0.45,1500,boundary_v2_regime_sequence,39.5,0.9988616666666668,0.9933307743250805,0.9935299701974907,0.9977087893358183,0.37364612022548827,0.6174940918194479,1.0,1.0,0.0,0.37691388702363426,0.5829350490196079,1.0,1.6367540636360167,0.5513782360152926,0.1271657268987923
initial_location_000,initial_location,mild,main,coupled,0.45,1500,center_of_mass,39.5,0.9988616666666668,0.6695152485083374,0.6759438500108869,0.8764514893407382,0.5127281834457021,0.27955039876307797,1.0,0.774688922912672,0.11265553854366399,0.3850592714400421,0.7540892839207567,1.0,7.816975238626661,2.0186592755435955,0.6073309083924707
initial_location_000,initial_location,mild,main,coupled,0.45,1500,joint_basin,39.5,0.9988616666666668,0.9895264186078713,0.99040026623941,0.9962251460094989,0.6818327798281817,0.5487474260860292,1.0,0.9986969856534719,0.0006515071732640643,0.44261139611082045,0.7014861853832443,1.0,6.038053054573247,1.4431025183933177,0.4691196131549552
initial_location_000,initial_location,mild,main,coupled,0.45,2400,boundary_v2_regime_sequence,39.5,0.9988616666666668,0.9958419933153462,0.9959336832744003,0.9988384138895526,0.5009260302506281,0.6696835172493094,1.0,1.0,0.0,0.32673036586736276,0.6581877895388925,1.0,1.2274723394556708,0.4805768231590248,0.09536705237496867
initial_location_000,initial_location,mild,main,coupled,0.45,2400,center_of_mass,39.5,0.9988616666666668,0.7244644327998292,0.7292840707278975,0.9297441195368368,0.5439448593453517,0.27892712821101323,1.0,0.7167451721153818,0.14162741394230907,0.42223241946140116,0.7567141070163567,1.0,8.49409012399434,1.9645189819593925,0.6599385609941184
initial_location_000,initial_location,mild,main,coupled,0.45,2400,joint_basin,39.5,0.9988616666666668,0.9909062755781715,0.9915550358468209,0.9971431279652517,0.7442894591105211,0.4955926328468768,1.0,0.9244681827823614,0.03776590860881926,0.4574640798496635,0.7268846553773025,1.0,6.585497922214171,1.4672836438641026,0.5116526904707166
initial_location_000,initial_location,mild,main,coupled,0.5,900,boundary_v2_regime_sequence,39.5,0.9987450000000001,0.9928643729522465,0.9932844227913818,0.9969675938517873,0.37133195561949117,0.5873138317505717,1.0,1.0,0.0,0.40666363686444235,0.5661387844611528,1.0,1.9608846115384324,0.6439614584462382,0.15235066154042984
initial_location_000,initial_location,mild,main,coupled,0.5,900,center_of_mass,39.5,0.9987450000000001,0.6387551496580705,0.6467263286030891,0.8036287137343276,0.5081439192489385,0.27340947188096404,1.0,0.8241032926150265,0.08794835369248669,0.3536785439994879,0.7271882830589875,1.0,7.1378595697921865,2.12388801696237,0.5545750410569389
initial_location_000,initial_location,mild,main,coupled,0.5,900,joint_basin,39.5,0.9987450000000001,0.9873475440865744,0.9891833430766903,0.9948104612722609,0.6036034098176644,0.5395402723013143,1.0,1.0,0.0,0.4506950192757696,0.673434555640438,1.0,5.027939277695302,1.3892624363276007,0.39064507318376507
initial_location_000,initial_location,mild,main,coupled,0.5,1500,boundary_v2_regime_sequence,39.5,0.9987450000000001,0.9944813712666193,0.9946149460920607,0.998128765621663,0.37097498677942525,0.5818066124324992,1.0,1.0,0.0,0.4138494404496124,0.5883884803921569,1.0,1.547822313893252,0.5326903061349787,0.12025784430813828
initial_location_000,initial_location,mild,main,coupled,0.5,1500,center_of_mass,39.5,0.9987450000000001,0.6746249558855737,0.6797906512079067,0.8814599001039021,0.5132793125088908,0.2945472348754295,1.0,0.8059405901820792,0.09702970490896035,0.3853969296865376,0.7525924721885732,1.0,7.837523795108801,2.0362856628892905,0.608935378755034
initial_location_000,initial_location,mild,main,coupled,0.5,1500,joint_basin,39.5,0.9987450000000001,0.988113275111207,0.988989873945193,0.9954386762449818,0.6933073772507871,0.545858495842516,1.0,0.9750825634907923,0.012458718254603785,0.4308755810432426,0.7017637509549275,1.0,6.478023385189092,1.573717598603918,0.5033091777433463
initial_location_000,initial_location,mild,main,coupled,0.5,2400,boundary_v2_regime_sequence,39.5,0.9987450000000001,0.9955577162770759,0.9957106818170682,0.9987653928890652,0.4891190587184383,0.6637541813769928,1.0,1.0,0.0,0.33246688258636786,0.64546875,1.0,1.1737667830742855,0.4751112550471685,0.09119565239837052
initial_location_000,initial_location,mild,main,coupled,0.5,2400,center_of_mass,39.5,0.9987450000000001,0.7329432179376144,0.7366780506087632,0.9334276027415825,0.5449189479469668,0.29535545753551257,1.0,0.745755806905585,0.12712209654720746,0.42108616105403635,0.7413692732812545,1.0,8.514376415025549,1.992311283140675,0.6615233519789054
initial_location_000,initial_location,mild,main,coupled,0.5,2400,joint_basin,39.5,0.9987450000000001,0.9901726657402202,0.9910797564005888,0.9966049129843775,0.7565586898968781,0.5031543722210948,1.0,0.9474843171353114,0.026257841432344258,0.46185112005712947,0.7257037815126051,1.0,6.7016618313518705,1.5423224584260329,0.5206847488566564
initial_location_000,initial_location,mild,main,coupled,0.525,900,boundary_v2_regime_sequence,39.5,0.9988333333333334,0.9939713274716875,0.9942414790183273,0.9973277355649414,0.3798369539690881,0.5957989441369418,1.0,1.0,0.0,0.39899329063663724,0.5727046783625731,1.0,1.9199006905942144,0.6322407973083283,0.14916494836953742
initial_location_000,initial_location,mild,main,coupled,0.525,900,center_of_mass,39.5,0.9988333333333334,0.6400082326141321,0.6474717580334751,0.8056865823167764,0.5123719518901735,0.2795399920545171,1.0,0.8376118468610416,0.08119407656947915,0.3527629952595934,0.7364172144075435,1.0,7.140993878663513,2.12790291543135,0.554813075466991
initial_location_000,initial_location,mild,main,coupled,0.525,900,joint_basin,39.5,0.9988333333333334,0.9866159954215886,0.9884164217793698,0.9944357217021593,0.6124148559139477,0.5436032019188278,1.0,1.0,0.0,0.4459455613939496,0.6707776822850352,1.0,5.269392001433585,1.4579681445391737,0.4094006629775701
initial_location_000,initial_location,mild,main,coupled,0.525,1500,boundary_v2_regime_sequence,39.5,0.9988333333333334,0.9946437419571742,0.9947905844545508,0.9981642563477175,0.38113065924105965,0.5811003063421263,1.0,1.0,0.0,0.41470811072237906,0.5908343545751634,1.0,1.5029426601196156,0.5246568553368322,0.11676977339669097
initial_location_000,initial_location,mild,main,coupled,0.525,1500,center_of_mass,39.5,0.9988333333333334,0.6767226470879367,0.6813832924373757,0.88353464097245,0.5117666839255384,0.301636956351058,1.0,0.8209204283576208,0.08953978582118953,0.38547362726263495,0.7545966337627983,1.0,7.8474978080308855,2.045092479806582,0.6097042550750131
initial_location_000,initial_location,mild,main,coupled,0.525,1500,joint_basin,39.5,0.9988333333333334,0.9896579060213921,0.9905510957695739,0.996018414831019,0.7169451682282595,0.5444977801871116,1.0,0.9711578905829523,0.014421054708523779,0.431212208970258,0.7194568585009762,1.0,6.633522289453792,1.629411970309274,0.5153855288252724
initial_location_000,initial_location,mild,main,coupled,0.525,2400,boundary_v2_regime_sequence,39.5,0.9988333333333334,0.9927948971030928,0.9929584252532113,0.9978068864869615,0.39316484000680224,0.6451848839366275,1.0,1.0,0.0,0.34862448229659915,0.5976667542016807,1.0,1.1602842356099028,0.47395984769034205,0.09014723845588749
initial_location_000,initial_location,mild,main,coupled,0.525,2400,center_of_mass,39.5,0.9988333333333334,0.736506054370023,0.7398034533965288,0.935107954513648,0.549142725605846,0.30288323691131486,1.0,0.7585565730382395,0.12072171348088019,0.42026831873998177,0.7393995026735878,1.0,8.53014719519173,2.006601853627453,0.662742084321801
initial_location_000,initial_location,mild,main,coupled,0.525,2400,joint_basin,39.5,0.9988333333333334,0.9889153869426937,0.9900104030605712,0.9961435558586722,0.7554433453276049,0.5008464449501905,1.0,0.9643053069310774,0.01784734653446121,0.47275646715727265,0.7238015130294542,1.0,6.710154976309527,1.57078512533579,0.5213394272459865
initial_location_000,initial_location,mild,main,independent_alpha0,0.45,900,boundary_v2_regime_sequence,39.5,0.9988016666666667,0.9943449304915777,0.9944339276123417,0.9976852768307067,0.6068572787311459,0.8380587603915524,1.0,1.0,0.0,0.15522671708429422,0.673847479111066,1.0,3.2589998425959097,0.9437632873541528,0.25320595757231634
initial_location_000,initial_location,mild,main,independent_alpha0,0.45,900,center_of_mass,39.5,0.9988016666666667,0.5933843446418375,0.618318427212363,0.7600482202836303,0.4794191538174969,0.20848823463150082,1.0,0.7127662498936753,0.14361687505316229,0.3514937166823016,0.7235989785036374,1.0,7.001492052235133,2.0376392081158614,0.5439765237519055
initial_location_000,initial_location,mild,main,independent_alpha0,0.45,900,joint_basin,39.5,0.9988016666666667,0.9952358876458842,0.9952618727383162,0.9981519224093673,0.5625855724216474,0.5732995750372687,1.0,1.0,0.0,0.4228899160234284,0.5851892405098927,1.0,1.1560712833821702,0.42351730483582317,0.08982021720145215
initial_location_000,initial_location,mild,main,independent_alpha0,0.45,1500,boundary_v2_regime_sequence,39.5,0.9988016666666667,0.9934572150544974,0.9934665922036883,0.9978858057645834,0.6686104412513849,0.8747955133301322,1.0,1.0,0.0,0.11757411206665655,0.7217661867118389,1.0,3.8410420414092634,0.897248343280695,0.29842737301288536
initial_location_000,initial_location,mild,main,independent_alpha0,0.45,1500,center_of_mass,39.5,0.9988016666666667,0.5768461147853239,0.6146582780215659,0.8129221565982914,0.4331048288365989,0.21124698194368122,1.0,0.7122675871888611,0.1438662064055695,0.3675967467881325,0.7009688813385739,1.0,7.4786049930843035,1.8414378759535162,0.581045524530803
initial_location_000,initial_location,mild,main,independent_alpha0,0.45,1500,joint_basin,39.5,0.9988016666666667,0.9946334685888765,0.9951029421474843,0.9985624223916194,0.6331241956693257,0.5922701502438742,1.0,1.0,0.0,0.40367886717627605,0.6648230445184107,1.0,1.0863407587323444,0.34137162061588755,0.08440254957737661
initial_location_000,initial_location,mild,main,independent_alpha0,0.45,2400,boundary_v2_regime_sequence,39.5,0.9988016666666667,0.996158812408256,0.9961612770937693,0.9990516522290557,0.7644452787876291,0.8872242731793138,1.0,1.0,0.0,0.10851437382659983,0.796167208909082,1.0,4.3540141644531465,0.8490325650948425,0.33828240775316776
initial_location_000,initial_location,mild,main,independent_alpha0,0.45,2400,center_of_mass,39.5,0.9988016666666667,0.5554453296771518,0.6127153607632831,0.8526539416488916,0.41641996884365123,0.20382621650950045,1.0,0.716961229715445,0.14151938514227747,0.39974140291057597,0.6766321579367642,1.0,7.770167473856397,1.656728673039145,0.6036982910487687
initial_location_000,initial_location,mild,main,independent_alpha0,0.45,2400,joint_basin,39.5,0.9988016666666667,0.9921539159559509,0.9936169953304808,0.9978084940206084,0.5745159530669268,0.634222881678738,1.0,1.0,0.0,0.35935597212817216,0.6527855484298983,1.0,0.973173744518604,0.26867585939018296,0.07561011221917627
initial_location_000,initial_location,mild,main,independent_alpha0,0.5,900,boundary_v2_regime_sequence,39.5,0.9987433333333333,0.9942511295847976,0.9943494268347832,0.9976359256346813,0.6037733412264904,0.8304789400992132,1.0,1.0,0.0,0.16273086509163023,0.6689175534610318,1.0,3.2524687043067395,0.9434499673255445,0.2527001698067113
initial_location_000,initial_location,mild,main,independent_alpha0,0.5,900,center_of_mass,39.5,0.9987433333333333,0.5927215805279024,0.618159183868985,0.7600946334662064,0.47790858072650944,0.20695434069684132,1.0,0.7117148627891592,0.14414256860542035,0.35459609664744607,0.7175943848997497,1.0,7.0108103099066295,2.037712793321146,0.5447040758307866
initial_location_000,initial_location,mild,main,independent_alpha0,0.5,900,joint_basin,39.5,0.9987433333333333,0.9951339271911424,0.9951941529350835,0.9980995701690478,0.5600548744084839,0.5835167976326027,1.0,1.0,0.0,0.4125137394221031,0.5846049726239944,1.0,1.1551212116032938,0.42439751623222416,0.0897470024354115
initial_location_000,initial_location,mild,main,independent_alpha0,0.5,1500,boundary_v2_regime_sequence,39.5,0.9987433333333333,0.9934685390761337,0.9934794258048795,0.9978548338587829,0.6622900079779316,0.8769156456413034,1.0,1.0,0.0,0.11542673037182175,0.7172573726807137,1.0,3.836656540539451,0.8970745568846248,0.2980885843565805
initial_location_000,initial_location,mild,main,independent_alpha0,0.5,1500,center_of_mass,39.5,0.9987433333333333,0.576025333133022,0.6137861768162802,0.8130542561772227,0.43120986515380455,0.21033897566231166,1.0,0.7125133511581387,0.14374332442093055,0.3696990222259261,0.6945695512404725,1.0,7.479758504242481,1.8416726220167123,0.5811389715292529
initial_location_000,initial_location,mild,main,independent_alpha0,0.5,1500,joint_basin,39.5,0.9987433333333333,0.9945448766800707,0.9950595541976979,0.9985139802647982,0.613067061466835,0.5831482985862855,1.0,1.0,0.0,0.41278251999446736,0.6550234460905228,1.0,1.0866361752449039,0.34231523956118737,0.08442606280066534
initial_location_000,initial_location,mild,main,independent_alpha0,0.5,2400,boundary_v2_regime_sequence,39.5,0.9987433333333333,0.9961518540881024,0.996154317245252,0.9990273952592155,0.7545956883733743,0.892690583355664,1.0,1.0,0.0,0.10298446657877894,0.7895747334021328,1.0,4.348683855892397,0.848407258257371,0.337870489337624
initial_location_000,initial_location,mild,main,independent_alpha0,0.5,2400,center_of_mass,39.5,0.9987433333333333,0.5545165371121719,0.6119234410736014,0.8528904655052516,0.4183764062620317,0.20297729056185063,1.0,0.7161030249552855,0.14194848752235717,0.40068777521862114,0.6767170172317499,1.0,7.77445120230099,1.657070954149868,0.6040350840985258
initial_location_000,initial_location,mild,main,independent_alpha0,0.5,2400,joint_basin,39.5,0.9987433333333333,0.9922736735542319,0.9937184102883835,0.9977961423656122,0.5707935545534102,0.6315405554162152,1.0,1.0,0.0,0.36213247552100764,0.6453153268449742,1.0,0.9731990061136976,0.26906720460877553,0.0756125766685726
initial_location_000,initial_location,mild,main,independent_alpha0,0.525,900,boundary_v2_regime_sequence,39.5,0.9987866666666667,0.9943781957680123,0.9944638562490622,0.9977327967244614,0.6062211181246526,0.8353442572300287,1.0,1.0,0.0,0.158027113950569,0.6702485295501599,1.0,3.2539143788868232,0.9431520671240989,0.2528112447531362
initial_location_000,initial_location,mild,main,independent_alpha0,0.525,900,center_of_mass,39.5,0.9987866666666667,0.5926742449223638,0.6180806812999747,0.7598734918877224,0.4807772602614877,0.20760447405869856,1.0,0.7118667426066928,0.14406662869665354,0.3524759485360172,0.7210303488187834,1.0,7.007906391741484,2.037277302986792,0.5444758160125505
initial_location_000,initial_location,mild,main,independent_alpha0,0.525,900,joint_basin,39.5,0.9987866666666667,0.9951224033634285,0.9951884303879875,0.9981368971268452,0.5655187080510642,0.5890629647120488,1.0,1.0,0.0,0.4069497002251562,0.5872180829748296,1.0,1.1580322025648457,0.42378307686972894,0.08997274317867296
initial_location_000,initial_location,mild,main,independent_alpha0,0.525,1500,boundary_v2_regime_sequence,39.5,0.9987866666666667,0.9933736682083392,0.9933880506333524,0.9978849397557207,0.6672673887371257,0.8728945826132779,1.0,1.0,0.0,0.11942756114556725,0.7194782193874013,1.0,3.833302232955995,0.896816416402211,0.2978265038037952
initial_location_000,initial_location,mild,main,independent_alpha0,0.525,1500,center_of_mass,39.5,0.9987866666666667,0.5763561092165818,0.6142310428742748,0.8131257969864508,0.4339691484450309,0.2102726561595681,1.0,0.7120712098908658,0.14396439505456704,0.3699024684296763,0.7005044140150354,1.0,7.4814975030052056,1.841322811373572,0.5812712479173141
initial_location_000,initial_location,mild,main,independent_alpha0,0.525,1500,joint_basin,39.5,0.9987866666666667,0.994481637216652,0.9949988547419137,0.9985421143469221,0.6197243778965372,0.6002135337083417,1.0,1.0,0.0,0.39557698383391393,0.6602117138201234,1.0,1.0851409633745848,0.34184488811464325,0.08430949824576169
initial_location_000,initial_location,mild,main,independent_alpha0,0.525,2400,boundary_v2_regime_sequence,39.5,0.9987866666666667,0.996028551855429,0.9960306177950976,0.999037170593924,0.7643795130308587,0.8872354947671528,1.0,1.0,0.0,0.10836960835774183,0.7980378642685144,1.0,4.346116875621126,0.8482298685890737,0.33766938966545984
initial_location_000,initial_location,mild,main,independent_alpha0,0.525,2400,center_of_mass,39.5,0.9987866666666667,0.5543141155139235,0.6118879647628493,0.8523096465508923,0.42084314086910996,0.20368361587699976,1.0,0.7162508288624482,0.1418745855687759,0.3980866039614264,0.6828042138019377,1.0,7.773302167223415,1.6565062836398041,0.6039428821106497
initial_location_000,initial_location,mild,main,independent_alpha0,0.525,2400,joint_basin,39.5,0.9987866666666667,0.9919818988086913,0.9934706213122881,0.9977358416155855,0.562817622579516,0.6330950392702499,1.0,1.0,0.0,0.3603633708462849,0.643524469596451,1.0,0.9717744231605405,0.2685272427242449,0.0755015437081961
initial_location_000,initial_location,mild,main,product,0.45,900,boundary_v2_regime_sequence,39.5,0.99882,0.9942631745104107,0.9943576520781224,0.9976180131987844,0.611558163252673,0.8344234782598455,1.0,1.0,0.0,0.15876480770430654,0.6795497799302147,1.0,3.2532939589133156,0.9441926903041666,0.2527621166984296
initial_location_000,initial_location,mild,main,product,0.45,900,center_of_mass,39.5,0.99882,0.5922254281194138,0.6173621503944074,0.7595344489564779,0.48106110374855315,0.20715459234189657,1.0,0.7116074915269808,0.14419625423650956,0.35286804665630866,0.7236970240109096,1.0,7.00981016739904,2.038444580485939,0.5446216959262195
initial_location_000,initial_location,mild,main,product,0.45,900,joint_basin,39.5,0.99882,0.995097527904002,0.9951438584364937,0.9980635422380681,0.573015658069082,0.5896758966273085,1.0,1.0,0.0,0.4062734314290162,0.5940403927795233,1.0,1.15514345076929,0.42410419937964444,0.08974794715223712
initial_location_000,initial_location,mild,main,product,0.45,1500,boundary_v2_regime_sequence,39.5,0.99882,0.9934688812309359,0.9934804823281118,0.9978368773075731,0.6639964060930864,0.8715804953506522,1.0,1.0,0.0,0.12079221888730438,0.7229068904969934,1.0,3.8353176534902453,0.897877549827505,0.2979819813627484
initial_location_000,initial_location,mild,main,product,0.45,1500,center_of_mass,39.5,0.99882,0.5758411959052094,0.613681787497747,0.8126293495965573,0.43278289681051885,0.21053065596119502,1.0,0.7125869287885251,0.1437065356057374,0.36866239973922055,0.7026369520492222,1.0,7.480153950882112,1.8424170743651298,0.5811646706846815
initial_location_000,initial_location,mild,main,product,0.45,1500,joint_basin,39.5,0.99882,0.9944133750530488,0.9949057887681757,0.9984815296542472,0.6280329133584465,0.5955146499754503,1.0,1.0,0.0,0.4002293911948832,0.6696831588193144,1.0,1.0869398667328471,0.3421946117210108,0.08444892757511352
initial_location_000,initial_location,mild,main,product,0.45,2400,boundary_v2_regime_sequence,39.5,0.99882,0.9962287640854119,0.9962324987262685,0.9990469074239823,0.7655660369781802,0.8912622274663133,1.0,1.0,0.0,0.10450683648816003,0.8009392046292201,1.0,4.3481932181384835,0.8490923227812545,0.3378294447026654
initial_location_000,initial_location,mild,main,product,0.45,2400,center_of_mass,39.5,0.99882,0.5540373382920017,0.6112063346596831,0.852301974214585,0.41666258964759983,0.20238692133462938,1.0,0.7162220709317397,0.1418889645341301,0.40161323793659126,0.678253945708285,1.0,7.772987836769407,1.6579202021585862,0.6039161700439027
initial_location_000,initial_location,mild,main,product,0.45,2400,joint_basin,39.5,0.99882,0.9921574142690389,0.9936150920852489,0.9977901443884607,0.5831427945491148,0.6266005945573905,1.0,1.0,0.0,0.36704203521765055,0.657374963143152,1.0,0.9747183060754446,0.2692340047947407,0.07572996092286856
initial_location_000,initial_location,mild,main,product,0.5,900,boundary_v2_regime_sequence,39.5,0.998865,0.9943568850295519,0.9944561246129648,0.9976509299947139,0.6072860901475361,0.8317929046204272,1.0,1.0,0.0,0.16151716469631075,0.6710332167832168,1.0,3.256866360054181,0.9439188992422396,0.25303839207372586
initial_location_000,initial_location,mild,main,product,0.5,900,center_of_mass,39.5,0.998865,0.5940121648217483,0.6187756187789322,0.7604913640920044,0.4800486361857411,0.207641341148776,1.0,0.711526803156737,0.14423659842163145,0.3540201446110668,0.7173670242884576,1.0,7.002720154752902,2.036997842156458,0.5440680899283545
initial_location_000,initial_location,mild,main,product,0.5,900,joint_basin,39.5,0.998865,0.995232932868509,0.9952603466155402,0.998089505199472,0.5639555552357485,0.573009880213218,1.0,1.0,0.0,0.423145875773496,0.5883948656013873,1.0,1.1581521899607923,0.424662800876937,0.08998126630955632
initial_location_000,initial_location,mild,main,product,0.5,1500,boundary_v2_regime_sequence,39.5,0.998865,0.9935225813311082,0.9935335468093319,0.9978797964665116,0.6666731808733845,0.8689962651493748,1.0,1.0,0.0,0.12348327520948685,0.7193445260879472,1.0,3.8346232458333853,0.8971205095365633,0.29792652976619544
initial_location_000,initial_location,mild,main,product,0.5,1500,center_of_mass,39.5,0.998865,0.5767288817451904,0.6144487387409014,0.8133700925185023,0.43017027335455466,0.21220902172527448,1.0,0.7127433177423972,0.14362834112880135,0.3653312779976156,0.6976346348223867,1.0,7.473472012701487,1.840761323098746,0.5806426091219328
initial_location_000,initial_location,mild,main,product,0.5,1500,joint_basin,39.5,0.998865,0.9946673343615637,0.9951184582349957,0.9985286166549555,0.6227864008270302,0.5933018531280834,1.0,1.0,0.0,0.40264521106664297,0.6605389868363266,1.0,1.086566914560286,0.3422812432834698,0.08441952835789192
