kappa,association_target,normalized_mutual_information,adjusted_mutual_information
predictive_kmeans_k5,COM,0.3351953260105916,0.3351838665002229
predictive_kmeans_k5,joint_basin,0.7695890637553916,0.7695872947435034
predictive_kmeans_k5,relative_distance,0.38840944775394487,0.3883945308121365
predictive_kmeans_k5,label_0_target_mean,1.0,1.0
predictive_kmeans_k5,label_1_target_mean,1.0,1.0
predictive_kmeans_k5,label_2_target_mean,1.0,1.0
predictive_kmeans_k5,label_3_target_mean,0.0,0.0
predictive_kmeans_k5,label_4_target_mean,1.0,1.0
predictive_kmeans_k8,COM,0.36897996263623384,0.3689636762124471
predictive_kmeans_k8,joint_basin,0.8208130415451886,0.8208110575437734
predictive_kmeans_k8,relative_distance,0.4104613799635713,0.4104391105940328
predictive_kmeans_k8,label_0_target_mean,1.0,1.0
predictive_kmeans_k8,label_1_target_mean,1.0,1.0
predictive_kmeans_k8,label_2_target_mean,1.0,1.0
predictive_kmeans_k8,label_3_target_mean,1.0,1.0
predictive_kmeans_k8,label_4_target_mean,0.0,0.0
predictive_kmeans_k8,label_5_target_mean,1.0,1.0
predictive_kmeans_k8,label_6_target_mean,1.0,1.0
predictive_kmeans_k8,label_7_target_mean,1.0,1.0
predictive_kmeans_k13,COM,0.4194017086367098,0.4193801789864837
predictive_kmeans_k13,joint_basin,0.6952632697365924,0.6952585389273296
predictive_kmeans_k13,relative_distance,0.44267813970470926,0.4426468236761584
predictive_kmeans_k13,label_0_target_mean,1.0,1.0
predictive_kmeans_k13,label_1_target_mean,1.0,1.0
predictive_kmeans_k13,label_2_target_mean,1.0,1.0
predictive_kmeans_k13,label_3_target_mean,1.0,1.0
predictive_kmeans_k13,label_4_target_mean,0.0,0.0
predictive_kmeans_k13,label_5_target_mean,1.0,1.0
predictive_kmeans_k13,label_6_target_mean,1.0,1.0
predictive_kmeans_k13,label_7_target_mean,1.0,1.0
predictive_kmeans_k13,label_8_target_mean,1.0,1.0
predictive_kmeans_k13,label_9_target_mean,1.0,1.0
predictive_kmeans_k13,label_10_target_mean,1.0,1.0
predictive_kmeans_k13,label_11_target_mean,1.0,1.0
predictive_kmeans_k13,label_12_target_mean,1.0,1.0
predictive_kmeans_k21,COM,0.4676664300642478,0.46763822588092063
predictive_kmeans_k21,joint_basin,0.6159029188514518,0.6158944006072069
predictive_kmeans_k21,relative_distance,0.4913141441004041,0.49127206005944635
predictive_kmeans_k21,label_0_target_mean,1.0,1.0
predictive_kmeans_k21,label_1_target_mean,1.0,1.0
predictive_kmeans_k21,label_2_target_mean,1.0,1.0
predictive_kmeans_k21,label_3_target_mean,1.0,1.0
predictive_kmeans_k21,label_4_target_mean,0.0,0.0
predictive_kmeans_k21,label_5_target_mean,1.0,1.0
predictive_kmeans_k21,label_6_target_mean,1.0,1.0
predictive_kmeans_k21,label_7_target_mean,1.0,1.0
predictive_kmeans_k21,label_8_target_mean,1.0,1.0
predictive_kmeans_k21,label_9_target_mean,1.0,1.0
predictive_kmeans_k21,label_10_target_mean,1.0,1.0
predictive_kmeans_k21,label_11_target_mean,1.0,1.0
predictive_kmeans_k21,label_12_target_mean,1.0,1.0
predictive_kmeans_k21,label_13_target_mean,1.0,1.0
predictive_kmeans_k21,label_14_target_mean,1.0,1.0
predictive_kmeans_k21,label_15_target_mean,1.0,1.0
predictive_kmeans_k21,label_16_target_mean,1.0,1.0
predictive_kmeans_k21,label_17_target_mean,0.0,0.0
predictive_kmeans_k21,label_18_target_mean,1.0,1.0
predictive_kmeans_k21,label_19_target_mean,1.0,1.0
predictive_kmeans_k21,label_20_target_mean,1.0,1.0
predictive_kmeans_no_COM_k8,COM,0.3322312141934063,0.33221403995172544
predictive_kmeans_no_COM_k8,joint_basin,0.823642661263333,0.8236407165762996
predictive_kmeans_no_COM_k8,relative_distance,0.43572761714750075,0.43570636892813486
predictive_kmeans_no_COM_k8,label_0_target_mean,1.0,1.0
predictive_kmeans_no_COM_k8,label_1_target_mean,1.0,1.0
predictive_kmeans_no_COM_k8,label_2_target_mean,1.0,1.0
predictive_kmeans_no_COM_k8,label_3_target_mean,0.0,0.0
predictive_kmeans_no_COM_k8,label_4_target_mean,1.0,1.0
predictive_kmeans_no_COM_k8,label_5_target_mean,1.0,1.0
predictive_kmeans_no_COM_k8,label_6_target_mean,1.0,1.0
predictive_kmeans_no_COM_k8,label_7_target_mean,1.0,1.0
predictive_kmeans_no_COM_k13,COM,0.4411728750276735,0.44115249817200575
predictive_kmeans_no_COM_k13,joint_basin,0.6816737546029435,0.6816689064375371
predictive_kmeans_no_COM_k13,relative_distance,0.4570460689576156,0.4570160173262545
predictive_kmeans_no_COM_k13,label_0_target_mean,1.0,1.0
predictive_kmeans_no_COM_k13,label_1_target_mean,1.0,1.0
predictive_kmeans_no_COM_k13,label_2_target_mean,1.0,1.0
predictive_kmeans_no_COM_k13,label_3_target_mean,0.0,0.0
predictive_kmeans_no_COM_k13,label_4_target_mean,1.0,1.0
predictive_kmeans_no_COM_k13,label_5_target_mean,1.0,1.0
predictive_kmeans_no_COM_k13,label_6_target_mean,1.0,1.0
predictive_kmeans_no_COM_k13,label_7_target_mean,1.0,1.0
predictive_kmeans_no_COM_k13,label_8_target_mean,1.0,1.0
predictive_kmeans_no_COM_k13,label_9_target_mean,1.0,1.0
predictive_kmeans_no_COM_k13,label_10_target_mean,1.0,1.0
predictive_kmeans_no_COM_k13,label_11_target_mean,1.0,1.0
predictive_kmeans_no_COM_k13,label_12_target_mean,1.0,1.0
