alpha,T,threshold,kappa,singleton_fraction,small_fiber_fraction,component_B_preservation,lower_rank_erasure_score
0.45,900,loose,boundary_v2_regime_sequence,0.3732162815329627,0.5473063245140913,1.0,0.0
0.45,900,loose,center_of_mass,0.4256775047356757,0.7475681152095508,0.8019622074695318,0.099018896265234
0.45,900,loose,joint_basin,0.478901436027343,0.7548517676335393,1.0,0.0
0.45,900,main,boundary_v2_regime_sequence,0.3732162815329627,0.5473063245140913,1.0,0.0
0.45,900,main,center_of_mass,0.4256775047356757,0.7475681152095508,0.8019622074695318,0.099018896265234
0.45,900,main,joint_basin,0.478901436027343,0.7548517676335393,1.0,0.0
0.45,900,strict,boundary_v2_regime_sequence,0.3732162815329627,0.5473063245140913,1.0,0.0
0.45,900,strict,center_of_mass,0.4256775047356757,0.7475681152095508,0.8019622074695318,0.099018896265234
0.45,900,strict,joint_basin,0.478901436027343,0.7548517676335393,1.0,0.0
0.45,1500,loose,boundary_v2_regime_sequence,0.34255604178243493,0.5636906072943225,1.0,0.0
0.45,1500,loose,center_of_mass,0.45342912539962166,0.7713767859685942,0.7762657335424358,0.11186713322878207
0.45,1500,loose,joint_basin,0.477149424686418,0.7473858006304097,0.9968599250979189,0.0015700374510405175
0.45,1500,main,boundary_v2_regime_sequence,0.34255604178243493,0.5636906072943225,1.0,0.0
0.45,1500,main,center_of_mass,0.45342912539962166,0.7713767859685942,0.7762657335424358,0.11186713322878207
0.45,1500,main,joint_basin,0.477149424686418,0.7473858006304097,0.9968599250979189,0.0015700374510405175
0.45,1500,strict,boundary_v2_regime_sequence,0.34255604178243493,0.5636906072943225,1.0,0.0
0.45,1500,strict,center_of_mass,0.45342912539962166,0.7713767859685942,0.7762657335424358,0.11186713322878207
0.45,1500,strict,joint_basin,0.477149424686418,0.7473858006304097,0.9968599250979189,0.0015700374510405175
0.45,2400,loose,boundary_v2_regime_sequence,0.26125840825840824,0.36748909423909426,1.0,0.0
0.45,2400,loose,center_of_mass,0.482455807894255,0.7989564826550357,0.7218171287589448,0.13909143562052761
0.45,2400,loose,joint_basin,0.5174273707533777,0.8003406824138127,0.9296229380319444,0.03518853098402775
0.45,2400,main,boundary_v2_regime_sequence,0.26125840825840824,0.36748909423909426,1.0,0.0
0.45,2400,main,center_of_mass,0.482455807894255,0.7989564826550357,0.7218171287589448,0.13909143562052761
0.45,2400,main,joint_basin,0.5174273707533777,0.8003406824138127,0.9296229380319444,0.03518853098402775
0.45,2400,strict,boundary_v2_regime_sequence,0.26125840825840824,0.36748909423909426,1.0,0.0
0.45,2400,strict,center_of_mass,0.482455807894255,0.7989564826550357,0.7218171287589448,0.13909143562052761
0.45,2400,strict,joint_basin,0.5174273707533777,0.8003406824138127,0.9296229380319444,0.03518853098402775
0.5,900,loose,boundary_v2_regime_sequence,0.3524738519564371,0.5670538341517444,1.0,0.0
0.5,900,loose,center_of_mass,0.428356588121242,0.7465409166447522,0.8283746480105583,0.08581267599472078
0.5,900,loose,joint_basin,0.4839939483487734,0.7483718013083945,1.0,0.0
0.5,900,main,boundary_v2_regime_sequence,0.3524738519564371,0.5670538341517444,1.0,0.0
0.5,900,main,center_of_mass,0.428356588121242,0.7465409166447522,0.8283746480105583,0.08581267599472078
0.5,900,main,joint_basin,0.4839939483487734,0.7483718013083945,1.0,0.0
0.5,900,strict,boundary_v2_regime_sequence,0.3524738519564371,0.5670538341517444,1.0,0.0
0.5,900,strict,center_of_mass,0.428356588121242,0.7465409166447522,0.8283746480105583,0.08581267599472078
0.5,900,strict,joint_basin,0.4839939483487734,0.7483718013083945,1.0,0.0
0.5,1500,loose,boundary_v2_regime_sequence,0.40034270712947184,0.5674958978929567,1.0,0.0
