kappa,k,include_COM_feature,regularization,train_predictive_loss,validation_predictive_loss,num_label_penalty,singleton_fraction,small_fiber_fraction,label_imbalance,total_validation_loss
predictive_kmeans_k5,5,True,light,0.0004722253158990318,0.0004656380589511458,5.787037037037037e-06,0.0,0.0,0.23179628227280202,0.012055481107776432
predictive_kmeans_k5,5,True,main,0.0004722253158990318,0.0004656380589511458,5.787037037037037e-06,0.0,0.0,0.23179628227280202,0.023645295221416535
predictive_kmeans_k5,5,True,strict,0.0004722253158990318,0.0004656380589511458,5.787037037037037e-06,0.0,0.0,0.23179628227280202,0.035235109335056636
predictive_kmeans_k8,8,True,light,0.00013580952252564368,0.00013606398293156615,9.259259259259259e-06,0.0,0.0,0.2571373022265523,0.012992975390555479
predictive_kmeans_k8,8,True,main,0.00013580952252564368,0.00013606398293156615,9.259259259259259e-06,0.0,0.0,0.2571373022265523,0.025849840501883093
predictive_kmeans_k8,8,True,strict,0.00013580952252564368,0.00013606398293156615,9.259259259259259e-06,0.0,0.0,0.2571373022265523,0.038706705613210705
predictive_kmeans_k13,13,True,light,8.0166643355233e-05,8.046660038775873e-05,1.5046296296296297e-05,0.0,0.0,0.18686693647475383,0.009423888655606932
predictive_kmeans_k13,13,True,main,8.0166643355233e-05,8.046660038775873e-05,1.5046296296296297e-05,0.0,0.0,0.18686693647475383,0.018767235479344623
predictive_kmeans_k13,13,True,strict,8.0166643355233e-05,8.046660038775873e-05,1.5046296296296297e-05,0.0,0.0,0.18686693647475383,0.028110582303082315
predictive_kmeans_k21,21,True,light,4.321310290235264e-05,4.274247816845702e-05,2.4305555555555554e-05,0.0,0.0,0.13192542668960627,0.006639135340426549
predictive_kmeans_k21,21,True,main,4.321310290235264e-05,4.274247816845702e-05,2.4305555555555554e-05,0.0,0.0,0.13192542668960627,0.013235406674906863
predictive_kmeans_k21,21,True,strict,4.321310290235264e-05,4.274247816845702e-05,2.4305555555555554e-05,0.0,0.0,0.13192542668960627,0.019831678009387173
predictive_kmeans_no_COM_k8,8,False,light,0.00013352840600189302,0.00013372868852125022,9.259259259259259e-06,0.0,0.0,0.246606653022439,0.012464107635939498
predictive_kmeans_no_COM_k8,8,False,main,0.00013352840600189302,0.00013372868852125022,9.259259259259259e-06,0.0,0.0,0.246606653022439,0.02479444028706145
predictive_kmeans_no_COM_k8,8,False,strict,0.00013352840600189302,0.00013372868852125022,9.259259259259259e-06,0.0,0.0,0.246606653022439,0.03712477293818339
predictive_kmeans_no_COM_k13,13,False,light,7.934846681895125e-05,7.966030514847431e-05,1.5046296296296297e-05,0.0,0.0,0.1508743934489113,0.007623455209075521
predictive_kmeans_no_COM_k13,13,False,main,7.934846681895125e-05,7.966030514847431e-05,1.5046296296296297e-05,0.0,0.0,0.1508743934489113,0.015167174881521087
predictive_kmeans_no_COM_k13,13,False,strict,7.934846681895125e-05,7.966030514847431e-05,1.5046296296296297e-05,0.0,0.0,0.1508743934489113,0.02271089455396665
