world,delta_lineage_vs_full_DAR,delta_asymmetry_vs_full_DAR,delta_relation_vs_full_DAR,delta_structured_richness_vs_full_DAR,full_DAR_beats_world
W0_null_flat,0.2677034350012585,0.04039458205291974,0.6606544977704611,17.345674383376796,True
W10_noise_rich_control,0.01751937182705532,0.036958261577820485,-0.1912171748485011,17.183418516117484,True
W11_collapse_attractor_control,0.09855499750125848,0.04039458205291974,0.5921603361133734,17.34520930867816,True
W1_distinction_only,-0.30195241053974387,0.04039458205291974,0.3442692993292873,2.9696399139517986,True
W2_asymmetry_only,-0.24628226781940932,0.04039458205291974,0.34411408417280676,2.98801034293097,True
W3_relation_only,-0.2719895806064666,0.04039458205291974,0.3414410585601021,3.2176820442164846,True
W4_distinction_asymmetry,-0.24606153655053686,0.04039458205291974,0.3440234616343927,2.9891281794723312,True
W5_distinction_relation,-0.2721904278013225,0.04039458205291974,0.34171702236073487,3.2092116778466426,True
W6_asymmetry_relation,-0.24357168103575633,0.04039458205291974,0.34390918799653547,3.018047375023748,True
W7_full_DAR,0.0,0.0,0.0,0.0,False
W8_full_random_relation_control,-0.002011148567155119,-0.004457924961855861,-0.0028198156855036016,1.0793534952189248,True
W9_full_symmetric_control,-0.059772740461344065,0.040244202593215324,-0.002303901651026563,1.5785506951973183,True
