world,T,n_sites,seed,p_viable,viable_future_entropy,viability_weighted_richness,noncollapse_diversity,state_diversity,distinction_entropy,distinction_survival,nontrivial_future_classes
W0_null_flat,50,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,50,16,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
