name,distinction,asymmetry,relation,q
W0_null_flat,none,symmetric,independent,1
W1_distinction_only,low,symmetric,independent,2
W2_asymmetry_only,low,strong,independent,2
W3_relation_only,low,symmetric,fixed,2
W4_distinction_asymmetry,low,strong,independent,2
W5_distinction_relation,low,symmetric,fixed,2
W6_asymmetry_relation,low,strong,fixed,2
W7_full_DAR,rich,strong,modular_directed,4
W8_full_random_relation_control,rich,strong,random_stepwise,4
W9_full_symmetric_control,rich,symmetric,modular_directed,4
W10_noise_rich_control,rich,noise,independent,4
W11_collapse_attractor_control,low,collapse,fixed,2
