world,T,seed,closure_rate,lineage_recurrence_rate,recoverable_alternative_count,branching_after_closure,lock_in_index,closure_without_lock_in
W0_null_flat,50,0,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,1,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,2,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,3,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,4,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,5,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,6,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,7,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,8,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,9,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,11,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,12,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,10,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,13,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,14,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,16,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,15,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,18,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,17,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,21,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,23,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,20,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,24,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,22,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,19,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,25,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,26,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,27,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,29,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,28,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,100,0,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,100,1,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,100,4,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,100,2,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,100,5,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,100,3,0.0,0.0,0.0,0.0,1.0,0.0
