world,T,seed,relation_lineage_survival_depth,relation_lineage_branching_entropy,relation_lineage_extinction_rate,relation_lineage_merge_rate,relation_lineage_shuffle_delta
W0_null_flat,50,0,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,1,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,2,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,3,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,4,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,5,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,6,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,7,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,8,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,9,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,11,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,12,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,10,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,13,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,14,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,16,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,15,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,18,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,17,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,21,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,23,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,20,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,24,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,22,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,19,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,25,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,26,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,27,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,29,0.0,0.0,1.0,1.0,0.0
W0_null_flat,50,28,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,0,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,1,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,4,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,2,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,5,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,3,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,7,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,6,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,9,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,11,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,10,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,12,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,13,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,8,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,15,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,14,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,16,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,19,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,18,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,17,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,21,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,20,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,22,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,23,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,24,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,25,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,27,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,26,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,29,0.0,0.0,1.0,1.0,0.0
W0_null_flat,100,28,0.0,0.0,1.0,1.0,0.0
W1_distinction_only,50,10,0.9515166054739652,1.279870897390842,0.0484833945260346,0.0,0.4213526368491322
W1_distinction_only,50,0,0.9515307910547396,1.2798121946122096,0.0484692089452604,0.0,0.4246545393858476
W1_distinction_only,50,2,0.9516239993328888,1.2794174218390149,0.0483760006671112,0.0,0.4177301534356239
W1_distinction_only,50,6,0.9514424682698732,1.2801982006009334,0.0485575317301268,0.0,0.4226544756179025
W1_distinction_only,50,4,0.951441505340454,1.280205635812755,0.048558494659546,0.0,0.4241280040053404
W1_distinction_only,50,5,0.9514701467645096,1.2800829608164563,0.0485298532354903,0.0,0.4286524349566378
W1_distinction_only,50,3,0.9516005843071786,1.2795152660933784,0.0483994156928213,0.0,0.4268105175292153
W1_distinction_only,50,9,0.9517005668556188,1.279083550869578,0.0482994331443812,0.0,0.4249241413804604
W1_distinction_only,50,11,0.9515594761428096,1.279680560740155,0.0484405238571903,0.0,0.419246746746747
W1_distinction_only,50,1,0.951352185518852,1.280579082800965,0.0486478144811478,0.0,0.4244686353019686
W1_distinction_only,50,8,0.9514729909969992,1.280052769931349,0.0485270090030008,0.0,0.4269206402134046
W1_distinction_only,50,13,0.9513676568758344,1.2804958080083253,0.0486323431241655,0.0,0.4153571428571427
W1_distinction_only,50,7,0.9515781354236156,1.2796094554431117,0.0484218645763845,0.0,0.4324391260840557
W1_distinction_only,50,17,0.9515923115410272,1.279565353465401,0.0484076884589727,0.0,0.4243337224816544
W1_distinction_only,50,14,0.9514209472981988,1.2802884681778943,0.048579052701801,0.0,0.4250350233488993
W1_distinction_only,50,15,0.9516986324216145,1.279061510474805,0.0483013675783855,0.0,0.4222865243495665
W1_distinction_only,50,12,0.9517789263087696,1.2787491826621895,0.0482210736912304,0.0,0.4227917639213071
W1_distinction_only,50,16,0.9515721907302434,1.2796287796911594,0.0484278092697566,0.0,0.4226333777925974
W1_distinction_only,50,19,0.9517460781041388,1.2788968725954415,0.048253921895861,0.0,0.4222813751668892
W1_distinction_only,50,24,0.9516725058391726,1.2792040998333152,0.0483274941608273,0.0,0.4250475475475477
W1_distinction_only,50,18,0.9514536048064084,1.2801569330399447,0.0485463951935914,0.0,0.4240987983978638
W1_distinction_only,50,23,0.9512883461153716,1.280857295257402,0.0487116538846282,0.0,0.4248374458152717
W1_distinction_only,50,27,0.9517136894824708,1.279038761306315,0.048286310517529,0.0,0.4223088480801337
W1_distinction_only,50,20,0.951531948615282,1.2798146750419108,0.0484680513847179,0.0,0.4228028028028029
W1_distinction_only,50,28,0.9516580440587452,1.2792645856742388,0.0483419559412549,0.0,0.4292606809078773
W1_distinction_only,50,22,0.951698247078464,1.2790994111646754,0.0483017529215359,0.0,0.4273280467445743
W1_distinction_only,50,26,0.951675700466978,1.2791914425565007,0.048324299533022,0.0,0.4187491661107404
W1_distinction_only,50,21,0.9517385680907876,1.278904608450762,0.0482614319092122,0.0,0.4238276034712951
W1_distinction_only,50,25,0.951642058725392,1.2793342094605762,0.0483579412746079,0.0,0.4262337337337337
W1_distinction_only,50,29,0.9515184228076028,1.2798572537949306,0.0484815771923973,0.0,0.4224391463821275
W1_distinction_only,100,4,0.9516381469115192,1.2793556370973946,0.0483618530884807,0.0,0.4248013355592654
W1_distinction_only,100,1,0.951649282376502,1.279307600425406,0.0483507176234979,0.0,0.4214561081441922
W1_distinction_only,100,0,0.9516851450483494,1.2791538579803143,0.0483148549516505,0.0,0.4234665721907302
W1_distinction_only,100,2,0.9517251583861288,1.278972025354569,0.0482748416138713,0.0,0.4212716738912971
W1_distinction_only,100,5,0.9516403640614562,1.2793403744747076,0.0483596359385437,0.0,0.4265693887775551
W1_distinction_only,100,3,0.9517299181696728,1.27896154338668,0.0482700818303273,0.0,0.4254041416165665
W1_distinction_only,100,12,0.9513930899064172,1.2804051899751392,0.0486069100935828,0.0,0.4207791610962567
W1_distinction_only,100,6,0.9515836811352254,1.2795701222377582,0.0484163188647746,0.0,0.4222116026711185
W1_distinction_only,100,9,0.9518204796122997,1.2785679891624206,0.0481795203877004,0.0,0.4221315173796791
W1_distinction_only,100,10,0.951362554293351,1.2805409835946164,0.0486374457066489,0.0,0.4233899933177412
W1_distinction_only,100,8,0.9516232899566232,1.2794278462158906,0.0483767100433767,0.0,0.4237328995662329
W1_distinction_only,100,13,0.9516014190317196,1.2795118110283563,0.0483985809682804,0.0,0.4205688647746244
W1_distinction_only,100,16,0.9517842842842844,1.2787250591998738,0.0482157157157157,0.0,0.4266003503503504
