target,target_kind,T,classification
collapse_attractor_control,control,50,underconstrained
collapse_attractor_control,control,100,underconstrained
da1_extreme_best,extreme,50,apparent_slack
da1_extreme_best,extreme,100,apparent_slack
independent_sites_control,control,50,apparent_slack
independent_sites_control,control,100,apparent_slack
middle_r050_a050_l050,middle,50,apparent_slack
middle_r050_a050_l050,middle,100,apparent_slack
middle_r075_a050_l050,middle,50,apparent_slack
middle_r075_a050_l050,middle,100,apparent_slack
middle_r075_a075_l050,middle,50,apparent_slack
middle_r075_a075_l050,middle,100,apparent_slack
noise_rich_control,control,50,apparent_slack
noise_rich_control,control,100,apparent_slack
optional_r075_a050_l100,optional,50,apparent_slack
optional_r075_a050_l100,optional,100,underconstrained
optional_r075_a100_l050,optional,50,apparent_slack
optional_r075_a100_l050,optional,100,apparent_slack
optional_r100_a050_l050,optional,50,apparent_slack
optional_r100_a050_l050,optional,100,apparent_slack
random_stepwise_relation_control,control,50,apparent_slack
random_stepwise_relation_control,control,100,apparent_slack
relation_lock_in_control,control,50,apparent_slack
relation_lock_in_control,control,100,apparent_slack
symmetric_transition_control,control,50,apparent_slack
symmetric_transition_control,control,100,apparent_slack
