target,T,return_to_same_attractor_rate,post_perturbation_future_distinctness,branching_after_recovery,attractor_concentration,dynamic_lock_in_index
collapse_attractor_control,50,1.0,0.0,0.0,1.0,1.0
collapse_attractor_control,100,1.0,0.0,0.0,1.0,1.0
da1_extreme_best,50,4e-05,0.9940399999999999,0.9986705011383787,0.00392,9.748987854251006e-09
da1_extreme_best,100,4e-05,0.99264,0.9983447313108197,0.00404,1.503080082135524e-08
independent_sites_control,50,4e-05,0.99088,0.9979622311980737,0.00404,1.239187286260309e-08
independent_sites_control,100,0.0,0.99008,0.9977601999598578,0.00428,0.0
middle_r050_a050_l050,50,4e-05,0.9965999999999999,0.999238193192784,0.00364,2.759286058851904e-09
middle_r050_a050_l050,100,8e-05,0.9962399999999999,0.9991578878924176,0.0037199999999999998,7.430215508944507e-09
middle_r075_a050_l050,50,0.0,0.9959600000000001,0.9990987960736661,0.00376,0.0
middle_r075_a050_l050,100,0.0,0.9967199999999999,0.9992683294855508,0.0034000000000000002,0.0
middle_r075_a075_l050,50,4e-05,0.9964799999999999,0.9992147926186398,0.00368,4.0050568900126396e-09
middle_r075_a075_l050,100,0.0,0.9959600000000001,0.9990954282143548,0.00376,0.0
noise_rich_control,50,0.0,0.991,0.9979889996315291,0.00404,0.0
noise_rich_control,100,0.0,0.9916800000000001,0.9981373195617986,0.00408,0.0
optional_r075_a050_l100,50,4e-05,0.9981093935557479,0.999577833197646,0.003459746493392114,4.692082111436946e-10
optional_r075_a050_l100,100,0.0,0.9993688581493204,0.9998183624682785,0.009509747136887816,0.0
optional_r075_a100_l050,50,0.0,0.9961199999999999,0.9991344873182735,0.00368,0.0
optional_r075_a100_l050,100,0.0,0.99564,0.9990274135844516,0.00384,0.0
optional_r100_a050_l050,50,0.0,0.9916800000000001,0.9981406874211101,0.004,0.0
optional_r100_a050_l050,100,0.0,0.9914400000000001,0.9980837826948877,0.00408,0.0
random_stepwise_relation_control,50,0.0,0.9958,0.9990597369697476,0.00384,0.0
random_stepwise_relation_control,100,0.0,0.99548,0.9989917223398443,0.00388,0.0
relation_lock_in_control,50,4e-05,0.99548,0.9989917223398443,0.00384,6.919796954314723e-09
relation_lock_in_control,100,4e-05,0.99432,0.9987295929571302,0.00392,8.186507117804834e-09
symmetric_transition_control,50,0.0,0.9967199999999999,0.9992683294855508,0.0037199999999999998,0.0
symmetric_transition_control,100,4e-05,0.99764,0.9994735541420426,0.0035199999999999997,2.04523107177975e-09
