world,T,classification,order_sensitivity,history_mark_predictive_gain,asymmetric_slack_delta,dynamic_lock_in_index
W0_null_flat,50,underconstrained,0.0,0.0,-0.9974774987527365,1.0
W0_null_flat,100,underconstrained,0.0,0.0,-0.9974774987527365,1.0
W10_noise_rich_control,50,history_fakeout,1.0,0.01447275999999995,0.000582501247263445,0.0
W10_noise_rich_control,100,history_fakeout,1.0,0.014613187499999951,0.000562501247263536,3.200000000000003e-10
W11_collapse_attractor_control,50,underconstrained,0.8361714285714286,0.0,-0.9974774987527365,1.0
W11_collapse_attractor_control,100,underconstrained,0.8374285714285715,0.0,-0.9974774987527365,1.0
W1_distinction_only,50,history_fakeout,0.9999714285714286,0.0,-0.24300597364421128,5.8550724637681155e-08
W1_distinction_only,100,history_fakeout,0.9998,0.0,-0.2430625092220836,1.3642213683134867e-07
W2_relation_without_history,50,underconstrained,0.8381142857142858,0.0,-0.9974774987527365,1.0
W2_relation_without_history,100,underconstrained,0.8358571428571429,0.0,-0.9974774987527365,1.0
W3_bias_asymmetry_only,50,underconstrained,1.0,0.0,-0.9974774987527365,1.0
W3_bias_asymmetry_only,100,underconstrained,1.0,0.0,-0.9974774987527365,1.0
W4_commutative_relation_history,50,history_fakeout,1.0,0.2577439412079016,-0.009358590671604272,0.0
W4_commutative_relation_history,100,history_fakeout,1.0,0.25799772685430855,-0.00969094597515674,0.0
W6_noncommutative_no_relation_control,50,history_fakeout,1.0,0.7353460347449405,-0.009010891726600745,0.0
W6_noncommutative_no_relation_control,100,history_fakeout,1.0,0.7353963050646874,-0.00965108239420387,0.0
W7_reversible_history_control,50,history_fakeout,1.0,0.14697281967865,2.9193403098259907e-05,0.0
W7_reversible_history_control,100,history_fakeout,1.0,0.1462692744875536,-2.9193403098259907e-05,0.0
W8_random_order_history_control,50,history_fakeout,1.0,0.10540998201300285,0.0004650206787548683,0.0
W8_random_order_history_control,100,history_fakeout,1.0,0.10366820940092815,0.0005048735220501976,0.0
W9_lock_in_history_control,50,history_fakeout,1.0,0.0,0.00046464248390754026,0.0
W9_lock_in_history_control,100,history_fakeout,1.0,0.0,0.0003775064932519667,0.0
