world,T,return_to_same_attractor_rate,attractor_concentration,branching_after_recovery,dynamic_lock_in_index
W0_null_flat,50,1.0,1.0,0.0,1.0
W0_null_flat,100,1.0,1.0,0.0,1.0
W10_noise_rich_control,50,0.0,0.00216,0.9999643087553928,0.0
W10_noise_rich_control,100,4e-05,0.0022400000000000002,0.9999464631330891,3.200000000000003e-10
W11_collapse_attractor_control,50,1.0,1.0,0.0,1.0
W11_collapse_attractor_control,100,1.0,1.0,0.0,1.0
W1_distinction_only,50,4e-05,0.00508,0.9915704391156648,5.8550724637681155e-08
W1_distinction_only,100,0.00012,0.005,0.9923278717378226,1.3642213683134867e-07
W2_relation_without_history,50,1.0,1.0,0.0,1.0
W2_relation_without_history,100,1.0,1.0,0.0,1.0
W3_bias_asymmetry_only,50,1.0,1.0,0.0,1.0
W3_bias_asymmetry_only,100,1.0,1.0,0.0,1.0
W4_commutative_relation_history,50,0.0,0.00232,0.9999018490773299,0.0
W4_commutative_relation_history,100,0.0,0.00236,0.9999107718884818,0.0
W5_noncommutative_relation_history,50,0.0,0.00228,0.9999375403219372,0.0
W5_noncommutative_relation_history,100,0.0,0.0022,0.9999553859442409,0.0
W6_noncommutative_no_relation_control,50,0.0,0.00216,0.9999643087553928,0.0
W6_noncommutative_no_relation_control,100,0.0,0.00232,0.9999286175107855,0.0
W7_reversible_history_control,50,0.0,0.0024,0.9999107718884818,0.0
W7_reversible_history_control,100,0.0,0.0022,0.9999464631330891,0.0
W8_random_order_history_control,50,0.0,0.0022400000000000002,0.9999375403219372,0.0
W8_random_order_history_control,100,0.0,0.0022,0.9999553859442409,0.0
W9_lock_in_history_control,50,0.0,0.00228,0.9999375403219372,0.0
W9_lock_in_history_control,100,0.0,0.0020800000000000003,0.9999821543776963,0.0
