world,T,history_mark_predictive_gain,history_erasure_delta,history_shuffle_delta,history_persistence_depth
W0_null_flat,50,0.0,0.0,0.0,1.0
W0_null_flat,100,0.0,0.0,0.0,1.0
W10_noise_rich_control,50,0.01447275999999995,0.04591714285714281,-0.0014828571428571083,0.25030075
W10_noise_rich_control,100,0.014613187499999951,0.0463828571428571,-0.001617142857142812,0.25027475
W11_collapse_attractor_control,50,0.0,0.0,0.0,0.25005849999999996
W11_collapse_attractor_control,100,0.0,0.0,0.0,0.2501605
W1_distinction_only,50,0.0,-0.20043126822073312,-0.19830601046488902,1.0
W1_distinction_only,100,0.0,-0.19943800609601184,-0.19811365463551525,1.0
W2_relation_without_history,50,0.0,0.0,0.0,1.0
W2_relation_without_history,100,0.0,0.0,0.0,1.0
W3_bias_asymmetry_only,50,0.0,0.0,0.0,0.2502935
W3_bias_asymmetry_only,100,0.0,0.0,0.0,0.24992875
W4_commutative_relation_history,50,0.2577439412079016,0.09581304255895759,-0.01173733023345317,0.250212
W4_commutative_relation_history,100,0.25799772685430855,0.21706120992477027,-0.012011634705822727,0.25021574999999996
W5_noncommutative_relation_history,50,0.7353818513983454,0.9973187102761853,-0.002451527162191488,0.24997350000000002
W5_noncommutative_relation_history,100,0.7353684710574871,0.997558916938894,-0.0022391031220555272,0.24980900000000003
W6_noncommutative_no_relation_control,50,0.7353460347449405,0.9884666070261358,-0.011102562496077457,0.2498715
W6_noncommutative_no_relation_control,100,0.7353963050646874,0.9878264163585326,-0.011828130957766404,0.2502035
W7_reversible_history_control,50,0.14697281967865,0.017506692155834752,-0.0021642448534019603,0.2497075
W7_reversible_history_control,100,0.1462692744875536,0.9974483053496382,-0.0020201101390087376,0.25016375
W8_random_order_history_control,50,0.10540998201300285,0.11036684512275693,-0.001799147168987876,0.250192
W8_random_order_history_control,100,0.10366820940092815,0.05402453815807837,-0.001642731959631143,0.24994
W9_lock_in_history_control,50,0.0,0.03251776825104252,-0.001741888833174454,0.2496245
W9_lock_in_history_control,100,0.0,0.030453913023903344,-0.0020011506123884812,0.24972550000000002
