world,T,order_sensitivity,reachable_set_difference,future_distinctness_order_delta,order_to_future_predictive_gain
W0_null_flat,50,0.0,0.0,0.0,0.0
W0_null_flat,100,0.0,0.0,0.0,0.0
W10_noise_rich_control,50,1.0,1.0,-0.001454285714285678,0.0
W10_noise_rich_control,100,1.0,1.0,-0.0016457142857142385,0.0
W11_collapse_attractor_control,50,0.8361714285714286,0.8361714285714286,0.0,0.8361714285714286
W11_collapse_attractor_control,100,0.8374285714285715,0.8374285714285715,0.0,0.8374285714285715
W1_distinction_only,50,0.9999714285714286,0.9999714285714286,-0.19906437232610943,5.7142857142855997e-05
W1_distinction_only,100,0.9998,0.9998,-0.1955448804966956,2.8571428571427998e-05
W2_relation_without_history,50,0.8381142857142858,0.8381142857142858,0.0,0.8376285714285714
W2_relation_without_history,100,0.8358571428571429,0.8358571428571429,0.0,0.8358571428571429
W3_bias_asymmetry_only,50,1.0,1.0,0.0,0.0007428571428571399
W3_bias_asymmetry_only,100,1.0,1.0,0.0,0.002199999999999992
W4_commutative_relation_history,50,1.0,1.0,-0.010223499088457438,2.8571428571427998e-05
W4_commutative_relation_history,100,1.0,1.0,-0.010526996839901439,5.7142857142855997e-05
W5_noncommutative_relation_history,50,1.0,1.0,-0.0025382690820814403,0.0
W5_noncommutative_relation_history,100,1.0,1.0,-0.00226965448967744,0.0
W6_noncommutative_no_relation_control,50,1.0,1.0,-0.010190004342540688,0.0
W6_noncommutative_no_relation_control,100,1.0,1.0,-0.010429253485164425,0.0
W7_reversible_history_control,50,1.0,1.0,-0.00205477778727849,0.0
W7_reversible_history_control,100,1.0,1.0,-0.002403496936026508,2.8571428571427998e-05
W8_random_order_history_control,50,1.0,1.0,-0.0016560866006492042,0.0
W8_random_order_history_control,100,1.0,1.0,-0.0017577980312748459,0.0
W9_lock_in_history_control,50,1.0,1.0,-0.001857037740721724,0.0
W9_lock_in_history_control,100,1.0,1.0,-0.0019149023706320676,0.0
