world,family,T,p_viable,edge_memory_predictive_gain,edge_memory_erasure_delta,edge_memory_shuffle_delta,relation_slack_excess,order_sensitivity,noncommutative_asymmetry_delta,future_distinct_ratio,recoverable_alternative_count,dynamic_lock_in_index,branching_after_recovery,classification
W0_null_flat,null,50,0.0,0.0,0.0,0.0,0.0,0.0,-0.999342,0.0,0.0,1.0,0.0,underconstrained
W0_null_flat,null,100,0.0,0.0,0.0,0.0,0.0,0.0,-0.999342,0.0,0.0,1.0,0.0,underconstrained
W10_noise_rich_control,noise,50,1.0,0.09905683760683756,-0.000609714285714246,-0.000609714285714246,0.0038643162393161923,1.0,-6.60000000000105e-05,0.9992759999999999,4996.38,0.0,1.0,history_fakeout
W10_noise_rich_control,noise,100,1.0,0.09878985042735039,-0.0006371428571428139,-0.0006371428571428139,0.003745299145299088,1.0,-0.00012199999999995548,0.99922,4996.1,0.0,1.0,history_fakeout
W11_collapse_attractor_control,collapse,50,0.0,0.0,0.0,0.0,0.0,0.8366,-0.999342,0.0,0.0,1.0,0.0,underconstrained
W11_collapse_attractor_control,collapse,100,0.0,0.0,0.0,0.0,0.0,0.8368571428571429,-0.999342,0.0,0.0,1.0,0.0,underconstrained
W1_distinction_only,distinction,50,0.0,0.0,0.0,0.0,0.0,0.9999428571428571,-0.999342,0.0,0.0,1.0,0.0,underconstrained
W1_distinction_only,distinction,100,0.0,0.0,0.0,0.0,0.0,0.9998285714285714,-0.999342,0.0,0.0,1.0,0.0,underconstrained
W2_no_relation,no_relation,50,0.0,0.0,0.0,0.0,0.0,0.9999142857142858,-0.999342,0.0,0.0,1.0,0.0,underconstrained
W2_no_relation,no_relation,100,0.0,0.0,0.0,0.0,0.0,0.9999428571428571,-0.999342,0.0,0.0,1.0,0.0,underconstrained
W3_local_memory_only,local_memory,50,0.0,0.0,0.0,0.0,0.0,1.0,-0.999342,0.0,0.0,1.0,0.0,underconstrained
W3_local_memory_only,local_memory,100,0.0,0.0,0.0,0.0,0.0,1.0,-0.999342,0.0,0.0,1.0,0.0,underconstrained
W4_relation_without_memory,relation_no_memory,50,0.0,0.0,0.0,0.0,0.0,0.9998571428571428,-0.999342,0.0,0.0,1.0,0.0,underconstrained
W4_relation_without_memory,relation_no_memory,100,0.0,0.0,0.0,0.0,0.0,0.9998571428571428,-0.999342,0.0,0.0,1.0,0.0,underconstrained
W5_random_stepwise_relation_memory,random_relation_memory,50,1.0,0.09702702991452988,0.9993040000000001,-0.000581714285714254,0.0036949786324785763,1.0,-3.799999999987147e-05,0.9993040000000001,4996.52,0.0,1.0,history_fakeout
W5_random_stepwise_relation_memory,random_relation_memory,100,1.0,0.09718130341880338,0.999208,-0.00070628571428568,0.00370277777777773,1.0,-0.00013399999999996748,0.999208,4996.04,0.0,1.0,history_fakeout
W6_commutative_edge_memory,commutative_edge,50,1.0,0.09910886752136747,0.999364,-0.00052171428571424,0.0039610042735042225,0.9999714285714286,2.2000000000077513e-05,0.999364,4996.82,0.0,1.0,history_fakeout
W6_commutative_edge_memory,commutative_edge,100,1.0,0.09906324786324781,0.99932,-0.000622857142857108,0.004016452991452938,1.0,-2.199999999996649e-05,0.99932,4996.6,0.0,1.0,history_fakeout
W7_reversible_edge_memory,reversible_edge,50,1.0,0.08702382478632474,0.998856,-0.0009439999999999641,0.0033635683760683184,1.0,-0.00048599999999998644,0.998856,4994.28,0.0,1.0,history_fakeout
W7_reversible_edge_memory,reversible_edge,100,1.0,0.087038782051282,0.99882,-0.001065714285714256,0.003419551282051226,1.0,-0.0005219999999999114,0.99882,4994.1,0.0,0.9999658559881004,history_fakeout
W8_full_relational_edge_memory,full_edge,50,1.0,0.09889935897435893,0.9993519999999999,-0.0005337142857142499,0.002499679487179452,1.0,9.99999999995449e-06,0.9993519999999999,4996.76,0.0,1.0,history_fakeout
W8_full_relational_edge_memory,full_edge,100,1.0,0.09907489316239312,0.999244,-0.000727428571428542,0.002616559829059798,1.0,-9.799999999993148e-05,0.999244,4996.22,0.0,1.0,history_fakeout
W9_edge_memory_lock_in,edge_lock_in,50,0.999932,0.09454455128205125,0.9993519527895975,-0.00050519006754528,-0.07839700854700851,1.0,9.952789597589273e-06,0.9993519527895975,4996.42,0.0,1.0,history_fakeout
W9_edge_memory_lock_in,edge_lock_in,100,0.999996,0.09348418803418798,0.9992719967993599,-0.000670860343497228,-0.07951805555555551,1.0,-7.00032006401008e-05,0.9992719967993599,4996.34,0.0,1.0,underconstrained
