world,T,order_sensitivity,reachable_set_difference,future_distinctness_order_delta,order_to_future_predictive_gain,noncommutative_asymmetry_delta
W0_null_flat,50,0.0,0.0,0.0,0.0,-0.999342
W0_null_flat,100,0.0,0.0,0.0,0.0,-0.999342
W10_noise_rich_control,50,1.0,1.0,-0.000695428571428524,0.0,-6.60000000000105e-05
W10_noise_rich_control,100,1.0,1.0,-0.0006657142857142439,2.8571428571427998e-05,-0.00012199999999995548
W11_collapse_attractor_control,50,0.8366,0.8366,0.0,0.8366,-0.999342
W11_collapse_attractor_control,100,0.8368571428571429,0.8368571428571429,0.0,0.8368571428571429,-0.999342
W1_distinction_only,50,0.9999428571428571,0.9999428571428571,0.0,0.00011428571428571199,-0.999342
W1_distinction_only,100,0.9998285714285714,0.9998285714285714,0.0,0.00014285714285714,-0.999342
W2_no_relation,50,0.9999142857142858,0.9999142857142858,0.0,0.0,-0.999342
W2_no_relation,100,0.9999428571428571,0.9999428571428571,0.0,0.00014285714285714,-0.999342
W3_local_memory_only,50,1.0,1.0,0.0,0.00014285714285714,-0.999342
W3_local_memory_only,100,1.0,1.0,0.0,0.000171428571428568,-0.999342
W4_relation_without_memory,50,0.9998571428571428,0.9998571428571428,0.0,0.000171428571428568,-0.999342
W4_relation_without_memory,100,0.9998571428571428,0.9998571428571428,0.0,0.00028571428571428,-0.999342
W5_random_stepwise_relation_memory,50,1.0,1.0,-0.0006674285714285361,0.0,-3.799999999987147e-05
W5_random_stepwise_relation_memory,100,1.0,1.0,-0.00070628571428568,0.0,-0.00013399999999996748
W6_commutative_edge_memory,50,0.9999714285714286,0.9999714285714286,-0.00052171428571424,0.0,2.2000000000077513e-05
W6_commutative_edge_memory,100,1.0,1.0,-0.000479999999999972,0.0,-2.199999999996649e-05
W7_reversible_edge_memory,50,1.0,1.0,-0.0009725714285713922,0.0,-0.00048599999999998644
W7_reversible_edge_memory,100,1.0,1.0,-0.000979999999999974,0.0,-0.0005219999999999114
W8_full_relational_edge_memory,50,1.0,1.0,-0.000562285714285676,0.0,9.99999999995449e-06
W8_full_relational_edge_memory,100,1.0,1.0,-0.000727428571428542,0.0,-9.799999999993148e-05
W9_edge_memory_lock_in,50,1.0,1.0,-0.0005909043532595621,0.0,9.952789597589273e-06
W9_edge_memory_lock_in,100,1.0,1.0,-0.0005851460577829481,0.0,-7.00032006401008e-05
