world,T,metric,mean,ci_low,ci_high,n_seeds
W0_null_flat,50,edge_memory_predictive_gain,0.0,0.0,0.0,50
W0_null_flat,50,edge_memory_erasure_delta,0.0,0.0,0.0,50
W0_null_flat,50,relation_slack_excess,0.0,0.0,0.0,50
W0_null_flat,50,order_sensitivity,0.0,0.0,0.0,50
W0_null_flat,50,future_distinct_ratio,0.0,0.0,0.0,50
W0_null_flat,50,dynamic_lock_in_index,1.0,1.0,1.0,50
W0_null_flat,100,edge_memory_predictive_gain,0.0,0.0,0.0,50
W0_null_flat,100,edge_memory_erasure_delta,0.0,0.0,0.0,50
W0_null_flat,100,relation_slack_excess,0.0,0.0,0.0,50
W0_null_flat,100,order_sensitivity,0.0,0.0,0.0,50
W0_null_flat,100,future_distinct_ratio,0.0,0.0,0.0,50
W0_null_flat,100,dynamic_lock_in_index,1.0,1.0,1.0,50
W10_noise_rich_control,50,edge_memory_predictive_gain,0.09905683760683756,0.09884392094017089,0.09926508012820508,50
W10_noise_rich_control,50,edge_memory_erasure_delta,-0.000609714285714246,-0.0007590428571428204,-0.00041624285714282036,50
W10_noise_rich_control,50,relation_slack_excess,0.003864316239316192,0.0034811992521367077,0.004220937499999952,50
W10_noise_rich_control,50,order_sensitivity,1.0,1.0,1.0,50
W10_noise_rich_control,50,future_distinct_ratio,0.9992760000000002,0.9991759000000001,0.999376,50
W10_noise_rich_control,50,dynamic_lock_in_index,0.0,0.0,0.0,50
W10_noise_rich_control,100,edge_memory_predictive_gain,0.09878985042735039,0.09856534455128202,0.09902794604700849,50
W10_noise_rich_control,100,edge_memory_erasure_delta,-0.0006371428571428139,-0.0007869428571428027,-0.00043714285714282184,50
W10_noise_rich_control,100,relation_slack_excess,0.0037452991452990884,0.0033924118589743054,0.004111263354700792,50
W10_noise_rich_control,100,order_sensitivity,1.0,1.0,1.0,50
W10_noise_rich_control,100,future_distinct_ratio,0.9992200000000001,0.9991117999999999,0.9993281,50
W10_noise_rich_control,100,dynamic_lock_in_index,0.0,0.0,0.0,50
W11_collapse_attractor_control,50,edge_memory_predictive_gain,0.0,0.0,0.0,50
W11_collapse_attractor_control,50,edge_memory_erasure_delta,0.0,0.0,0.0,50
W11_collapse_attractor_control,50,relation_slack_excess,0.0,0.0,0.0,50
W11_collapse_attractor_control,50,order_sensitivity,0.8366,0.8317128571428571,0.8409992857142858,50
