world,T,classification,relation_slack_excess,future_distinct_ratio,dynamic_lock_in_index
W0_null_flat,50,underconstrained,0.0,0.0,1.0
W0_null_flat,100,underconstrained,0.0,0.0,1.0
W10_noise_rich_control,50,history_fakeout,0.0038643162393161923,0.9992759999999999,0.0
W10_noise_rich_control,100,history_fakeout,0.003745299145299088,0.99922,0.0
W11_collapse_attractor_control,50,underconstrained,0.0,0.0,1.0
W11_collapse_attractor_control,100,underconstrained,0.0,0.0,1.0
W1_distinction_only,50,underconstrained,0.0,0.0,1.0
W1_distinction_only,100,underconstrained,0.0,0.0,1.0
W2_no_relation,50,underconstrained,0.0,0.0,1.0
W2_no_relation,100,underconstrained,0.0,0.0,1.0
W3_local_memory_only,50,underconstrained,0.0,0.0,1.0
W3_local_memory_only,100,underconstrained,0.0,0.0,1.0
W4_relation_without_memory,50,underconstrained,0.0,0.0,1.0
W4_relation_without_memory,100,underconstrained,0.0,0.0,1.0
W5_random_stepwise_relation_memory,50,history_fakeout,0.0036949786324785763,0.9993040000000001,0.0
W5_random_stepwise_relation_memory,100,history_fakeout,0.00370277777777773,0.999208,0.0
W6_commutative_edge_memory,50,history_fakeout,0.003961004273504222,0.999364,0.0
W6_commutative_edge_memory,100,history_fakeout,0.004016452991452938,0.99932,0.0
W7_reversible_edge_memory,50,history_fakeout,0.0033635683760683184,0.998856,0.0
W7_reversible_edge_memory,100,history_fakeout,0.003419551282051226,0.99882,0.0
W9_edge_memory_lock_in,50,history_fakeout,-0.07839700854700851,0.9993519527895975,0.0
W9_edge_memory_lock_in,100,underconstrained,-0.07951805555555551,0.9992719967993599,0.0
