world,T,edge_memory_predictive_gain,edge_memory_erasure_delta,edge_memory_shuffle_delta,edge_memory_persistence_depth,edge_memory_to_future_distinctness
W0_null_flat,50,0.0,0.0,0.0,1.0,0.0
W0_null_flat,100,0.0,0.0,0.0,1.0,0.0
W10_noise_rich_control,50,0.09905683760683756,-0.000609714285714246,-0.000609714285714246,0.249939,0.09898510839743585
W10_noise_rich_control,100,0.09878985042735039,-0.0006371428571428139,-0.0006371428571428139,0.250145875,0.09871272467948713
W11_collapse_attractor_control,50,0.0,0.0,0.0,0.25013825,0.0
W11_collapse_attractor_control,100,0.0,0.0,0.0,0.249918875,0.0
W1_distinction_only,50,0.0,0.0,0.0,1.0,0.0
W1_distinction_only,100,0.0,0.0,0.0,1.0,0.0
W2_no_relation,50,0.0,0.0,0.0,1.0,0.0
W2_no_relation,100,0.0,0.0,0.0,1.0,0.0
W3_local_memory_only,50,0.0,0.0,0.0,1.0,0.0
W3_local_memory_only,100,0.0,0.0,0.0,1.0,0.0
W4_relation_without_memory,50,0.0,0.0,0.0,1.0,0.0
W4_relation_without_memory,100,0.0,0.0,0.0,1.0,0.0
W5_random_stepwise_relation_memory,50,0.09702702991452988,0.9993040000000001,-0.000581714285714254,0.250237125,0.09695948136752133
W5_random_stepwise_relation_memory,100,0.09718130341880338,0.999208,-0.00070628571428568,0.250040375,0.0971042849358974
W6_commutative_edge_memory,50,0.09910886752136747,0.999364,-0.00052171428571424,0.249926625,0.09904584472222218
W6_commutative_edge_memory,100,0.09906324786324781,0.99932,-0.000622857142857108,0.249907625,0.09899587450854697
W7_reversible_edge_memory,50,0.08702382478632474,0.998856,-0.0009439999999999641,0.24979975,0.08692425408119656
W7_reversible_edge_memory,100,0.087038782051282,0.99882,-0.001065714285714256,0.249739125,0.0869360503418803
W8_full_relational_edge_memory,50,0.09904978632478628,0.9992919863972795,-0.000650870745577646,0.24986450000000002,0.0989796742167963
W8_full_relational_edge_memory,100,0.09905502136752131,0.9992199855971193,-0.000694300117166242,0.250284125,0.0989777526862124
W9_edge_memory_lock_in,50,0.09454455128205125,0.9993519527895975,-0.00050519006754528,0.25374825,0.09448334252645692
W9_edge_memory_lock_in,100,0.09348418803418798,0.9992719967993599,-0.000670860343497228,0.24999312499999998,0.09341614389247076
