world,T,relation_conditioned_alternative_count,self_only_alternative_count,local_memory_alternative_count,independent_alternative_count,relation_slack_excess
W0_null_flat,50,0.0,0.0,0.0,0.0,0.0
W0_null_flat,100,0.0,0.0,0.0,0.0,0.0
W10_noise_rich_control,50,0.3836103632478632,0.2845535256410256,0.2845535256410256,0.37974604700854697,0.0038643162393161923
W10_noise_rich_control,100,0.3836378205128205,0.28484797008547,0.28484797008547,0.37989252136752133,0.003745299145299088
W11_collapse_attractor_control,50,0.0,0.0,0.0,0.0,0.0
W11_collapse_attractor_control,100,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,50,0.0,0.0,0.0,0.0,0.0
W1_distinction_only,100,0.0,0.0,0.0,0.0,0.0
W2_no_relation,50,0.0,0.0,0.0,0.0,0.0
W2_no_relation,100,0.0,0.0,0.0,0.0,0.0
W3_local_memory_only,50,0.0,0.0,0.0,0.0,0.0
W3_local_memory_only,100,0.0,0.0,0.0,0.0,0.0
W4_relation_without_memory,50,0.0,0.0,0.0,0.0,0.0
W4_relation_without_memory,100,0.0,0.0,0.0,0.0,0.0
W5_random_stepwise_relation_memory,50,0.38173301282051275,0.28470598290598287,0.28470598290598287,0.37803803418803417,0.0036949786324785763
W5_random_stepwise_relation_memory,100,0.3819150641025641,0.28473376068376066,0.28473376068376066,0.3782122863247863,0.00370277777777773
W6_commutative_edge_memory,50,0.383651282051282,0.2845424145299145,0.2845424145299145,0.37969027777777775,0.003961004273504222
W6_commutative_edge_memory,100,0.3837569444444444,0.2846936965811966,0.2846936965811966,0.3797404914529914,0.004016452991452938
W7_reversible_edge_memory,50,0.3717307692307692,0.28470694444444444,0.28470694444444444,0.3683672008547008,0.0033635683760683184
W7_reversible_edge_memory,100,0.37164049145299144,0.2846017094017094,0.2846017094017094,0.36822094017094015,0.003419551282051226
W8_full_relational_edge_memory,50,0.3836704059829059,0.28462061965811963,0.28462061965811963,0.38649358974358977,-0.0028231837606837377
W8_full_relational_edge_memory,100,0.3836580128205128,0.28460299145299145,0.28460299145299145,0.3864697649572649,-0.00281175213675211
W9_edge_memory_lock_in,50,0.379442094017094,0.2848975427350427,0.2848975427350427,0.45783910256410254,-0.07839700854700851
W9_edge_memory_lock_in,100,0.37837040598290594,0.28488621794871793,0.28488621794871793,0.4578884615384615,-0.07951805555555551
