rule,depends_left,depends_center,depends_right,relation_degree,relation_complete,self_only,no_local_self_relation,left_right_asymmetry,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,distinction_survival,DAR_complete,DAR_asymmetric,classification,future_distinct_descendant_count,post_perturbation_survival_rate,return_to_same_pattern_rate,branching_without_explosion
0,False,False,False,0,False,False,False,0.0,1.0,0.0,False,False,0.0008331971718952659,0.0,0.0020118283921535074,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.1666666666666667,0.810517941128991,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,0.0008331971718952659,0.9991668028281048,0.0,1.0,1.0,1.0,1.0,0.0020118283921535074,0.0,1.0,0.011149755955527564,0.0,0.0,False,False,collapse,1.0,0.0,1.0,0.0625
1,True,True,True,2,True,False,False,0.0,0.75,0.0,True,False,0.4694688453130067,0.3652547200520833,0.34085627426577175,0.0,0.0,0.16666666666666666,0.0,1.0,217.33333333333334,217.33333333333334,3.0,1.9308563036005866,0.8333333333333334,1.0,0.8489583333333334,0.0,-0.010416666666666666,2.0,0.8333333333333334,0.4694688453130067,0.5305311546869933,4.472497877317168,0.0,1.0,1.0,0.35000000000000003,0.34085627426577175,0.05908203125,0.94091796875,0.35470429037302914,0.057790491436414355,1.0,True,False,emitter_or_generator,16.0,1.0,1.0,1.0
2,True,True,True,2,True,False,False,0.25,0.75,0.0,True,True,0.048716148049914886,0.048065185546875,0.22003046189588052,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,160.45833333333334,176.0,1.0,0.07839089785187846,0.9166666666666666,0.9246826171875,0.6875,0.08437093098958333,-0.053080240885416664,0.08333333333333333,0.9166666666666666,0.048716148049914886,0.9512838519500851,333333420.01847833,0.08333333333333333,0.08333333333333333,0.6067708333333334,0.26653645833333334,0.22003046189588052,0.09613037109375,0.90386962890625,0.9137218770587999,0.05090663926837604,0.9166666666666666,True,True,transported_identity,13.0,0.8125,1.0,0.8125
3,True,True,False,1,True,False,False,0.25,0.5,1.0,True,True,0.475002264079726,0.32806396484375,0.3750966049374888,0.0,0.0,0.07552083333333333,0.0,0.07552083333333333,236.79166666666666,258.6666666666667,1.8333333333333333,1.586389282747516,0.9244791666666666,0.8498331705729166,1.0104166666666667,0.16815185546875,-0.04522705078125,0.0,0.9244791666666666,0.475002264079726,0.524997735920274,3.334778580053897,0.0,0.07552083333333333,0.4140625,0.144921875,0.3750966049374888,0.095947265625,0.904052734375,0.41647093103827776,0.09479390726003491,1.0,True,True,transported_identity,16.0,1.0,1.0,1.0
4,True,True,True,2,True,False,False,0.0,0.75,0.0,True,False,0.1284003548430407,0.12806193033854166,0.3704932397020098,0.19270833333333334,0.19270833333333334,0.0,1.0,1.0,210.28125,217.33333333333334,1.1666666666666667,0.05641775464738321,0.8072916666666666,1.0,0.8489583333333334,0.0,-0.012044270833333334,1.0,0.8072916666666666,0.1284003548430407,0.8715996451569593,166666748.96960643,1.0,1.0,1.0,1.0,0.3704932397020098,0.2561238606770833,0.7438761393229166,0.8058248078761769,0.2136169152850401,0.8072916666666666,True,False,frozen_order,14.0,0.875,1.0,0.875
5,True,False,True,2,True,False,True,0.0,0.5,0.0,True,False,0.473864524435595,0.24299112955729166,0.5339992758747362,0.0,0.0,0.0,0.09375,1.0,260.0,260.0,1.1666666666666667,0.8880016747376361,1.0,1.0,1.015625,0.0,0.0,1.8333333333333333,1.0,0.473864524435595,0.526135475564405,35.41041066674847,0.09375,1.0,1.0,0.4109375,0.5339992758747362,0.3198445638020833,0.6801554361979166,0.6751016145696144,0.3178899936485589,1.0,True,False,emitter_or_generator,16.0,1.0,1.0,1.0
6,True,True,True,2,True,False,False,0.25,0.5,0.0,True,True,0.16561288004873945,0.16015625,0.46620565610380843,0.0,0.0,0.0,0.0,0.0,194.63541666666666,196.66666666666666,1.5,0.5094829126984872,1.0,0.8820597330729166,0.7682291666666666,0.133056640625,-0.053975423177083336,0.0,1.0,0.16561288004873945,0.8343871199512605,220.97976031067446,0.0,0.0,0.359375,0.12578124999999998,0.46620565610380843,0.2726033528645833,0.7273966471354166,0.7708299537847544,0.2440215658588565,1.0,True,True,transported_identity,16.0,0.9375,1.0,1.0
7,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True,0.4891666160019455,0.21720377604166666,0.4352077667688958,0.2682291666666667,0.2682291666666667,0.09114583333333333,0.0,0.359375,200.09375,215.33333333333334,3.0,1.8028036941864753,0.8072916666666666,0.83514404296875,0.8411458333333334,0.18086751302083334,-0.044392903645833336,0.6666666666666666,0.640625,0.4891666160019455,0.5108333839980546,2.700854650855838,0.0,0.359375,0.3619791666666667,0.12669270833333332,0.4352077667688958,0.038065592447916664,0.9619344075520834,0.28562079648087896,0.0379845886520804,0.7317708333333333,True,True,transported_identity,16.0,1.0,1.0,1.0
8,True,True,True,2,True,False,False,0.25,0.75,0.0,True,True,0.0009596214838683527,0.0,0.0026358332888602367,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.1666666666666667,0.8288402078675262,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,0.0009596214838683527,0.9990403785161316,0.0,1.0,1.0,1.0,1.0,0.0026358332888602367,0.0,1.0,0.011144086231315723,0.0,0.0,False,False,collapse,1.0,0.0,1.0,0.0625
9,True,True,True,2,True,False,False,0.25,0.5,0.0,True,True,0.46647459987536477,0.311248779296875,0.4390726813100149,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,170.625,193.33333333333334,1.0,1.3039243904892825,0.9166666666666666,0.8382059733072916,0.7552083333333334,0.191558837890625,-0.05157470703125,0.16666666666666666,0.9166666666666666,0.46647459987536477,0.5335254001246351,14.97914705328237,0.0,0.08333333333333333,0.08333333333333333,0.029166666666666664,0.4390726813100149,0.12894694010416666,0.8710530598958334,0.38111678626025186,0.12632117026811773,1.0,True,True,transported_identity,16.0,1.0,0.6875,1.0
10,True,False,True,2,True,False,True,0.5,0.5,0.0,True,True,0.07967803203023671,0.07914225260416667,0.3016129026563644,0.0,0.0,0.0,0.0,0.0,172.83333333333334,175.33333333333334,1.1666666666666667,0.46828255282153325,1.0,0.88671875,0.6848958333333334,0.12540690104166666,-0.053751627604166664,0.0,1.0,0.07967803203023671,0.9203219679697634,500000044.80582243,0.0,0.0,0.5078125,0.177734375,0.3016129026563644,0.12221272786458333,0.8777872721354166,0.7978918423513877,0.08607073217009438,1.0,True,True,transported_identity,15.0,0.875,1.0,0.9375
11,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True,0.4987279988448443,0.3255818684895833,0.40118958522256754,0.0,0.0,0.0,0.0,0.0,193.97916666666666,195.33333333333334,1.8333333333333333,1.03748763367829,1.0,0.8384806315104166,0.7630208333333334,0.18257649739583334,-0.052510579427083336,0.0,1.0,0.4987279988448443,0.5012720011551557,5.673666676939951,0.0,0.0,0.3333333333333333,0.11666666666666665,0.40118958522256754,0.12082926432291667,0.8791707356770834,0.35570119567499797,0.12082926432291667,1.0,True,True,transported_identity,16.0,1.0,0.8125,1.0
12,True,True,False,1,True,False,False,0.25,0.5,1.0,True,True,0.16001901985297098,0.15980021158854166,0.45033281591541496,0.0,0.0,0.0,1.0,1.0,259.96875,260.0,1.0,0.05232861837652158,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.16001901985297098,0.839980980147029,500000047.88755804,1.0,1.0,1.0,1.0,0.45033281591541496,0.3196004231770833,0.6803995768229166,0.9956891568932225,0.2773332395916622,1.0,True,True,frozen_order,16.0,1.0,1.0,1.0
13,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True,0.4780120255882174,0.4785054524739583,0.8697524981689445,0.0,0.0,0.0,1.0,1.0,259.9895833333333,260.0,1.0,0.014018601123056446,1.0,0.8822530110677084,1.015625,0.11774698893229167,-0.011393229166666666,1.5,1.0,0.4780120255882174,0.5219879744117827,166666715.57149473,1.0,1.0,0.5,0.8249999999999998,0.8697524981689445,0.9570109049479166,0.042989095052083336,0.9955403765632278,0.9540483192461116,1.0,True,True,emitter_or_generator,15.0,1.0,1.0,0.9375
14,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True,0.2330739853756282,0.23407999674479166,0.5473395268422266,0.0,0.0,0.0,0.0,0.015625,194.55208333333334,196.66666666666666,1.8333333333333333,0.14459032158014773,1.0,0.8742268880208334,0.7682291666666666,0.14821370442708334,-0.05615234375,0.0,1.0,0.2330739853756282,0.7669260146243718,333333403.92957836,0.0,0.015625,0.3567708333333333,0.12486979166666666,0.5473395268422266,0.3183390299479167,0.6816609700520834,0.5878354976747875,0.3079814503340686,1.0,True,True,transported_identity,15.0,1.0,0.9375,0.9375
15,True,False,False,1,True,False,True,0.5,0.0,1.0,False,False,0.498898438133309,0.21689860026041666,0.52066671463414,0.0,0.0,0.0,0.0,0.0,193.59375,195.33333333333334,1.3333333333333333,0.8433661047834926,1.0,0.8473917643229166,0.7630208333333334,0.16776529947916666,-0.051676432291666664,0.0,1.0,0.498898438133309,0.5011015618666911,49.24508975853357,0.0,0.0,0.3333333333333333,0.11666666666666665,0.52066671463414,0.3202921549479167,0.6797078450520834,0.7141017298823851,0.3202921549479167,1.0,False,False,transported_identity,16.0,1.0,1.0,1.0
16,True,True,True,2,True,False,False,0.25,0.75,0.0,True,True,0.04889644320991407,0.048248291015625,0.22099022375883784,0.07552083333333333,0.07552083333333333,0.0,0.07552083333333333,0.07552083333333333,160.6875,176.0,1.0,0.07796753401032394,0.9244791666666666,0.92437744140625,0.6875,0.08310953776041667,-0.051920572916666664,0.0,0.9244791666666666,0.04889644320991407,0.951103556790086,333333423.2555986,0.07552083333333333,0.07552083333333333,0.609375,0.2623697916666667,0.22099022375883784,0.09649658203125,0.90350341796875,0.9213589123077993,0.051183401521398386,0.9244791666666666,True,True,transported_identity,15.0,0.875,1.0,0.9375
17,False,True,True,1,True,False,False,0.25,0.5,1.0,True,True,0.47525016497699824,0.3288777669270833,0.3746464408292223,0.0,0.0,0.08072916666666667,0.0,0.08072916666666667,236.80208333333334,259.3333333333333,1.8333333333333333,1.5857745934874072,0.9192708333333334,0.84906005859375,1.0130208333333333,0.1693115234375,-0.041341145833333336,0.0,0.9192708333333334,0.47525016497699824,0.5247498350230018,3.346640401281959,0.0,0.08072916666666667,0.4166666666666667,0.14583333333333334,0.3746464408292223,0.09495035807291667,0.9050496419270834,0.41534397013756813,0.09382582722901978,1.0,True,True,transported_identity,16.0,1.0,1.0,1.0
