rule,classification,DAR_complete,DAR_asymmetric,localized_component_lifetime_max,recurrence_up_to_shift,motif_material_turnover,frozen_order_index,chaos_index,depends_left,depends_center,depends_right,relation_degree,relation_complete,self_only,no_local_self_relation,left_right_asymmetry,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,depends_left_metric,depends_center_metric,depends_right_metric,relation_degree_metric,relation_complete_metric,self_only_metric,no_local_self_relation_metric,left_right_asymmetry_metric,temporal_irreversibility_proxy_metric,directional_consequence_metric,DAR_complete_structural_metric,DAR_asymmetric_structural_metric,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max_metric,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift_metric,motif_survival_depth,motif_material_turnover_metric,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index_metric,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index_metric,distinction_survival,DAR_complete_metric,DAR_asymmetric_metric,classification_metric,future_distinct_descendant_count,post_perturbation_survival_rate,return_to_same_pattern_rate,branching_without_explosion
5,emitter_or_generator,True,False,260.0,1.0,0.0,0.4109375,0.3178899936485589,True,False,True,2,True,False,True,0.0,0.5,0.0,True,False,True,False,True,2,True,False,True,0.0,0.5,0.0,True,False,0.473864524435595,0.2429911295572916,0.5339992758747362,0.0,0.0,0.0,0.09375,1.0,260.0,260.0,1.1666666666666667,0.8880016747376361,1.0,1.0,1.015625,0.0,0.0,1.8333333333333333,1.0,0.473864524435595,0.526135475564405,35.41041066674847,0.09375,1.0,1.0,0.4109375,0.5339992758747362,0.3198445638020833,0.6801554361979166,0.6751016145696144,0.3178899936485589,1.0,True,False,emitter_or_generator,16.0,1.0,1.0,1.0
29,emitter_or_generator,False,False,260.0,1.0,0.0,0.35,0.35614013671875,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False,0.4988951924246109,0.216064453125,0.5190078895212746,0.0,0.0,0.0,0.0,1.0,260.0,260.0,1.0,0.5679013548429389,1.0,1.0,1.015625,0.0,0.0,2.0,1.0,0.4988951924246109,0.5011048075753891,50.25985782630226,0.0,1.0,1.0,0.35,0.5190078895212746,0.35614013671875,0.64385986328125,0.8698986800006154,0.35614013671875,1.0,False,False,emitter_or_generator,16.0,1.0,1.0,1.0
30,emitter_or_generator,False,False,237.33333333333331,0.558074951171875,0.4873555501302083,0.0,0.524882134128856,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,0.4411804357546003,0.5064798990885416,0.9354477582180646,0.0,0.0,0.0,0.0,0.0,194.41666666666663,237.33333333333331,1.1666666666666667,1.7878042778240346,1.0,0.558074951171875,0.9270833333333334,0.4873555501302083,-0.00640869140625,0.0,1.0,0.4411804357546003,0.5588195642453996,35.53214371186244,0.0,0.0,0.0,0.0,0.9354477582180646,0.52490234375,0.47509765625,0.5566412062729984,0.524882134128856,1.0,False,False,emitter_or_generator,16.0,1.0,0.0,1.0
45,emitter_or_generator,False,False,233.33333333333331,0.5505472819010416,0.5034281412760416,0.0,0.5067849631688229,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,0.4983021381145631,0.4993489583333333,0.8834765893644732,0.0,0.0,0.0,0.0,0.0,161.03125,233.33333333333331,1.1666666666666667,1.941494736329078,1.0,0.5505472819010416,0.9114583333333334,0.5034281412760416,-0.0171305338541666,0.0,1.0,0.4983021381145631,0.5016978618854369,31.53397104697018,0.0,0.0,0.0,0.0,0.8834765893644732,0.5067952473958334,0.4932047526041667,0.5187042557873515,0.5067849631688229,1.0,False,False,emitter_or_generator,16.0,1.0,0.0,1.0
50,emitter_or_generator,True,False,260.0,1.0,0.0,0.35,0.9479166666666666,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,0.4397849393416626,0.5004475911458334,0.9349883455062724,0.0,0.0,0.0,0.0,1.0,259.9583333333333,260.0,1.0,0.2658938704900755,1.0,1.0,1.015625,0.0,-0.0113932291666666,2.0,1.0,0.4397849393416626,0.5602150606583374,333333460.79168445,0.0,1.0,1.0,0.35,0.9349883455062724,0.9479166666666666,0.0520833333333333,0.9412040228955432,0.9479166666666666,1.0,True,False,emitter_or_generator,16.0,1.0,1.0,1.0
51,emitter_or_generator,False,False,260.0,1.0,0.0,0.35,0.31903076171875,False,True,False,0,False,True,False,0.0,0.0,0.0,False,False,False,True,False,0,False,True,False,0.0,0.0,0.0,False,False,0.4988960632245056,0.2162882486979166,0.5184999345930202,0.0,0.0,0.0,0.0,1.0,260.0,260.0,1.3333333333333333,0.8451987773325259,1.0,1.0,1.015625,0.0,0.0,2.0,1.0,0.4988960632245056,0.5011039367754946,49.447449431394624,0.0,1.0,1.0,0.35,0.5184999345930202,0.31903076171875,0.68096923828125,0.7164419515721826,0.31903076171875,1.0,False,False,emitter_or_generator,16.0,1.0,1.0,1.0
54,transported_identity,False,False,260.0,0.7709452311197916,0.2385762532552083,0.1967447916666666,0.4157096152893599,True,True,True,2,True,False,False,0.0,0.0,0.0,False,False,True,True,True,2,True,False,False,0.0,0.0,0.0,False,False,0.3759425617222965,0.3731180826822917,0.7708531840807659,0.09375,0.09375,0.0,0.09375,0.3932291666666667,222.57291666666663,260.0,1.6666666666666667,0.9061454481000858,0.90625,0.7709452311197916,1.015625,0.2385762532552083,-0.0315755208333333,0.8333333333333334,0.90625,0.3759425617222965,0.6240574382777034,7.604918094732402,0.09375,0.3932291666666667,0.3880208333333333,0.1967447916666666,0.7708531840807659,0.43646240234375,0.56353759765625,0.5369720201324237,0.4157096152893599,0.90625,False,False,transported_identity,16.0,1.0,0.75,1.0
61,transported_identity,True,True,260.0,0.8433430989583334,0.2010294596354166,0.0,0.1536235397558716,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True,0.5185578540450714,0.2052103678385416,0.4531825477414459,0.0,0.0,0.0,0.0,0.0,256.84375,260.0,1.9166666666666667,1.3569774012110971,1.0,0.8433430989583334,1.015625,0.2010294596354166,-0.0439860026041666,0.0,1.0,0.5185578540450714,0.4814421459549287,17.318823234294495,0.0,0.0,0.0,0.0,0.4531825477414459,0.1547037760416666,0.8452962239583334,0.3895435797374839,0.1536235397558716,1.0,True,True,transported_identity,16.0,1.0,0.75,1.0
62,localized_persistence,True,True,260.0,0.8165791829427084,0.5651753743489584,0.0833333333333333,0.4905545328819083,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True,0.4886539919367096,0.578826904296875,0.8254977426331962,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.6666666666666666,238.52083333333331,260.0,2.0,1.1351658670267826,0.9166666666666666,0.8165791829427084,1.015625,0.5651753743489584,-0.0069173177083333,2.333333333333333,0.9166666666666666,0.4886539919367096,0.5113460080632903,147.40651265503072,0.0833333333333333,0.6666666666666666,0.0833333333333333,0.0833333333333333,0.8254977426331962,0.54095458984375,0.45904541015625,0.4333332769594938,0.4905545328819083,0.9166666666666666,True,True,localized_persistence,16.0,1.0,0.8125,1.0
71,emitter_or_generator,False,False,260.0,1.0,0.0,0.35,0.3543904622395833,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False,0.4988945195337833,0.2158915201822916,0.5180010735244646,0.0,0.0,0.0,0.0,1.0,260.0,260.0,1.0,0.5764707772986124,1.0,1.0,1.015625,0.0,0.0,2.0,1.0,0.4988945195337833,0.5011054804662168,49.02136580544456,0.0,1.0,1.0,0.35,0.5180010735244646,0.3543904622395833,0.6456095377604166,0.868844165084524,0.3543904622395833,1.0,False,False,emitter_or_generator,16.0,1.0,1.0,1.0
