rule,classification,DAR_complete,DAR_asymmetric,localized_component_lifetime_max,recurrence_up_to_shift,motif_material_turnover,frozen_order_index,chaos_index,depends_left,depends_center,depends_right,relation_degree,relation_complete,self_only,no_local_self_relation,left_right_asymmetry,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,depends_left_metric,depends_center_metric,depends_right_metric,relation_degree_metric,relation_complete_metric,self_only_metric,no_local_self_relation_metric,left_right_asymmetry_metric,temporal_irreversibility_proxy_metric,directional_consequence_metric,DAR_complete_structural_metric,DAR_asymmetric_structural_metric,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max_metric,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift_metric,motif_survival_depth,motif_material_turnover_metric,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index_metric,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index_metric,distinction_survival,DAR_complete_metric,DAR_asymmetric_metric,classification_metric,future_distinct_descendant_count,post_perturbation_survival_rate,return_to_same_pattern_rate,branching_without_explosion
0,collapse,False,False,4.0,1.0,0.0,1.0,0.0,False,False,False,0,False,False,False,0.0,1.0,0.0,False,False,False,False,False,0,False,False,False,0.0,1.0,0.0,False,False,0.0008331971718952,0.0,0.0020118283921535,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.1666666666666667,0.810517941128991,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,0.0008331971718952,0.9991668028281048,0.0,1.0,1.0,1.0,1.0,0.0020118283921535,0.0,1.0,0.0111497559555275,0.0,0.0,False,False,collapse,1.0,0.0,1.0,0.0625
4,frozen_order,True,False,217.33333333333331,1.0,0.0,1.0,0.2136169152850401,True,True,True,2,True,False,False,0.0,0.75,0.0,True,False,True,True,True,2,True,False,False,0.0,0.75,0.0,True,False,0.1284003548430407,0.1280619303385416,0.3704932397020098,0.1927083333333333,0.1927083333333333,0.0,1.0,1.0,210.28125,217.33333333333331,1.1666666666666667,0.0564177546473832,0.8072916666666666,1.0,0.8489583333333334,0.0,-0.0120442708333333,1.0,0.8072916666666666,0.1284003548430407,0.8715996451569593,166666748.96960643,1.0,1.0,1.0,1.0,0.3704932397020098,0.2561238606770833,0.7438761393229166,0.8058248078761769,0.2136169152850401,0.8072916666666666,True,False,frozen_order,14.0,0.875,1.0,0.875
8,collapse,False,False,4.0,1.0,0.0,1.0,0.0,True,True,True,2,True,False,False,0.25,0.75,0.0,True,True,True,True,True,2,True,False,False,0.25,0.75,0.0,True,True,0.0009596214838683,0.0,0.0026358332888602,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.1666666666666667,0.8288402078675262,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,0.0009596214838683,0.9990403785161316,0.0,1.0,1.0,1.0,1.0,0.0026358332888602,0.0,1.0,0.0111440862313157,0.0,0.0,False,False,collapse,1.0,0.0,1.0,0.0625
12,frozen_order,True,True,260.0,1.0,0.0,1.0,0.2773332395916622,True,True,False,1,True,False,False,0.25,0.5,1.0,True,True,True,True,False,1,True,False,False,0.25,0.5,1.0,True,True,0.1600190198529709,0.1598002115885416,0.4503328159154149,0.0,0.0,0.0,1.0,1.0,259.96875,260.0,1.0,0.0523286183765215,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.1600190198529709,0.839980980147029,500000047.8875581,1.0,1.0,1.0,1.0,0.4503328159154149,0.3196004231770833,0.6803995768229166,0.9956891568932223,0.2773332395916622,1.0,True,True,frozen_order,16.0,1.0,1.0,1.0
32,collapse,False,False,26.666666666666668,1.0,0.0,1.0,0.0,True,True,True,2,True,False,False,0.0,0.75,0.0,True,False,True,True,True,2,True,False,False,0.0,0.75,0.0,True,False,0.0207907433021238,0.0,0.0607776326112374,1.0,1.0,0.0,1.0,1.0,22.9375,26.666666666666668,1.1666666666666667,0.8190988930726398,0.1666666666666666,1.0,0.1041666666666666,0.0,-0.0625,1.0,0.0,0.0207907433021238,0.9792092566978762,0.0,1.0,1.0,1.0,1.0,0.0607776326112374,0.0,1.0,0.0917027972343977,0.0,0.0,False,False,collapse,1.0,0.0,1.0,0.0625
36,frozen_order,True,False,174.66666666666666,1.0,0.0,1.0,0.0188911485551989,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False,0.0273787799048516,0.0258076985677083,0.1392659602224219,0.3776041666666667,0.3776041666666667,0.0,1.0,1.0,162.71875,174.66666666666666,1.1666666666666667,0.1049644119698659,0.6223958333333334,1.0,0.6822916666666666,0.0,-0.0236002604166666,1.0,0.6223958333333334,0.0273787799048516,0.9726212200951482,166666737.09804663,1.0,1.0,1.0,1.0,0.1392659602224219,0.0516153971354166,0.9483846028645834,0.6238362627963201,0.0188911485551989,0.6223958333333333,True,False,frozen_order,7.0,0.625,1.0,0.4375
44,frozen_order,True,True,260.0,1.0,0.0,1.0,0.0648654025269202,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True,0.0575892823215588,0.056060791015625,0.2460006137528708,0.0,0.0,0.0,1.0,1.0,259.9270833333333,260.0,1.0,0.0684334726503648,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.0575892823215588,0.9424107176784412,500000068.4576607,1.0,1.0,1.0,1.0,0.2460006137528708,0.11212158203125,0.88787841796875,0.9956776501987344,0.0648654025269202,1.0,True,True,frozen_order,16.0,0.9375,1.0,1.0
51,emitter_or_generator,False,False,260.0,1.0,0.0,0.35,0.31903076171875,False,True,False,0,False,True,False,0.0,0.0,0.0,False,False,False,True,False,0,False,True,False,0.0,0.0,0.0,False,False,0.4988960632245056,0.2162882486979166,0.5184999345930202,0.0,0.0,0.0,0.0,1.0,260.0,260.0,1.3333333333333333,0.8451987773325259,1.0,1.0,1.015625,0.0,0.0,2.0,1.0,0.4988960632245056,0.5011039367754946,49.447449431394624,0.0,1.0,1.0,0.35,0.5184999345930202,0.31903076171875,0.68096923828125,0.7164419515721826,0.31903076171875,1.0,False,False,emitter_or_generator,16.0,1.0,1.0,1.0
57,chaotic,False,False,260.0,0.7170308430989584,0.417755126953125,0.0045572916666666,0.8317882376772312,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False,0.4954981228720816,0.4960530598958333,0.8722688298897308,0.0,0.0,0.0,0.0,0.015625,260.0,260.0,1.0,0.5640674715426188,1.0,0.7170308430989584,1.015625,0.417755126953125,-0.0561116536458333,0.0,1.0,0.4954981228720816,0.5045018771279183,88.45191257979853,0.0,0.015625,0.0130208333333333,0.0045572916666666,0.8722688298897308,0.83209228515625,0.16790771484375,0.8277249455646158,0.8317882376772312,1.0,False,False,chaotic,16.0,1.0,0.9375,1.0
60,collapse,False,False,172.66666666666666,0.8328857421875,0.1671142578125,0.3841145833333333,0.0,True,True,False,1,True,False,False,0.5,0.0,1.0,False,False,True,True,False,1,True,False,False,0.5,0.0,1.0,False,False,0.2548547094124919,0.0,0.6431366565330853,1.0,1.0,0.0,0.4114583333333333,0.0,144.625,172.66666666666666,1.6666666666666667,1.3005674935265954,1.0,0.8328857421875,0.6744791666666666,0.1671142578125,-0.0625,0.0,0.0,0.2548547094124919,0.7451452905875081,0.0,0.4114583333333333,0.0,0.3333333333333333,0.3841145833333333,0.6431366565330853,0.0,1.0,0.5470302111130333,0.0,0.0,False,False,collapse,16.0,1.0,1.0,1.0
64,collapse,False,False,4.0,1.0,0.0,1.0,0.0,True,True,True,2,True,False,False,0.25,0.75,0.0,True,True,True,True,True,2,True,False,False,0.25,0.75,0.0,True,True,0.0009572069932514,0.0,0.0026322997357635,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.5,0.8486393252838069,0.0,1.0,0.015625,0.0,-0.0625,1.0,0.0,0.0009572069932514,0.9990427930067484,0.0,1.0,1.0,1.0,1.0,0.0026322997357635,0.0,1.0,0.0110254524923617,0.0,0.0,False,False,collapse,1.0,0.0,1.0,0.0625
68,frozen_order,True,True,260.0,1.0,0.0,1.0,0.2765895915464003,False,True,True,1,True,False,False,0.25,0.5,1.0,True,True,False,True,True,1,True,False,False,0.25,0.5,1.0,True,True,0.159586826032547,0.1593729654947916,0.4489558617495007,0.0,0.0,0.0,1.0,1.0,259.96875,260.0,1.0,0.0520453754980842,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.159586826032547,0.8404131739674531,500000044.8708996,1.0,1.0,1.0,1.0,0.4489558617495007,0.3187459309895833,0.6812540690104166,0.995722070811022,0.2765895915464003,1.0,True,True,frozen_order,15.0,0.875,1.0,0.9375
