rule,post_perturbation_survival_rate,return_to_same_motif_rate,transition_to_related_motif_rate,future_distinct_descendant_count,collapse_rate,explosion_rate
73,1.0,0.221875,0.778125,231.0,0.0,0.0
109,1.0,0.196875,0.803125,233.0,0.0,0.0
169,1.0,0.096875,0.39375,236.0,0.0,0.509375
225,1.0,0.0875,0.346875,242.0,0.0,0.565625
5,1.0,0.590625,0.409375,170.0,0.0,0.0
29,1.0,0.146875,0.853125,247.0,0.0,0.0
30,1.0,0.14375,0.85625,244.0,0.0,0.0
45,1.0,0.159375,0.840625,246.0,0.0,0.0
50,1.0,0.56875,0.43125,157.0,0.0,0.0
51,1.0,0.128125,0.871875,251.0,0.0,0.0
54,1.0,0.24375,0.75625,219.0,0.0,0.0
61,1.0,0.440625,0.559375,201.0,0.0,0.0
62,1.0,0.35625,0.64375,206.0,0.0,0.0
71,1.0,0.18125,0.81875,242.0,0.0,0.0
75,1.0,0.146875,0.853125,251.0,0.0,0.0
