rule,T,ring_size,confirmed,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,motif_type,confirmed_fraction,depends_left,depends_center,depends_right,relation_degree,relation_complete,self_only,no_local_self_relation,left_right_asymmetry,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,confirmed_candidate
0,597.3333333333334,384.0,0.0,0.0003828161261602511,0.0,0.0009606008653423276,1.0,1.0,0.0,1.0,1.0,3.4990234375,3.5,1.0416666666666667,0.8805225336057011,0.0,1.0,0.007975260416666666,0.0,-0.036458333333333336,1.0,0.0,0.0003828161261602511,0.9996171838738398,0.0,1.0,1.0,1.0,1.0,0.0009606008653423276,0.0,1.0,0.005456938877003232,0.0,static_object,0.0,False,False,False,0,False,False,False,0.0,1.0,0.0,False,False,False
4,597.3333333333334,384.0,0.0,0.09993232975579776,0.09977277119954427,0.3022800516040785,0.138427734375,0.138427734375,0.0,1.0,1.0,518.4557291666666,526.6666666666666,1.125,0.036543014812462506,0.861572265625,1.0,0.8841145833333334,0.0,-0.00505828857421875,1.0,0.861572265625,0.09993232975579776,0.9000676702442023,250000112.82890972,1.0,1.0,1.0,1.0,0.3022800516040785,0.19954554239908853,0.8004544576009115,0.860388025677183,0.16220571621697974,static_object,0.0,True,True,True,2,True,False,False,0.0,0.75,0.0,True,False,False
5,597.3333333333334,384.0,0.0,0.479339094264291,0.1956028938293457,0.4665160506975226,8.138020833333333e-05,8.138020833333333e-05,0.0,0.06656901041666667,1.0,601.2483723958334,601.3333333333334,1.125,0.9409939234570532,0.9999186197916666,1.0,1.0091145833333333,0.0,-1.2715657552083333e-06,1.8958333333333333,0.9999186197916666,0.479339094264291,0.520660905735709,37.91069503120147,0.06656901041666667,1.0,1.0,0.3932698567708333,0.4665160506975226,0.2524420420328776,0.7475579579671224,0.6834145925503101,0.2510149383704385,global_periodic_artifact,0.0,True,False,True,2,True,False,True,0.0,0.5,0.0,True,False,False
8,597.3333333333334,384.0,0.0,0.00044197125063205844,0.0,0.001278010149311522,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.1875,0.8819369537107917,0.0,1.0,0.009114583333333334,0.0,-0.036458333333333336,1.0,0.0,0.00044197125063205844,0.9995580287493678,0.0,1.0,1.0,1.0,1.0,0.001278010149311522,0.0,1.0,0.006584352523928048,0.0,static_object,0.0,True,True,True,2,True,False,False,0.25,0.75,0.0,True,True,False
12,597.3333333333334,384.0,0.0,0.12464046355920812,0.12453413009643555,0.3685408996132192,0.0,0.0,0.0,1.0,1.0,601.2428385416666,601.3333333333334,1.0,0.03968018551136195,1.0,1.0,1.0091145833333333,0.0,0.0,1.0,1.0,0.12464046355920812,0.8753595364407919,500000074.4093833,1.0,1.0,1.0,1.0,0.3685408996132192,0.2490682601928711,0.7509317398071289,0.9969941776673305,0.20990172288535694,static_object,0.0,True,True,False,1,True,False,False,0.25,0.5,1.0,True,True,False
29,597.3333333333334,384.0,0.0,0.4992600393813969,0.17419862747192383,0.4561609445394083,8.138020833333333e-05,8.138020833333333e-05,0.0,0.0,1.0,601.2913411458334,601.3333333333334,1.0,0.7314838598540258,0.9999186197916666,1.0,1.0091145833333333,0.0,-2.5431315104166665e-06,1.9375,0.9999186197916666,0.4992600393813969,0.500739960618603,54.77990915736711,0.0,1.0,1.0,0.3499999999999999,0.4561609445394083,0.28291988372802734,0.7170801162719727,0.8285477686295623,0.28291988372802734,global_periodic_artifact,0.0,True,True,True,2,True,False,False,0.5,0.0,0.0,False,False,False
30,597.3333333333334,384.0,0.0,0.4385466612530499,0.49903138478597003,0.9341979037822394,8.138020833333333e-05,8.138020833333333e-05,0.0,8.138020833333333e-05,8.138020833333333e-05,223.32552083333334,345.4166666666667,1.3333333333333333,1.8715716275732028,0.9999186197916666,0.5552959442138672,0.67041015625,0.4895874659220378,-0.004361788431803386,0.0,0.9999186197916666,0.4385466612530499,0.5614533387469501,39.000717535147906,8.138020833333333e-05,8.138020833333333e-05,8.138020833333333e-05,8.138020833333333e-05,0.9341979037822394,0.5154288609822592,0.4845711390177409,0.5325202556842552,0.5150701047647698,emitter,0.0,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,False
32,597.3333333333334,384.0,0.0,0.013663810699718955,0.0,0.03984896563982828,1.0,1.0,0.0,1.0,1.0,25.789713541666668,29.583333333333332,1.1458333333333333,0.8748280718254672,0.125,0.9948949813842773,0.06754557291666667,0.005105018615722656,-0.036458333333333336,1.0208333333333333,0.0,0.013663810699718955,0.986336189300281,0.0,1.0,1.0,0.9791666666666666,0.9927083333333333,0.03984896563982828,0.0,1.0,0.06011907848300093,0.0,static_object,0.0,True,True,True,2,True,False,False,0.0,0.75,0.0,True,False,False
36,597.3333333333334,384.0,0.0,0.023642311415711798,0.022931734720865887,0.13011901474925816,0.2909342447916667,0.2909342447916667,0.0,1.0,1.0,426.1861979166667,452.0,1.125,0.06697749531131135,0.7090657552083334,1.0,0.7591145833333334,0.0,-0.010557810465494791,1.0,0.7090657552083334,0.023642311415711798,0.9763576885842883,250000083.8650587,1.0,1.0,1.0,1.0,0.13011901474925816,0.04586346944173177,0.9541365305582682,0.7092416116135719,0.014834021536679997,static_object,0.0,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False,False
44,597.3333333333334,384.0,0.0,0.04657362135023921,0.04587078094482422,0.20961609821513358,8.138020833333333e-05,8.138020833333333e-05,0.0,1.0,1.0,601.0999348958334,601.3333333333334,1.0,0.050000737843587516,0.9999186197916666,1.0,1.0091145833333333,0.0,-1.2715657552083333e-06,1.0,0.9999186197916666,0.04657362135023921,0.9534263786497608,500000109.8945954,1.0,1.0,1.0,1.0,0.20961609821513358,0.09174156188964844,0.9082584381103516,0.9970662299687326,0.05043198022556259,static_object,0.0,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True,False
