space,rule_id,stratum,q,radius,table_digest,table_json,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,classification,depends_center,relation_degree,relation_complete,self_only,left_right_asymmetry,output_entropy,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,stage1_score,relation_asymmetry_priority
q3_radius1,q3r1_s1_0005,S1_random_unbiased,3,1,65cb0f043d0c,"[0,0,1,0,2,2,2,0,2,0,1,2,2,1,1,2,1,1,1,2,1,0,0,2,2,2,2]",0.126750728626943,0.08677164713541667,0.18467200598100886,0.875,0.875,0.0,0.875,0.8723958333333333,33.822916666666664,56.5,1.6875,1.659227501389859,0.25,0.9498799641927083,0.2942708333333333,0.05141194661458333,-0.08037651909722221,0.875,0.109375,0.126750728626943,0.873249271373057,0.35377032548949866,0.875,0.8723958333333333,0.8411458333333333,0.8631510416666667,0.18467200598100886,0.059000651041666664,0.9409993489583333,0.049440082779614175,0.05183745797864816,collapse,True,2,True,False,0.2962962962962963,1.5448491887169091,0.02530868205777448,0.0,True,True,0.006336611267446658,0.020887348251953798
q3_radius1,q3r1_s1_0007,S1_random_unbiased,3,1,c8316d10b533,"[0,1,1,2,2,1,1,1,1,1,1,0,1,2,2,1,1,1,2,1,0,0,2,2,0,2,2]",0.8201025137629534,0.9811197916666667,0.7574906964654966,0.0,0.0,0.0,0.0,0.3802083333333333,51.53124999999999,82.5,10.625,2.1209734631123376,0.5182291666666667,0.7356465657552083,0.4296875,0.2874247233072917,-0.057807074652777776,2.0,0.15885416666666666,0.8201025137629534,0.17989748623704663,125000000.71765654,0.0,0.3802083333333333,0.0,0.0,0.7574906964654966,0.5085957845052084,0.4914042154947917,0.03901242815098376,0.38523973646296933,transported_identity,True,2,True,False,0.4444444444444444,1.486565953154142,0.06208130950873836,0.0,True,True,0.1299867609282181,0.447732176530529
q3_radius1,q3r1_s1_0002,S1_random_unbiased,3,1,161b7b98f66d,"[1,2,1,0,2,2,2,0,0,2,0,0,0,0,1,1,0,1,1,2,1,0,1,0,1,2,2]",0.5190165623482027,0.49964396158854174,0.776325775558021,0.0,0.0,0.0,0.0,0.0,111.32291666666667,158.0,2.125,2.347598360714762,0.9401041666666667,0.6401265462239583,0.8229166666666666,0.46356201171875,-0.02742513020833333,0.0,1.0,0.5190165623482027,0.48098343765179724,28.925164929994374,0.0,0.0,0.0,0.0,0.776325775558021,0.2108154296875,0.7891845703125,0.1858632919300267,0.174458394049625,emitter_or_generator,True,2,True,False,0.4444444444444444,1.579013207279971,0.0037535862447711787,0.0,False,False,0.2449698536115823,0.8437850513287836
q3_radius1,q3r1_s1_0017,S1_random_unbiased,3,1,52f90b36862d,"[0,2,2,2,1,1,2,2,2,0,2,1,0,1,0,1,0,2,0,2,1,0,0,1,0,0,0]",0.12815195455864098,0.12278238932291667,0.3067993963585899,0.0,0.0,0.0,0.0,0.0,149.42708333333334,162.5,2.0,0.33954433030529085,1.0,0.8384602864583333,0.8463541666666666,0.18019612630208334,-0.05305989583333333,0.0,1.0,0.12815195455864098,0.8718480454413591,375000049.2462748,0.0,0.0,0.3802083333333333,0.13307291666666665,0.3067993963585899,0.13392130533854166,0.8660786946614583,0.493252572142205,0.09168803081166439,transported_identity,True,2,True,False,0.5925925925925926,1.5610150105933092,0.015109184045017376,0.0,False,False,0.11897221730710458,0.4274187066218202
q3_radius1,q3r1_s1_0000,S1_random_unbiased,3,1,36a70518011c,"[2,0,2,2,2,2,2,1,2,0,1,2,0,1,2,2,2,0,2,2,0,0,2,2,2,1,1]",0.8448979142210438,0.8028564453125,0.8107121612810293,0.0,0.0,0.0,0.125,0.125,170.64583333333331,171.0,1.125,2.1522467865564394,0.875,0.5085245768229167,0.890625,0.5401611328125,0.005995008680555557,0.125,0.875,0.8448979142210438,0.15510208577895618,42.69731736511055,0.125,0.125,0.125,0.125,0.8107121612810293,0.5374043782552084,0.46259562174479163,0.19651370453483016,0.49391132100144775,emitter_or_generator,True,2,True,False,0.2962962962962963,1.3800943362833298,0.12925742050339462,0.0,True,True,0.12163819134090843,0.4009555196052167
q3_radius1,q3r1_s1_0011,S1_random_unbiased,3,1,7e0a9a6ec530,"[1,0,2,0,2,1,0,1,2,0,2,2,2,0,2,1,2,2,1,0,1,1,1,2,1,2,1]",0.7969307644173683,0.8972269694010417,0.9338574930438155,0.0,0.0,0.0,0.0,0.0,193.44791666666669,195.0,10.875,4.941405755539214,1.0,0.413177490234375,1.015625,0.6371968587239584,-0.009819878472222222,0.0,1.0,0.7969307644173683,0.20306923558263168,25.746761740342755,0.0,0.0,0.0,0.0,0.9338574930438155,0.47324625651041663,0.5267537434895833,0.08591217293296602,0.44243001402869725,mixed,True,2,True,False,0.2962962962962963,1.540709585192697,0.02792048108918921,0.0,True,True,0.14679446045609218,0.4838780363182298
q3_radius1,q3r1_s1_0013,S1_random_unbiased,3,1,2b2e1c3f3583,"[0,0,0,2,0,1,0,0,1,2,1,0,2,2,2,2,0,1,2,2,1,0,0,1,0,2,2]",0.09325270578651229,0.09161376953125,0.22177648004485068,0.0,0.0,0.0,0.0,0.0,147.91666666666669,154.0,1.0,0.1783185377157107,1.0,0.8831990559895834,0.8020833333333333,0.13834635416666669,-0.052490234375,0.0,1.0,0.09325270578651229,0.9067472942134877,375000073.12148654,0.0,0.0,0.3854166666666667,0.13489583333333333,0.22177648004485068,0.1832275390625,0.8167724609375,0.9904807240905726,0.08997411163590768,transported_identity,True,2,True,False,0.6666666666666666,1.540709585192697,0.02792048108918921,0.0,True,True,0.09619410669169697,0.3527117245362222
q3_radius1,q3r1_s1_0004,S1_random_unbiased,3,1,b97524413605,"[0,0,1,0,0,2,0,2,0,0,1,2,0,0,1,0,2,0,2,2,2,0,0,0,0,0,1]",0.3251746512035838,0.4173380533854167,0.5469676960167346,0.12760416666666666,0.12760416666666666,0.0,0.12760416666666666,0.5026041666666666,164.82291666666666,172.0,1.125,0.276783612693,0.8723958333333333,0.7671407063802083,0.8958333333333333,0.3351542154947917,-0.009684244791666666,0.875,0.8723958333333333,0.3251746512035838,0.6748253487964162,55.28438962845114,0.12760416666666666,0.5026041666666666,0.12760416666666666,0.12760416666666666,0.5469676960167346,0.7431844075520833,0.2568155924479167,0.7969776111868778,0.4699495931015211,localized_persistence,True,2,True,False,0.2962962962962963,1.360388077926312,0.14169068523240325,0.0,True,True,0.1188914076996899,0.39190130686194075
q3_radius1,q3r1_s1_0016,S1_random_unbiased,3,1,ca85e6baebeb,"[0,0,2,1,0,0,0,1,1,2,1,0,1,2,1,1,2,0,0,1,0,0,1,1,0,0,2]",0.31068987014586036,0.36365763346354163,0.5713675540351394,0.0026041666666666665,0.0026041666666666665,0.0,0.0026041666666666665,0.0026041666666666665,178.76041666666666,188.0,1.75,1.7808370739505488,0.9973958333333333,0.6764322916666666,0.9791666666666666,0.35193888346354163,-0.044352213541666664,0.0,0.9973958333333333,0.31068987014586036,0.6893101298541398,125000135.5774548,0.0026041666666666665,0.0026041666666666665,0.3802083333333333,0.134765625,0.5713675540351394,0.359222412109375,0.640777587890625,0.4832128158625116,0.32022497659276183,emitter_or_generator,True,2,True,False,0.37037037037037035,1.5012404120907166,0.05282275674809089,0.0,True,True,0.14002015449292432,0.4719197799576338
q3_radius1,q3r1_s1_0008,S1_random_unbiased,3,1,f488398ffc24,"[1,0,1,2,0,0,0,0,0,0,2,2,0,0,0,1,2,2,2,0,0,0,2,2,0,2,0]",0.4200143764673737,0.30537923177083337,0.7156455056817492,0.0,0.0,0.0,0.0,0.09375,194.66666666666669,196.0,2.0,0.8948669418274603,1.0,0.83966064453125,1.0208333333333333,0.16313680013020831,-0.027425130208333336,0.0,1.0,0.4200143764673737,0.5799856235326263,28.749264491260092,0.0,0.09375,0.04947916666666667,0.017317708333333334,0.7156455056817492,0.3466084798177083,0.6533915201822916,0.5429078884624619,0.2596925247690903,transported_identity,True,2,True,False,0.2962962962962963,1.3516441151533924,0.14720751150995937,0.0,True,True,0.09965084877403252,0.32847872373662573
