space,rule_id,stratum,classification,stage1_score,relation_asymmetry_priority
q3_radius1,q3r1_s1_0005,S1_random_unbiased,collapse,0.006336611267446658,0.020887348251953798
q3_radius1,q3r1_s1_0007,S1_random_unbiased,transported_identity,0.1299867609282181,0.447732176530529
q3_radius1,q3r1_s1_0002,S1_random_unbiased,emitter_or_generator,0.2449698536115823,0.8437850513287836
q3_radius1,q3r1_s1_0017,S1_random_unbiased,transported_identity,0.11897221730710458,0.4274187066218202
q3_radius1,q3r1_s1_0000,S1_random_unbiased,emitter_or_generator,0.12163819134090843,0.4009555196052167
q3_radius1,q3r1_s1_0011,S1_random_unbiased,mixed,0.14679446045609218,0.4838780363182298
q3_radius1,q3r1_s1_0013,S1_random_unbiased,transported_identity,0.09619410669169697,0.3527117245362222
q3_radius1,q3r1_s1_0004,S1_random_unbiased,localized_persistence,0.1188914076996899,0.39190130686194075
q3_radius1,q3r1_s1_0016,S1_random_unbiased,emitter_or_generator,0.14002015449292432,0.4719197799576338
q3_radius1,q3r1_s1_0008,S1_random_unbiased,transported_identity,0.09965084877403252,0.32847872373662573
q3_radius1,q3r1_s1_0001,S1_random_unbiased,emitter_or_generator,0.15003471144414993,0.5167862283076275
q3_radius1,q3r1_s1_0014,S1_random_unbiased,transported_identity,0.1245632478486007,0.4382780942821136
q3_radius1,q3r1_s1_0003,S1_random_unbiased,emitter_or_generator,0.1414415195349,0.49766460577094446
q3_radius1,q3r1_s1_0006,S1_random_unbiased,chaotic,0.0958771511593814,0.3089374870691179
q3_radius1,q3r1_s1_0012,S1_random_unbiased,emitter_or_generator,0.10399255828232473,0.3427902847084037
q3_radius1,q3r1_s1_0009,S1_random_unbiased,chaotic,0.09076692965271048,0.3193651228521295
q3_radius1,q3r1_s1_0010,S1_random_unbiased,emitter_or_generator,0.12933031069793485,0.45505109319643744
q3_radius1,q3r1_s1_0015,S1_random_unbiased,emitter_or_generator,0.11929185569439134,0.41973060336915474
q3_radius1,q3r1_s1_0018,S1_random_unbiased,transported_identity,0.15455035343193052,0.5552364549221207
q3_radius1,q3r1_s1_0021,S1_random_unbiased,mixed,0.016536937348238495,0.05696056197726593
q3_radius1,q3r1_s1_0020,S1_random_unbiased,transported_identity,0.022088920582539067,0.07608405978430123
q3_radius1,q3r1_s1_0019,S1_random_unbiased,transported_identity,0.13512344012476332,0.48544347007785343
q3_radius1,q3r1_s1_0022,S1_random_unbiased,emitter_or_generator,0.14933710743815132,0.5475693939398881
q3_radius1,q3r1_s1_0025,S1_random_unbiased,transported_identity,0.09817884350264315,0.3527165859169032
q3_radius1,q3r1_s1_0036,S1_random_unbiased,transported_identity,0.09583205075053168,0.34428551565931753
q3_radius1,q3r1_s1_0030,S1_random_unbiased,transported_identity,0.1656301534454667,0.5950416623781581
q3_radius1,q3r1_s1_0024,S1_random_unbiased,transported_identity,0.022813277943359783,0.07857906847157259
q3_radius1,q3r1_s1_0027,S1_random_unbiased,chaotic,0.10606488549115373,0.3653346055806406
q3_radius1,q3r1_s1_0023,S1_random_unbiased,chaotic,0.08165694536268692,0.2752141491853522
q3_radius1,q3r1_s1_0033,S1_random_unbiased,emitter_or_generator,0.19702648656935198,0.6932413416329052
q3_radius1,q3r1_s1_0028,S1_random_unbiased,emitter_or_generator,0.12172661580853278,0.42829735191891166
q3_radius1,q3r1_s1_0031,S1_random_unbiased,chaotic,0.07979319157983102,0.2630220018742578
q3_radius1,q3r1_s1_0026,S1_random_unbiased,chaotic,0.0900248972450549,0.33009128989853465
q3_radius1,q3r1_s1_0035,S1_random_unbiased,transported_identity,0.11639651869750474,0.38367741348436746
q3_radius1,q3r1_s1_0029,S1_random_unbiased,chaotic,0.0647744609803978,0.22311203226581464
q3_radius1,q3r1_s1_0034,S1_random_unbiased,chaotic,0.08121147971277001,0.2857440952856723
q3_radius1,q3r1_s1_0032,S1_random_unbiased,emitter_or_generator,0.10967874996900134,0.377782361004338
q3_radius1,q3r1_s1_0037,S1_random_unbiased,emitter_or_generator,0.17736542911910208,0.5977871870310477
q3_radius1,q3r1_s1_0038,S1_random_unbiased,emitter_or_generator,0.15309091950691128,0.5159730990788491
q3_radius1,q3r1_s1_0048,S1_random_unbiased,mixed,0.0001997914512669412,0.0006733711876033944
q3_radius1,q3r1_s1_0039,S1_random_unbiased,chaotic,0.07788444151299671,0.25096097820854496
q3_radius1,q3r1_s1_0042,S1_random_unbiased,emitter_or_generator,0.0013128474414618773,0.004813773952026883
q3_radius1,q3r1_s1_0041,S1_random_unbiased,emitter_or_generator,0.020774877953589378,0.0715579129512523
q3_radius1,q3r1_s2_0001,S2_quiescent_preserving,frozen_order,0.004933061278470937,0.016260831621626424
q3_radius1,q3r1_s1_0045,S1_random_unbiased,transported_identity,0.13404492420111042,0.441851787181438
q3_radius1,q3r1_s1_0044,S1_random_unbiased,transported_identity,0.0627976823329444,0.2163031280356974
q3_radius1,q3r1_s1_0047,S1_random_unbiased,transported_identity,0.15844503809699706,0.5574918007116564
q3_radius1,q3r1_s1_0049,S1_random_unbiased,transported_identity,0.11306678387169981,0.3810769382342475
q3_radius1,q3r1_s1_0043,S1_random_unbiased,emitter_or_generator,0.11549779184692105,0.4234919034387105
q3_radius1,q3r1_s1_0046,S1_random_unbiased,emitter_or_generator,0.15275231836060177,0.5374618608984136
q3_radius1,q3r1_s2_0000,S2_quiescent_preserving,chaotic,0.09643679646904638,0.33931465424294094
q3_radius1,q3r1_s2_0004,S2_quiescent_preserving,transported_identity,0.11724649129175464,0.40384902556048824
q3_radius1,q3r1_s1_0040,S1_random_unbiased,chaotic,0.03353817349638465,0.11800468452431638
q3_radius1,q3r1_s2_0002,S2_quiescent_preserving,chaotic,0.08289022986530684,0.2855107917582791
q3_radius1,q3r1_s2_0003,S2_quiescent_preserving,chaotic,0.09269530792982181,0.3261501575308545
q3_radius1,q3r1_s2_0005,S2_quiescent_preserving,chaotic,0.024942027955475798,0.08775898725074818
q3_radius1,q3r1_s2_0006,S2_quiescent_preserving,transported_identity,0.11989134615652748,0.430720762117895
q3_radius1,q3r1_s2_0008,S2_quiescent_preserving,transported_identity,0.1169127468194303,0.42001986820313847
q3_radius1,q3r1_s2_0007,S2_quiescent_preserving,emitter_or_generator,0.14916336927314108,0.5248340770721631
q3_radius1,q3r1_s2_0009,S2_quiescent_preserving,emitter_or_generator,0.11470343933405522,0.3950896243728569
q3_radius1,q3r1_s2_0013,S2_quiescent_preserving,mixed,0.16537204267615926,0.5941143755402759
q3_radius1,q3r1_s2_0010,S2_quiescent_preserving,emitter_or_generator,0.1217989831705907,0.41050768401939824
q3_radius1,q3r1_s2_0012,S2_quiescent_preserving,transported_identity,0.08660862016479336,0.29831858056762156
