space,stratum,classification,count,stratum_total,rate
ECA_anchor,ECA_anchor,chaotic,2,33,0.06060606060606061
ECA_anchor,ECA_anchor,collapse,5,33,0.15151515151515152
ECA_anchor,ECA_anchor,emitter_or_generator,1,33,0.030303030303030304
ECA_anchor,ECA_anchor,frozen_order,9,33,0.2727272727272727
ECA_anchor,ECA_anchor,localized_persistence,6,33,0.18181818181818182
ECA_anchor,ECA_anchor,transported_identity,10,33,0.30303030303030304
q2_radius2,S1_random_unbiased,chaotic,4,50,0.08
q2_radius2,S1_random_unbiased,emitter_or_generator,23,50,0.46
q2_radius2,S1_random_unbiased,frozen_order,3,50,0.06
q2_radius2,S1_random_unbiased,localized_persistence,2,50,0.04
q2_radius2,S1_random_unbiased,transported_identity,18,50,0.36
q2_radius2,S2_quiescent_preserving,chaotic,4,50,0.08
q2_radius2,S2_quiescent_preserving,collapse,1,50,0.02
q2_radius2,S2_quiescent_preserving,emitter_or_generator,24,50,0.48
q2_radius2,S2_quiescent_preserving,localized_persistence,5,50,0.1
q2_radius2,S2_quiescent_preserving,transported_identity,16,50,0.32
q2_radius2,S3_sparse_active_preserving,chaotic,8,50,0.16
q2_radius2,S3_sparse_active_preserving,emitter_or_generator,32,50,0.64
q2_radius2,S3_sparse_active_preserving,localized_persistence,1,50,0.02
q2_radius2,S3_sparse_active_preserving,transported_identity,9,50,0.18
q2_radius2,S4_neighbor_dependent,chaotic,8,50,0.16
q2_radius2,S4_neighbor_dependent,emitter_or_generator,18,50,0.36
q2_radius2,S4_neighbor_dependent,frozen_order,3,50,0.06
q2_radius2,S4_neighbor_dependent,transported_identity,21,50,0.42
q2_radius2,S5_asymmetric_neighbor_dependent,chaotic,7,50,0.14
q2_radius2,S5_asymmetric_neighbor_dependent,emitter_or_generator,20,50,0.4
q2_radius2,S5_asymmetric_neighbor_dependent,localized_persistence,1,50,0.02
q2_radius2,S5_asymmetric_neighbor_dependent,transported_identity,22,50,0.44
q2_radius2,S6_relation_rich_nonchaotic_bias,emitter_or_generator,12,50,0.24
q2_radius2,S6_relation_rich_nonchaotic_bias,frozen_order,13,50,0.26
q2_radius2,S6_relation_rich_nonchaotic_bias,localized_persistence,1,50,0.02
q2_radius2,S6_relation_rich_nonchaotic_bias,mixed,3,50,0.06
q2_radius2,S6_relation_rich_nonchaotic_bias,transported_identity,21,50,0.42
q2_radius2,S7_symmetric_control,chaotic,1,25,0.04
q2_radius2,S7_symmetric_control,emitter_or_generator,7,25,0.28
q2_radius2,S7_symmetric_control,frozen_order,9,25,0.36
q2_radius2,S7_symmetric_control,localized_persistence,1,25,0.04
q2_radius2,S7_symmetric_control,transported_identity,7,25,0.28
q2_radius2,S8_self_only_control,emitter_or_generator,1,25,0.04
q2_radius2,S8_self_only_control,frozen_order,24,25,0.96
q3_radius1,S1_random_unbiased,chaotic,10,50,0.2
q3_radius1,S1_random_unbiased,collapse,1,50,0.02
q3_radius1,S1_random_unbiased,emitter_or_generator,18,50,0.36
q3_radius1,S1_random_unbiased,localized_persistence,1,50,0.02
q3_radius1,S1_random_unbiased,mixed,3,50,0.06
q3_radius1,S1_random_unbiased,transported_identity,17,50,0.34
q3_radius1,S2_quiescent_preserving,chaotic,12,50,0.24
q3_radius1,S2_quiescent_preserving,emitter_or_generator,17,50,0.34
q3_radius1,S2_quiescent_preserving,frozen_order,2,50,0.04
q3_radius1,S2_quiescent_preserving,localized_persistence,1,50,0.02
q3_radius1,S2_quiescent_preserving,mixed,1,50,0.02
q3_radius1,S2_quiescent_preserving,transported_identity,17,50,0.34
q3_radius1,S3_sparse_active_preserving,chaotic,7,50,0.14
q3_radius1,S3_sparse_active_preserving,collapse,1,50,0.02
q3_radius1,S3_sparse_active_preserving,emitter_or_generator,20,50,0.4
q3_radius1,S3_sparse_active_preserving,localized_persistence,1,50,0.02
q3_radius1,S3_sparse_active_preserving,transported_identity,21,50,0.42
q3_radius1,S4_neighbor_dependent,chaotic,14,50,0.28
q3_radius1,S4_neighbor_dependent,emitter_or_generator,17,50,0.34
q3_radius1,S4_neighbor_dependent,localized_persistence,1,50,0.02
q3_radius1,S4_neighbor_dependent,mixed,3,50,0.06
q3_radius1,S4_neighbor_dependent,transported_identity,15,50,0.3
q3_radius1,S5_asymmetric_neighbor_dependent,chaotic,14,50,0.28
q3_radius1,S5_asymmetric_neighbor_dependent,collapse,1,50,0.02
q3_radius1,S5_asymmetric_neighbor_dependent,emitter_or_generator,23,50,0.46
q3_radius1,S5_asymmetric_neighbor_dependent,frozen_order,2,50,0.04
q3_radius1,S5_asymmetric_neighbor_dependent,mixed,1,50,0.02
q3_radius1,S5_asymmetric_neighbor_dependent,transported_identity,9,50,0.18
q3_radius1,S6_relation_rich_nonchaotic_bias,emitter_or_generator,5,50,0.1
q3_radius1,S6_relation_rich_nonchaotic_bias,frozen_order,26,50,0.52
q3_radius1,S6_relation_rich_nonchaotic_bias,localized_persistence,4,50,0.08
q3_radius1,S6_relation_rich_nonchaotic_bias,transported_identity,15,50,0.3
q3_radius1,S7_symmetric_control,chaotic,2,25,0.08
q3_radius1,S7_symmetric_control,collapse,1,25,0.04
q3_radius1,S7_symmetric_control,emitter_or_generator,9,25,0.36
q3_radius1,S7_symmetric_control,frozen_order,4,25,0.16
q3_radius1,S7_symmetric_control,localized_persistence,2,25,0.08
q3_radius1,S7_symmetric_control,transported_identity,7,25,0.28
q3_radius1,S8_self_only_control,frozen_order,25,25,1.0
