space,rule_id,stratum,q,radius,table_digest,table_json,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,classification,depends_center,relation_degree,relation_complete,self_only,left_right_asymmetry,output_entropy,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,stage1_score,relation_asymmetry_priority
q3_radius1,q3r1_s5_0020,S5_asymmetric_neighbor_dependent,3,1,70d5442bdee1,"[0,1,1,1,0,1,2,1,1,0,2,0,0,2,2,0,0,1,2,2,1,2,2,0,1,2,1]",0.7189560331828854,0.8754170735677084,0.7682611050332602,0.0,0.0,0.0,0.0,0.0,103.07291666666666,129.5,1.75,2.1341010433791694,0.8489583333333333,0.652587890625,0.6744791666666666,0.49518839518229163,-0.008761935763888888,0.0,0.14322916666666666,0.7189560331828854,0.28104396681711463,71.6322787199304,0.0,0.0,0.125,0.04375,0.7682611050332602,0.09218343098958334,0.9078165690104167,0.1804676193007279,0.0830260941107819,emitter_or_generator,True,2,True,False,0.4444444444444444,1.5790132072799712,0.0037535862447710677,0.0,False,False,0.283359576361872,0.9760163185797813
q3_radius1,q3r1_s1_0002,S1_random_unbiased,3,1,161b7b98f66d,"[1,2,1,0,2,2,2,0,0,2,0,0,0,0,1,1,0,1,1,2,1,0,1,0,1,2,2]",0.5190165623482027,0.49964396158854174,0.776325775558021,0.0,0.0,0.0,0.0,0.0,111.32291666666667,158.0,2.125,2.347598360714762,0.9401041666666667,0.6401265462239583,0.8229166666666666,0.46356201171875,-0.02742513020833333,0.0,1.0,0.5190165623482027,0.48098343765179724,28.925164929994374,0.0,0.0,0.0,0.0,0.776325775558021,0.2108154296875,0.7891845703125,0.1858632919300267,0.174458394049625,emitter_or_generator,True,2,True,False,0.4444444444444444,1.579013207279971,0.0037535862447711787,0.0,False,False,0.2449698536115823,0.8437850513287836
q3_radius1,q3r1_s7_0008,S7_symmetric_control,3,1,b520d0a9bcb9,"[0,1,2,1,1,2,0,1,2,1,1,1,1,0,1,1,2,0,2,1,2,2,1,2,2,0,0]",0.4143654093635309,0.44013468424479163,0.661645940346079,0.0078125,0.0078125,0.0,0.0078125,0.125,124.40624999999999,165.0,2.25,1.98550976087983,1.0,0.6326192220052083,0.859375,0.40254720052083337,-0.022894965277777776,0.25,0.9921875,0.4143654093635309,0.585634590636469,125000015.63060643,0.0078125,0.125,0.0,0.005078125,0.661645940346079,0.3160502115885417,0.6839497884114583,0.37815471538345935,0.2110620185049727,emitter_or_generator,True,2,True,False,0.0,1.5304930567574826,0.0343663928571748,0.0,True,False,0.19988998652861195,0.5996699595858359
q3_radius1,q3r1_s1_0033,S1_random_unbiased,3,1,2f88c650cd32,"[1,0,2,1,0,1,2,2,2,1,0,1,2,2,2,1,1,1,1,0,2,2,2,1,1,1,0]",0.7076134558168717,0.573822021484375,0.9951536765035114,0.0,0.0,0.0,0.0,0.0,90.97916666666666,102.0,5.875,3.487809875573431,0.7291666666666666,0.5331217447916666,0.53125,0.5222676595052084,-0.008300781249999998,0.0,1.0,0.7076134558168717,0.29238654418312826,15.158702957319527,0.0,0.0,0.0,0.0,0.9951536765035114,0.294219970703125,0.705780029296875,0.12710663884339338,0.29237188047656815,emitter_or_generator,True,2,True,False,0.5185185185185185,1.5012404120907163,0.052822756748091004,0.0,True,True,0.19702648656935198,0.6932413416329052
q3_radius1,q3r1_s4_0014,S4_neighbor_dependent,3,1,f62ba809cda5,"[2,1,2,2,1,1,1,1,2,2,2,1,1,1,0,1,1,2,1,2,2,0,1,2,0,2,0]",0.8448393036046794,0.9717915852864583,0.7158522782655596,0.0,0.0,0.0,0.0,0.0,163.09375,187.0,4.625,2.8528824299625333,0.8854166666666666,0.6997172037760416,0.9739583333333333,0.3099263509114583,-0.037516276041666664,0.0,0.9244791666666666,0.8448393036046794,0.1551606963953206,28.552844878938245,0.0,0.0,0.0,0.0,0.7158522782655596,0.16642252604166669,0.8335774739583333,0.05673792790982339,0.10405446532344478,mixed,True,2,True,False,0.4444444444444444,1.4558764720277595,0.08144421627304277,0.0,True,True,0.1942954650805103,0.6692399352773133
q3_radius1,q3r1_s4_0031,S4_neighbor_dependent,3,1,fad2d4af6c9e,"[2,1,1,2,2,2,0,1,1,1,2,0,1,2,1,1,0,0,2,1,0,2,1,2,1,2,1]",0.9236633617025582,0.9351399739583334,0.7980444456229341,0.0,0.0,0.0,0.0,0.0,169.78125,170.0,6.5,1.985208300925899,0.875,0.7017415364583334,0.8854166666666665,0.35248819986979163,-0.04066297743055555,0.0,1.0,0.9236633617025582,0.07633663829744171,375000067.2408158,0.0,0.0,0.0,0.0,0.7980444456229341,0.25243123372395837,0.7475687662760417,0.09111752727217236,0.2241236234962128,transported_identity,True,2,True,False,0.2962962962962963,1.5012404120907163,0.052822756748091004,0.0,True,True,0.19191737513957158,0.6326165328674767
q3_radius1,q3r1_s5_0016,S5_asymmetric_neighbor_dependent,3,1,a50a23d92df4,"[0,1,1,1,2,2,0,2,0,0,0,2,2,2,2,0,0,2,2,2,1,2,1,1,0,0,1]",0.6739243159845909,0.8610127766927084,0.9482006789385804,0.0,0.0,0.0,0.0,0.0,195.90625,196.0,2.375,3.045622654327356,1.0,0.518341064453125,1.0208333333333333,0.519622802734375,-0.004258897569444445,0.0,1.0,0.6739243159845909,0.3260756840154091,42.40258207375142,0.0,0.0,0.0,0.0,0.9482006789385804,0.3076273600260417,0.6923726399739583,0.27408755177967653,0.29064911233953405,emitter_or_generator,True,2,True,False,0.37037037037037035,1.5610150105933087,0.015109184045017598,0.0,False,False,0.19105787093550702,0.6439357872270792
q3_radius1,q3r1_s3_0020,S3_sparse_active_preserving,3,1,ca67369dfddd,"[0,0,0,1,0,2,1,0,2,2,1,0,1,0,0,2,2,0,1,2,0,2,0,2,0,0,0]",0.24862644544743093,0.266876220703125,0.5896000889873428,0.0,0.0,0.0,0.0,0.0,106.80208333333334,146.0,1.875,1.8843211444694308,0.9947916666666666,0.6382242838541667,0.7604166666666666,0.385467529296875,-0.042290581597222224,0.0,1.0,0.24862644544743093,0.751373554552569,34.793826387296754,0.0,0.0,0.0,0.0,0.5896000889873428,0.3006591796875,0.6993408203125,0.49303756309318164,0.2237224919754373,emitter_or_generator,True,2,True,False,0.4444444444444444,1.4618278953766808,0.07768928620610849,0.0,True,True,0.19097570762350746,0.6578052151476369
q3_radius1,q3r1_s3_0011,S3_sparse_active_preserving,3,1,23c75377cbf9,"[0,1,0,1,2,0,0,1,2,1,1,0,0,0,0,0,2,0,1,2,0,1,2,0,0,0,2]",0.4166548075041829,0.5187174479166666,0.7719257332072148,0.0,0.0,0.0,0.0,0.0,143.91666666666669,154.5,2.0,2.263339319639559,1.0,0.5165608723958334,0.8046875,0.57733154296875,-0.010877821180555556,0.0,1.0,0.4166548075041829,0.5833451924958172,43.915143185007224,0.0,0.0,0.0,0.0,0.7719257332072148,0.48187255859375,0.51812744140625,0.40945313907638303,0.3742676522475794,emitter_or_generator,True,2,True,False,0.5185185185185185,1.4784345996621122,0.06721162236366718,0.0,True,True,0.18661020922528682,0.6565914769037869
q3_radius1,q3r1_s4_0007,S4_neighbor_dependent,3,1,d42195a2d140,"[2,1,1,1,1,0,2,0,0,0,1,0,0,1,1,1,0,0,1,1,2,2,0,1,2,2,0]",0.5506102145232892,0.409698486328125,0.7916561994357219,0.0,0.0,0.0,0.0,0.0,177.96875,180.0,1.8125,1.2107281630830586,1.0,0.7093607584635416,0.9375,0.35611979166666663,-0.022705078125,0.0,1.0,0.5506102145232892,0.44938978547671093,20.800738036463656,0.0,0.0,0.0,0.0,0.7916561994357219,0.333099365234375,0.666900634765625,0.49705604820141536,0.2723589318496327,transported_identity,True,2,True,False,0.5925925925925926,1.540709585192697,0.02792048108918921,0.0,True,True,0.1838147987863439,0.660371684528717
q3_radius1,q3r1_s2_0033,S2_quiescent_preserving,3,1,60af855294ed,"[0,2,2,1,1,0,0,2,1,2,1,2,1,1,0,0,1,1,1,0,2,1,0,1,2,0,0]",0.6992194351960546,0.860626220703125,0.7001974163394595,0.0,0.0,0.0,0.0,0.0,184.75,187.5,1.625,2.4788228648329547,0.9973958333333333,0.6740926106770833,0.9765625,0.343963623046875,-0.023573133680555556,0.0,0.8515625,0.6992194351960546,0.30078056480394544,25.54664645145263,0.0,0.0,0.0,0.0,0.7001974163394595,0.27002970377604163,0.7299702962239583,0.12374881492873485,0.21035929193840563,emitter_or_generator,True,2,True,False,0.4444444444444444,1.561015010593309,0.015109184045017487,0.0,False,False,0.18308872931605102,0.6306389565330647
q3_radius1,q3r1_s7_0002,S7_symmetric_control,3,1,25f9ecd37ab4,"[0,1,0,1,0,1,1,0,1,1,1,0,0,1,2,0,0,2,0,0,0,1,2,1,1,2,1]",0.6853084267729922,0.8505045572916667,0.5536980568262391,0.0,0.0,0.0,0.0,0.0,177.15625,179.5,2.5,2.282261854607598,1.0,0.715972900390625,0.9348958333333333,0.2982686360677083,-0.044921875,0.0,1.0,0.6853084267729922,0.31469157322700775,28.53172586562189,0.0,0.0,0.0,0.0,0.5536980568262391,0.2946980794270833,0.7053019205729167,0.2198372802071754,0.14922856642556293,transported_identity,True,2,True,False,0.0,1.4558764720277595,0.08144421627304277,0.0,True,False,0.18168416277542648,0.5450524883262795
q3_radius1,q3r1_s5_0028,S5_asymmetric_neighbor_dependent,3,1,147b124455b1,"[0,2,0,2,2,0,0,1,2,2,0,2,0,2,2,2,1,2,1,2,2,1,1,2,0,1,2]",0.553082718132691,0.6942952473958334,0.6598771951099548,0.0,0.0,0.0,0.0,0.0,157.25,178.5,6.625,1.4752080742272142,0.9114583333333334,0.6403096516927083,0.9296875,0.4037984212239583,-0.03805881076388889,0.0,1.0,0.553082718132691,0.44691728186730895,54.432414705536566,0.0,0.0,0.0,0.0,0.6598771951099548,0.44189453125,0.55810546875,0.2406079471970461,0.3019440610008014,emitter_or_generator,True,2,True,False,0.5185185185185185,1.478434599662112,0.06721162236366729,0.0,True,True,0.18048656982604508,0.6350453382768253
