space,rule_id,parent_rule_id,control_type,stratum,ic_family,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,raw_persistence_score
q3_radius1,q3r1_s1_0048,q3r1_s1_0002,stratum_null_q3r1_s1_0048,S1_random_unbiased,random_uniform,0.9543920446325231,0.959503173828125,0.4309747603803856,0.0,0.0,0.0,0.0,1.0,516.0,516.0,14.0,5.451758306113112,1.0,1.0,1.0078125,0.0,0.0,2.0,1.0,0.9543920446325231,0.04560795536747686,93.48139786281729,0.0,1.0,1.0,0.35,0.4309747603803856,0.1644287109375,0.8355712890625,0.0443745189838667,0.07086462429594476,0.0
q3_radius1,q3r1_s1_0048,q3r1_s1_0002,stratum_null_q3r1_s1_0048,S1_random_unbiased,sparse_active_010,0.9779318647775036,0.97198486328125,0.24594497819602024,0.0,0.0,0.0,0.0,1.0,506.3125,516.0,19.0,5.71807420531614,0.984375,1.0,1.0078125,0.0,0.0,2.0,1.0,0.9779318647775036,0.0220681352224964,82.4734560017407,0.0,1.0,1.0,0.35,0.24594497819602024,0.07659912109375,0.92340087890625,0.03216704389834889,0.018839169167236658,0.0
q3_radius1,q3r1_s1_0048,q3r1_s1_0002,stratum_null_q3r1_s1_0048,S1_random_unbiased,sparse_active_025,0.9608706349750243,0.9608154296875,0.3824943718588998,0.0,0.0,0.0,0.0,1.0,515.40625,516.0,15.0,5.514793179336191,1.0,1.0,1.0078125,0.0,0.0,2.0,1.0,0.9608706349750243,0.03912936502497566,86.89850717859532,0.0,1.0,1.0,0.35,0.3824943718588998,0.13916015625,0.86083984375,0.045503627779165765,0.0532279765526301,0.0
q3_radius1,q3r1_s1_0048,q3r1_s1_0002,stratum_null_q3r1_s1_0048,S1_random_unbiased,single_active_1,0.9980506822612085,1.0,0.01316099759844807,0.0,0.0,1.0,1.0,1.0,4.0,4.0,1.0,-0.0,0.0,1.0,0.0078125,0.0,-0.03125,1.0,0.0,0.9980506822612085,0.0019493177387914784,0.0,1.0,1.0,1.0,1.0,0.01316099759844807,0.0,1.0,0.007751937984496124,0.0,0.0
q3_radius1,q3r1_s1_0048,q3r1_s1_0002,stratum_null_q3r1_s1_0048,S1_random_unbiased,single_active_2,0.9960556773879142,0.99609375,0.04674660340091811,0.0,0.0,0.0,0.0,1.0,8.0,8.0,1.0,-0.0,0.0,1.0,0.015625,0.0,0.0,2.0,1.0,0.9960556773879142,0.003944322612085771,511.99973785613423,0.0,1.0,1.0,0.35,0.04674660340091811,0.0078125,0.9921875,0.007782457425379967,0.0003652078390696727,0.0
q3_radius1,q3r1_s1_0048,q3r1_s1_0002,stratum_null_q3r1_s1_0048,S1_random_unbiased,two_cell_active,0.9980354532163743,1.0,0.01359180398688875,0.0,0.0,1.0,1.0,1.0,4.0,4.0,2.0,-0.0,0.0,1.0,0.0078125,0.0,-0.03125,1.0,0.0,0.9980354532163743,0.001964546783625676,0.0,1.0,1.0,1.0,1.0,0.01359180398688875,0.0,1.0,0.003875968992248062,0.0,0.0
q3_radius1,q3r1_s1_0048,q3r1_s1_0002,stratum_null_q3r1_s1_0048,S1_random_unbiased,short_random_active_block,0.9933701900013706,0.995147705078125,0.08307789354852317,0.0,0.0,0.046875,0.046875,0.9921875,188.625,516.0,6.0,3.716071404342915,0.3515625,0.999725341796875,1.0078125,0.000274658203125,-0.00146484375,2.0,0.7421875,0.9933701900013706,0.006629809998629388,200.45103129297627,0.046875,0.9921875,0.9921875,0.37773437499999996,0.08307789354852317,0.0177001953125,0.9822998046875,0.005300940723680138,0.0014704949419599438,0.00012662621450931582
q3_radius1,q3r1_s1_0048,q3r1_s1_0002,stratum_null_q3r1_s1_0048,S1_random_unbiased,periodic_background_perturbation,0.9915826213754874,0.993011474609375,0.09341253397449717,0.0,0.0,0.0,0.0,0.9921875,71.21875,516.0,2.0,1.3225867490568899,0.125,0.99969482421875,1.0078125,0.00030517578125,0.0,2.0,1.0,0.9915826213754874,0.00841737862451264,274.268914128172,0.0,0.9921875,0.9921875,0.34726562499999997,0.09341253397449717,0.017730712890625,0.982269287109375,0.004440526230840733,0.0016562708202875628,0.0001988081058671514
q3_radius1,q3r1_s1_0002_left_right_symmetrized_rule,q3r1_s1_0002,left_right_symmetrized_rule,left_right_symmetrized_rule,random_uniform,0.5000938727841739,0.4130859375,0.7964482962182411,0.0,0.0,0.0,0.0,1.0,502.4375,516.0,2.0,2.7345000637213683,1.0,0.995635986328125,1.0078125,0.004364013671875,0.0,2.0,1.0,0.5000938727841739,0.49990612721582606,4.564950908861351,0.0,1.0,0.9765625,0.341796875,0.7964482962182411,0.153411865234375,0.846588134765625,0.1762642096883108,0.12218461868558038,0.002510439815451026
q3_radius1,q3r1_s1_0002_left_right_symmetrized_rule,q3r1_s1_0002,left_right_symmetrized_rule,left_right_symmetrized_rule,sparse_active_010,0.5000303391127559,0.891754150390625,0.7587289212008058,0.0,0.0,0.0,0.0,1.0,515.03125,516.0,13.0,5.234054251877605,1.0,1.0,1.0078125,0.0,0.0,2.0,1.0,0.5000303391127559,0.49996966088724415,2.5263810297891918,0.0,1.0,1.0,0.35,0.7587289212008058,0.081939697265625,0.918060302734375,0.05394707940029554,0.062170018109868275,0.0
