space,rule_id,parent_rule_id,control_type,stratum,q,radius,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,raw_persistence_score,future_distinct_descendant_count,future_distinct_ratio,post_perturbation_survival_rate,collapse_rate,explosion_rate
q3_radius1,q3r1_s1_0002,q3r1_s1_0002,raw,S1_random_unbiased,3,1,0.5174625984177021,0.4207878112792969,0.7725841133509919,0.0,0.0,0.0,0.0,0.0,207.97265625,289.0,2.125,2.601070254204027,0.998046875,0.7233161926269531,0.564453125,0.36167144775390625,-0.0068206787109375,0.0,1.0,0.5174625984177021,0.48253740158229774,18.843804910831327,0.0,0.0,0.0146484375,0.005126953125,0.7725841133509919,0.19386672973632812,0.8061332702636719,0.1697402807659979,0.16009444736444187,0.1695007200438306,64.0,1.0,1.0,0.0,0.0
q3_radius1,q3r1_s2_0046,q3r1_s2_0046,raw,S2_quiescent_preserving,3,1,0.5982557672273812,0.6923370361328125,0.8525417628141284,0.0,0.0,0.0,0.0,0.0,507.1328125,513.5,3.0,2.7051283197121894,1.0,0.5976943969726562,1.0029296875,0.550445556640625,0.011402130126953125,0.0,1.0,0.5982557672273812,0.40174423277261895,122.0208833078797,0.0,0.0,0.0,0.0,0.8525417628141284,0.5588722229003906,0.4411277770996094,0.29713118499990954,0.4799613787716342,0.1698192770303856,64.0,1.0,1.0,0.0,0.0
q3_radius1,q3r1_s3_0020,q3r1_s3_0020,raw,S3_sparse_active_preserving,3,1,0.2888853285047743,0.3501091003417969,0.6916358590645151,0.0,0.0,0.0,0.0,0.0,133.8671875,202.5,2.0,2.057990612517853,1.0,0.651336669921875,0.3955078125,0.3725395202636719,-0.000274658203125,0.0,1.0,0.2888853285047743,0.7111146714952257,26.471838571768195,0.0,0.0,0.001953125,0.00068359375,0.6916358590645151,0.38959503173828125,0.6104049682617188,0.4586165695476721,0.281914474263907,0.14248632103270137,63.0,0.984375,1.0,0.0,0.0
q3_radius1,q3r1_s3_0047,q3r1_s3_0047,raw,S3_sparse_active_preserving,3,1,0.33060284292953523,0.4194183349609375,0.6603499270100442,0.0,0.0,0.0,0.0,0.0,398.4921875,431.5,1.75,1.4947092212506126,1.0,0.65509033203125,0.8427734375,0.3735008239746094,-0.00041961669921875,0.0,1.0,0.33060284292953523,0.6693971570704649,250000010.32775584,0.0,0.0,0.333984375,0.11689453124999999,0.6603499270100442,0.4561500549316406,0.5438499450683594,0.5863079408607759,0.39708774489595244,0.08401100555449421,64.0,1.0,1.0,0.0,0.0
q3_radius1,q3r1_s4_0014,q3r1_s4_0014,raw,S4_neighbor_dependent,3,1,0.915526406806812,0.9721107482910156,0.5094468674352411,0.0,0.0,0.0,0.0,0.0029296875,307.46875,387.0,5.25,2.924065173235525,0.8837890625,0.8862419128417969,0.755859375,0.158843994140625,-0.02495574951171875,0.0,0.912109375,0.915526406806812,0.08447359319318803,125000177.8889498,0.0,0.0029296875,0.431640625,0.15107421875,0.5094468674352411,0.16651153564453125,0.8334884643554688,0.038687773704218234,0.09856711855180098,0.0667148695683811,64.0,1.0,1.0,0.0,1.0
q3_radius1,q3r1_s5_0012,q3r1_s5_0012,raw,S5_asymmetric_neighbor_dependent,3,1,0.3369239598919309,0.34308624267578125,0.5685087365021004,0.0,0.0,0.0,0.0,0.0,389.50390625,417.0,2.75,1.2954429756021717,1.0,0.7360420227050781,0.814453125,0.28973388671875,-0.00051116943359375,0.0,1.0,0.3369239598919309,0.6630760401080691,375000012.0938942,0.0,0.0,0.55859375,0.1955078125,0.5685087365021004,0.3431816101074219,0.6568183898925781,0.32354132801863855,0.30440805733702053,0.06647088771938299,64.0,1.0,1.0,0.0,0.0
q3_radius1,q3r1_s5_0016,q3r1_s5_0016,raw,S5_asymmetric_neighbor_dependent,3,1,0.8279342353924906,0.9461288452148438,0.9282682532688364,0.0,0.0,0.0,0.0,0.2802734375,515.8984375,516.0,3.375,3.8804946846740194,1.0,0.7701568603515625,1.0078125,0.23612594604492188,-0.00038909912109375,0.75,1.0,0.8279342353924906,0.17206576460750944,145.56641566218516,0.0,0.2802734375,0.03515625,0.012304687499999998,0.9282682532688364,0.10697174072265625,0.8930282592773438,0.15734015961510994,0.0991281394675356,0.14991924303024015,64.0,1.0,1.0,0.0,0.0
q3_radius1,q3r1_s7_0000,q3r1_s7_0000,raw,S7_symmetric_control,3,1,0.5620094804968285,0.6006851196289062,0.9359071194458173,0.0,0.0,0.0,0.0078125,0.978515625,515.4765625,516.0,2.5,0.8226607175105536,1.0,0.9605255126953125,1.0078125,0.040073394775390625,-0.0001678466796875,12.25,1.0,0.5620094804968285,0.43799051950317147,375000045.9947363,0.0078125,0.978515625,0.5966796875,0.213916015625,0.9359071194458173,0.7919540405273438,0.20804595947265625,0.5209049219362155,0.7349979709476219,0.008009712269340887,64.0,1.0,1.0,0.0,0.0
q3_radius1,q3r1_s7_0001,q3r1_s7_0001,raw,S7_symmetric_control,3,1,0.7461635150872244,0.7901039123535156,0.3641749419364612,0.125,0.125,0.0,0.98046875,0.990234375,327.05859375,358.5,5.5,2.15326127685039,0.99609375,0.9979209899902344,0.7001953125,0.002193450927734375,-0.004405975341796875,1.0,0.8603515625,0.7461635150872244,0.25383648491277566,250000048.71387333,0.98046875,0.990234375,0.994140625,0.98525390625,0.3641749419364612,0.1700439453125,0.8299560546875,0.14415096706919028,0.0816779347289375,0.00010764713897783279,64.0,1.0,1.0,0.0,0.09375
q3_radius1,q3r1_s7_0002,q3r1_s7_0002,raw,S7_symmetric_control,3,1,0.7985406767787524,0.8769302368164062,0.4524931934204822,0.0,0.0,0.0,0.33984375,0.337890625,386.83203125,418.0,2.25,2.2795716623479674,1.0,0.8570632934570312,0.81640625,0.15921783447265625,-0.01531982421875,0.25,0.66015625,0.7985406767787524,0.20145932322124757,13.561137793391202,0.33984375,0.337890625,0.4482421875,0.377783203125,0.4524931934204822,0.2431182861328125,0.7568817138671875,0.18875526124446895,0.12107600434901211,0.07741534246133172,64.0,1.0,1.0,0.0,0.03125
