rule_id,composition_adjusted_delta,composition_emission_only_flag,dominant_interaction_outcome,reclassification
q3g3_s1_00009,0.0,False,chaotic_explosion,symmetric_fakeout
q3g3_s1_00013,-0.5,True,emission,symmetric_fakeout
q3g3_s1_00018,-0.5,True,emission,self_persistence_fakeout
q3g3_s1_00026,0.5,False,new_motif,generic_persistence
q3g3_s1_00030,0.0,False,chaotic_explosion,control_adjusted_positive
q3g3_s1_00043,0.0,True,emission,emission_only
q3g3_s1_00045,0.0,False,chaotic_explosion,output_distribution_fakeout
q3g3_s1_00105,-0.5,False,chaotic_explosion,symmetric_fakeout
q3g3_s1_00108,0.0,False,collapse,control_adjusted_positive
q3g3_s1_00110,0.0,True,emission,generic_persistence
q3g3_s1_00114,0.0,True,emission,self_persistence_fakeout
q3g3_s1_00117,0.0,True,emission,self_persistence_fakeout
q3g3_s1_00122,-0.5,False,chaotic_explosion,control_adjusted_positive
q3g3_s1_00123,-0.5,True,emission,self_persistence_fakeout
q3g3_s1_00133,0.0,False,pass_through,generic_persistence
q3g3_s1_00162,-0.5,False,chaotic_explosion,symmetric_fakeout
q3g3_s1_00164,-0.5,True,emission,output_distribution_fakeout
q3g3_s1_00175,-0.5,True,emission,generic_persistence
q3g3_s1_00214,0.0,True,emission,symmetric_fakeout
q3g3_s1_00216,0.0,True,emission,generic_persistence
q3g3_s1_00237,0.0,False,chaotic_explosion,output_distribution_fakeout
q3g3_s2_00000,0.0,True,emission,generic_persistence
q3g3_s2_00001,0.33333333333333337,False,new_motif,generic_persistence
q3g3_s2_00007,1.0,False,pass_through,symmetric_fakeout
q3g3_s2_00009,0.0,False,emission,generic_persistence
q3g3_s2_00014,0.0,False,chaotic_explosion,self_persistence_fakeout
q3g3_s2_00025,-0.5,False,pass_through,symmetric_fakeout
q3g3_s2_00027,0.0,True,emission,emission_only
q3g3_s2_00028,-0.5,True,emission,self_persistence_fakeout
q3g3_s2_00032,0.0,False,emission,generic_persistence
q3g3_s2_00042,0.0,True,emission,self_persistence_fakeout
q3g3_s2_00075,-0.5,True,emission,generic_persistence
q3g3_s2_00078,-0.5,True,emission,emission_only
q3g3_s2_00096,0.0,True,emission,self_persistence_fakeout
q3g3_s2_00161,0.0,True,emission,symmetric_fakeout
q3g3_s2_00165,-0.5,False,pass_through,output_distribution_fakeout
q3g3_s2_00167,0.0,True,emission,emission_only
q3g3_s2_00173,0.0,True,emission,self_persistence_fakeout
q3g3_s2_00177,0.0,True,emission,symmetric_fakeout
q3g3_s2_00186,-0.5,True,emission,generic_persistence
q3g3_s2_00198,-0.5,True,emission,emission_only
q3g3_s2_00220,1.0,False,emission,output_distribution_fakeout
q3g3_s3_00030,0.0,True,emission,generic_persistence
q3g3_s3_00036,0.0,True,emission,self_persistence_fakeout
q3g3_s3_00043,0.0,True,emission,self_persistence_fakeout
q3g3_s3_00056,0.0,True,emission,self_persistence_fakeout
q3g3_s3_00060,0.0,True,emission,self_persistence_fakeout
q3g3_s3_00073,0.0,False,pass_through,output_distribution_fakeout
q3g3_s3_00075,-0.5,True,emission,emission_only
q3g3_s3_00084,0.0,True,emission,generic_persistence
q3g3_s3_00085,0.0,False,pass_through,self_persistence_fakeout
q3g3_s3_00090,0.0,True,emission,emission_only
q3g3_s3_00096,0.0,False,collapse,generic_persistence
q3g3_s3_00181,0.33333333333333337,False,new_motif,control_adjusted_positive
q3g3_s3_00193,0.0,True,emission,emission_only
q3g3_s3_00213,-0.5,True,emission,generic_persistence
q3g3_s3_00214,0.0,False,pass_through,self_persistence_fakeout
q3g3_s3_00223,0.0,True,emission,symmetric_fakeout
q3g3_s3_00226,0.0,True,emission,self_persistence_fakeout
q3g3_s3_00229,-0.5,True,emission,output_distribution_fakeout
q3g3_s3_00244,-0.5,True,emission,generic_persistence
q3g3_s3_00249,-0.5,True,emission,symmetric_fakeout
q3g3_s4_00004,1.0,False,emission,generic_persistence
q3g3_s4_00017,0.0,False,pass_through,control_adjusted_positive
q3g3_s4_00024,-0.5,True,emission,emission_only
q3g3_s4_00040,-0.5,False,pass_through,control_adjusted_positive
q3g3_s4_00043,-0.5,True,emission,generic_persistence
q3g3_s4_00050,0.0,True,emission,symmetric_fakeout
q3g3_s4_00054,0.0,True,emission,self_persistence_fakeout
q3g3_s4_00058,0.0,False,chaotic_explosion,symmetric_fakeout
q3g3_s4_00068,0.0,False,pass_through,control_adjusted_positive
q3g3_s4_00069,0.0,True,emission,emission_only
q3g3_s4_00081,-0.5,False,pass_through,output_distribution_fakeout
q3g3_s4_00100,0.0,False,pass_through,output_distribution_fakeout
q3g3_s4_00104,-0.5,True,emission,emission_only
q3g3_s4_00127,-0.5,True,emission,self_persistence_fakeout
q3g3_s4_00147,0.5,False,pass_through,control_adjusted_positive
q3g3_s4_00148,0.0,False,chaotic_explosion,self_persistence_fakeout
q3g3_s4_00153,0.0,True,emission,emission_only
q3g3_s4_00158,-0.5,True,emission,self_persistence_fakeout
q3g3_s4_00162,0.0,False,chaotic_explosion,self_persistence_fakeout
q3g3_s4_00182,0.0,True,emission,emission_only
q3g3_s4_00210,-0.5,True,emission,generic_persistence
q3g3_s4_00223,0.0,True,emission,symmetric_fakeout
q3g3_s4_00224,0.0,True,emission,output_distribution_fakeout
q3g3_s4_00232,0.0,True,emission,generic_persistence
q3g3_s4_00239,0.0,True,emission,self_persistence_fakeout
q3g3_s5_00015,-0.5,True,emission,symmetric_fakeout
q3g3_s5_00020,-0.5,True,emission,self_persistence_fakeout
q3g3_s5_00060,-0.3333333333333333,False,chaotic_explosion,generic_persistence
q3g3_s5_00065,-0.5,True,emission,self_persistence_fakeout
q3g3_s5_00075,-0.5,True,emission,emission_only
q3g3_s5_00078,-0.5,True,emission,emission_only
q3g3_s5_00090,-0.5,True,emission,self_persistence_fakeout
q3g3_s5_00114,0.0,True,emission,emission_only
q3g3_s5_00115,0.0,True,emission,self_persistence_fakeout
q3g3_s5_00126,1.0,False,chaotic_explosion,generic_persistence
q3g3_s5_00143,-0.5,True,emission,self_persistence_fakeout
q3g3_s5_00176,0.0,True,emission,self_persistence_fakeout
q3g3_s5_00183,1.0,False,emission,output_distribution_fakeout
q3g3_s5_00199,0.0,True,emission,self_persistence_fakeout
q3g3_s5_00204,-0.5,True,emission,emission_only
q3g3_s5_00214,1.0,False,pass_through,self_persistence_fakeout
q3g3_s5_00221,-0.5,True,emission,generic_persistence
q3g3_s5_00233,0.0,False,emission,output_distribution_fakeout
q3g3_s5_00244,0.0,True,emission,emission_only
q3g3_s5_00264,0.0,True,emission,emission_only
q3g3_s5_00286,-0.6666666666666666,True,emission,symmetric_fakeout
q3g3_s5_00296,0.5,False,emission,output_distribution_fakeout
q3g3_s5_00334,-0.5,True,emission,output_distribution_fakeout
q3g3_s5_00343,1.0,False,emission,output_distribution_fakeout
q3g3_s5_00351,-0.5,True,emission,self_persistence_fakeout
q3g3_s6_00058,-0.3333333333333333,True,emission,self_persistence_fakeout
q3g3_s6_00123,0.0,False,pass_through,self_persistence_fakeout
q3g3_s6_00140,0.0,True,emission,output_distribution_fakeout
q3g3_s6_00149,1.0,False,emission,self_persistence_fakeout
q3g3_s6_00302,1.0,False,new_motif,generic_persistence
q3g3_s6_00313,-0.5,True,emission,output_distribution_fakeout
q3g3_s6_00356,1.0,False,emission,generic_persistence
