space,parent_rule_id,control_rule_id,control_type,q,radius,table_digest
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_center_only_projection,center_only_projection,3,1,beb57e34cd3c
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_neighbor_removed,left_neighbor_removed,3,1,b986304f35d8
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_right_neighbor_removed,right_neighbor_removed,3,1,0b3e8aaac54e
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_right_symmetrized_rule,left_right_symmetrized_rule,3,1,956e20564dd6
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_symbol_phase_only,symbol_phase_only,3,1,38b4aa418393
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_output_histogram_random,output_distribution_matched_random,3,1,e39916eae435
q3_radius1,q3g3_s1_00009,q3g3_s1_00026,stratum_null_q3g3_s1_00026,3,1,327bdc4aa7db
q3_radius1,q3g3_s1_00009,q3g3_s1_00018,stratum_null_q3g3_s1_00018,3,1,2a020a5f813b
q3_radius1,q3g3_s1_00009,q3g3_s1_00195,stratum_null_q3g3_s1_00195,3,1,e092295c4218
q3_radius1,q3g3_s1_00009,q3g3_s1_00083,stratum_null_q3g3_s1_00083,3,1,9c18dfc4527a
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_center_only_projection,center_only_projection,3,1,b439e9c97c1b
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_neighbor_removed,left_neighbor_removed,3,1,05e4a99bd078
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_right_neighbor_removed,right_neighbor_removed,3,1,23ad4859a201
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_left_right_symmetrized_rule,left_right_symmetrized_rule,3,1,66cbe13ef4e9
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_symbol_phase_only,symbol_phase_only,3,1,f7dfab9e6466
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_output_histogram_random,output_distribution_matched_random,3,1,4a59330ffdf4
q3_radius1,q3g3_s1_00013,q3g3_s1_00197,stratum_null_q3g3_s1_00197,3,1,bfbb29c33bb1
q3_radius1,q3g3_s1_00013,q3g3_s1_00112,stratum_null_q3g3_s1_00112,3,1,ae4735234e3f
q3_radius1,q3g3_s1_00013,q3g3_s1_00085,stratum_null_q3g3_s1_00085,3,1,52e86a3b8400
q3_radius1,q3g3_s1_00013,q3g3_s1_00011,stratum_null_q3g3_s1_00011,3,1,f531efcfc690
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_center_only_projection,center_only_projection,3,1,7817dd55de54
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_left_neighbor_removed,left_neighbor_removed,3,1,1f5ec31554e3
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_right_neighbor_removed,right_neighbor_removed,3,1,b1412d9b3cf8
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_left_right_symmetrized_rule,left_right_symmetrized_rule,3,1,f978f59395e9
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_symbol_phase_only,symbol_phase_only,3,1,0ebe967c16f0
q3_radius1,q3g3_s1_00018,q3g3_s1_00018_output_histogram_random,output_distribution_matched_random,3,1,e67d8c3befed
q3_radius1,q3g3_s1_00018,q3g3_s1_00026,stratum_null_q3g3_s1_00026,3,1,327bdc4aa7db
q3_radius1,q3g3_s1_00018,q3g3_s1_00009,stratum_null_q3g3_s1_00009,3,1,71507aecce77
q3_radius1,q3g3_s1_00018,q3g3_s1_00195,stratum_null_q3g3_s1_00195,3,1,e092295c4218
q3_radius1,q3g3_s1_00018,q3g3_s1_00083,stratum_null_q3g3_s1_00083,3,1,9c18dfc4527a
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_center_only_projection,center_only_projection,3,1,6cfe45459e29
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_left_neighbor_removed,left_neighbor_removed,3,1,82f4ba29e027
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_right_neighbor_removed,right_neighbor_removed,3,1,e05c0b81df1b
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_left_right_symmetrized_rule,left_right_symmetrized_rule,3,1,768d20f56ac9
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_symbol_phase_only,symbol_phase_only,3,1,ae7ed716f8ef
q3_radius1,q3g3_s1_00026,q3g3_s1_00026_output_histogram_random,output_distribution_matched_random,3,1,b2eba952b98f
q3_radius1,q3g3_s1_00026,q3g3_s1_00018,stratum_null_q3g3_s1_00018,3,1,2a020a5f813b
q3_radius1,q3g3_s1_00026,q3g3_s1_00009,stratum_null_q3g3_s1_00009,3,1,71507aecce77
q3_radius1,q3g3_s1_00026,q3g3_s1_00195,stratum_null_q3g3_s1_00195,3,1,e092295c4218
q3_radius1,q3g3_s1_00026,q3g3_s1_00083,stratum_null_q3g3_s1_00083,3,1,9c18dfc4527a
q3_radius1,q3g3_s1_00030,q3g3_s1_00030_center_only_projection,center_only_projection,3,1,c4b363c1b925
q3_radius1,q3g3_s1_00030,q3g3_s1_00030_left_neighbor_removed,left_neighbor_removed,3,1,a911386f337f
