rule_id,stratum,target_role,reclassification
q3g3_s1_00009,S1_random_unbiased,candidate,symmetric_fakeout
q3g3_s1_00013,S1_random_unbiased,candidate,symmetric_fakeout
q3g3_s1_00018,S1_random_unbiased,candidate,self_persistence_fakeout
q3g3_s1_00026,S1_random_unbiased,candidate,generic_persistence
q3g3_s1_00030,S1_random_unbiased,candidate,control_adjusted_positive
q3g3_s1_00043,S1_random_unbiased,candidate,emission_only
q3g3_s1_00045,S1_random_unbiased,candidate,output_distribution_fakeout
q3g3_s1_00105,S1_random_unbiased,candidate,symmetric_fakeout
q3g3_s1_00108,S1_random_unbiased,candidate,control_adjusted_positive
q3g3_s1_00110,S1_random_unbiased,candidate,generic_persistence
q3g3_s1_00114,S1_random_unbiased,candidate,self_persistence_fakeout
q3g3_s1_00117,S1_random_unbiased,candidate,self_persistence_fakeout
q3g3_s1_00122,S1_random_unbiased,candidate,control_adjusted_positive
q3g3_s1_00123,S1_random_unbiased,candidate,self_persistence_fakeout
q3g3_s1_00133,S1_random_unbiased,candidate,generic_persistence
q3g3_s1_00162,S1_random_unbiased,candidate,symmetric_fakeout
q3g3_s1_00164,S1_random_unbiased,candidate,output_distribution_fakeout
q3g3_s1_00175,S1_random_unbiased,candidate,generic_persistence
q3g3_s1_00214,S1_random_unbiased,candidate,symmetric_fakeout
q3g3_s1_00216,S1_random_unbiased,candidate,generic_persistence
q3g3_s1_00237,S1_random_unbiased,candidate,output_distribution_fakeout
q3g3_s2_00000,S2_quiescent_preserving,candidate,generic_persistence
q3g3_s2_00001,S2_quiescent_preserving,candidate,generic_persistence
q3g3_s2_00007,S2_quiescent_preserving,candidate,symmetric_fakeout
q3g3_s2_00009,S2_quiescent_preserving,candidate,generic_persistence
q3g3_s2_00014,S2_quiescent_preserving,candidate,self_persistence_fakeout
q3g3_s2_00025,S2_quiescent_preserving,candidate,symmetric_fakeout
q3g3_s2_00027,S2_quiescent_preserving,candidate,emission_only
q3g3_s2_00028,S2_quiescent_preserving,candidate,self_persistence_fakeout
q3g3_s2_00032,S2_quiescent_preserving,candidate,generic_persistence
q3g3_s2_00042,S2_quiescent_preserving,candidate,self_persistence_fakeout
q3g3_s2_00075,S2_quiescent_preserving,candidate,generic_persistence
q3g3_s2_00078,S2_quiescent_preserving,candidate,emission_only
q3g3_s2_00096,S2_quiescent_preserving,candidate,self_persistence_fakeout
q3g3_s2_00161,S2_quiescent_preserving,candidate,symmetric_fakeout
q3g3_s2_00165,S2_quiescent_preserving,candidate,output_distribution_fakeout
q3g3_s2_00167,S2_quiescent_preserving,candidate,emission_only
q3g3_s2_00173,S2_quiescent_preserving,candidate,self_persistence_fakeout
q3g3_s2_00177,S2_quiescent_preserving,candidate,symmetric_fakeout
q3g3_s2_00186,S2_quiescent_preserving,candidate,generic_persistence
q3g3_s2_00198,S2_quiescent_preserving,candidate,emission_only
q3g3_s2_00220,S2_quiescent_preserving,candidate,output_distribution_fakeout
q3g3_s3_00030,S3_sparse_active_preserving,candidate,generic_persistence
q3g3_s3_00036,S3_sparse_active_preserving,candidate,self_persistence_fakeout
q3g3_s3_00043,S3_sparse_active_preserving,candidate,self_persistence_fakeout
q3g3_s3_00056,S3_sparse_active_preserving,candidate,self_persistence_fakeout
q3g3_s3_00060,S3_sparse_active_preserving,candidate,self_persistence_fakeout
q3g3_s3_00073,S3_sparse_active_preserving,candidate,output_distribution_fakeout
q3g3_s3_00075,S3_sparse_active_preserving,candidate,emission_only
q3g3_s3_00084,S3_sparse_active_preserving,candidate,generic_persistence
q3g3_s3_00085,S3_sparse_active_preserving,candidate,self_persistence_fakeout
q3g3_s3_00090,S3_sparse_active_preserving,candidate,emission_only
q3g3_s3_00096,S3_sparse_active_preserving,candidate,generic_persistence
q3g3_s3_00181,S3_sparse_active_preserving,candidate,control_adjusted_positive
q3g3_s3_00193,S3_sparse_active_preserving,candidate,emission_only
q3g3_s3_00213,S3_sparse_active_preserving,candidate,generic_persistence
q3g3_s3_00214,S3_sparse_active_preserving,candidate,self_persistence_fakeout
q3g3_s3_00223,S3_sparse_active_preserving,candidate,symmetric_fakeout
q3g3_s3_00226,S3_sparse_active_preserving,candidate,self_persistence_fakeout
q3g3_s3_00229,S3_sparse_active_preserving,candidate,output_distribution_fakeout
q3g3_s3_00244,S3_sparse_active_preserving,candidate,generic_persistence
q3g3_s3_00249,S3_sparse_active_preserving,candidate,symmetric_fakeout
q3g3_s4_00004,S4_neighbor_dependent,candidate,generic_persistence
q3g3_s4_00017,S4_neighbor_dependent,candidate,control_adjusted_positive
q3g3_s4_00024,S4_neighbor_dependent,candidate,emission_only
q3g3_s4_00040,S4_neighbor_dependent,candidate,control_adjusted_positive
q3g3_s4_00043,S4_neighbor_dependent,candidate,generic_persistence
q3g3_s4_00050,S4_neighbor_dependent,candidate,symmetric_fakeout
q3g3_s4_00054,S4_neighbor_dependent,candidate,self_persistence_fakeout
q3g3_s4_00058,S4_neighbor_dependent,candidate,symmetric_fakeout
q3g3_s4_00068,S4_neighbor_dependent,candidate,control_adjusted_positive
q3g3_s4_00069,S4_neighbor_dependent,candidate,emission_only
q3g3_s4_00081,S4_neighbor_dependent,candidate,output_distribution_fakeout
q3g3_s4_00100,S4_neighbor_dependent,candidate,output_distribution_fakeout
q3g3_s4_00104,S4_neighbor_dependent,candidate,emission_only
q3g3_s4_00127,S4_neighbor_dependent,candidate,self_persistence_fakeout
q3g3_s4_00147,S4_neighbor_dependent,candidate,control_adjusted_positive
q3g3_s4_00148,S4_neighbor_dependent,candidate,self_persistence_fakeout
q3g3_s4_00153,S4_neighbor_dependent,candidate,emission_only
q3g3_s4_00158,S4_neighbor_dependent,candidate,self_persistence_fakeout
q3g3_s4_00162,S4_neighbor_dependent,candidate,self_persistence_fakeout
q3g3_s4_00182,S4_neighbor_dependent,candidate,emission_only
q3g3_s4_00210,S4_neighbor_dependent,candidate,generic_persistence
q3g3_s4_00223,S4_neighbor_dependent,candidate,symmetric_fakeout
q3g3_s4_00224,S4_neighbor_dependent,candidate,output_distribution_fakeout
q3g3_s4_00232,S4_neighbor_dependent,candidate,generic_persistence
q3g3_s4_00239,S4_neighbor_dependent,candidate,self_persistence_fakeout
q3g3_s5_00015,S5_asymmetric_neighbor_dependent,candidate,symmetric_fakeout
q3g3_s5_00020,S5_asymmetric_neighbor_dependent,candidate,self_persistence_fakeout
q3g3_s5_00060,S5_asymmetric_neighbor_dependent,candidate,generic_persistence
q3g3_s5_00065,S5_asymmetric_neighbor_dependent,candidate,self_persistence_fakeout
q3g3_s5_00075,S5_asymmetric_neighbor_dependent,candidate,emission_only
q3g3_s5_00078,S5_asymmetric_neighbor_dependent,candidate,emission_only
q3g3_s5_00090,S5_asymmetric_neighbor_dependent,candidate,self_persistence_fakeout
q3g3_s5_00114,S5_asymmetric_neighbor_dependent,candidate,emission_only
q3g3_s5_00115,S5_asymmetric_neighbor_dependent,candidate,self_persistence_fakeout
q3g3_s5_00126,S5_asymmetric_neighbor_dependent,candidate,generic_persistence
q3g3_s5_00143,S5_asymmetric_neighbor_dependent,candidate,self_persistence_fakeout
q3g3_s5_00176,S5_asymmetric_neighbor_dependent,candidate,self_persistence_fakeout
q3g3_s5_00183,S5_asymmetric_neighbor_dependent,candidate,output_distribution_fakeout
q3g3_s5_00199,S5_asymmetric_neighbor_dependent,candidate,self_persistence_fakeout
q3g3_s5_00204,S5_asymmetric_neighbor_dependent,candidate,emission_only
q3g3_s5_00214,S5_asymmetric_neighbor_dependent,candidate,self_persistence_fakeout
q3g3_s5_00221,S5_asymmetric_neighbor_dependent,candidate,generic_persistence
