dominant_interaction_outcome,composition_emission_only_flag,reclassification,rule_count
emission,True,symmetric_fakeout,54
emission,True,self_persistence_fakeout,27
emission,True,emission_only,21
pass_through,False,self_persistence_fakeout,18
emission,True,generic_persistence,15
collapse,False,symmetric_fakeout,14
chaotic_explosion,False,symmetric_fakeout,11
pass_through,False,symmetric_fakeout,11
emission,False,symmetric_fakeout,7
emission,True,output_distribution_fakeout,6
emission,False,output_distribution_fakeout,5
pass_through,False,output_distribution_fakeout,4
pass_through,False,control_adjusted_positive,4
emission,False,generic_persistence,4
chaotic_explosion,False,self_persistence_fakeout,4
chaotic_explosion,False,generic_persistence,3
chaotic_explosion,False,output_distribution_fakeout,3
new_motif,False,generic_persistence,3
emission,False,self_persistence_fakeout,2
chaotic_explosion,False,control_adjusted_positive,2
new_motif,False,control_adjusted_positive,2
new_motif,False,self_persistence_fakeout,2
collapse,False,generic_persistence,1
collapse,False,control_adjusted_positive,1
pass_through,False,generic_persistence,1
