rule_id,best_birth_condition,best_ic_persistence,worst_death_condition,worst_ic_persistence,motif_family,dominant_interaction_outcome,collapse_rate,explosion_rate,death_mode_proxy
q3g3_s1_00009,sparse_active_010,0.1535114935783664,single_active_1,0.0298705325578787,local_phase_or_self_fakeout,chaotic_explosion,0.0,0.9375,explosion
q3g3_s1_00013,random_uniform,0.002448120894542,sparse_active_010,0.0,symmetric_control_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s1_00018,random_uniform,0.0,random_uniform,0.0,regular_life_like_discovery,emission,0.0,0.0,loss_of_persistence
q3g3_s1_00026,random_uniform,0.1042783253797719,single_active_1,0.0,composition_without_validation,new_motif,0.0,0.0,loss_of_persistence
q3g3_s1_00030,random_uniform,0.1945852644063573,sparse_active_010,0.1456693405379789,validation_weak_persistence,chaotic_explosion,0.0,0.171875,weak_or_unclear
q3g3_s1_00043,two_cell_active,0.2016952166809682,periodic_background_perturbation,0.1368550936797703,near_validation_pra,emission,0.0,0.0,weak_or_unclear
q3g3_s1_00045,periodic_background_perturbation,0.0685726332824446,random_uniform,0.0,local_phase_or_self_fakeout,chaotic_explosion,0.0,1.0,explosion
q3g3_s1_00105,random_uniform,0.0404507676173708,single_active_1,0.0,regular_life_like_discovery,chaotic_explosion,0.0,1.0,explosion
q3g3_s1_00108,sparse_active_025,0.2380833974572258,single_active_1,0.0,validation_strong_persistence,collapse,0.0625,0.0,loss_of_persistence
q3g3_s1_00110,single_active_1,0.1696800298179826,single_active_2,0.0,fragile_or_inconclusive,emission,0.0,0.0,loss_of_persistence
q3g3_s1_00114,single_active_2,0.2293769045113212,sparse_active_010,0.1429689533151853,local_phase_or_self_fakeout,emission,0.0,0.0,weak_or_unclear
q3g3_s1_00117,short_random_active_block,0.2137628312922893,random_uniform,0.1572989638205854,local_phase_or_self_fakeout,emission,0.0,0.0625,weak_or_unclear
q3g3_s1_00122,periodic_background_perturbation,0.3857210103840279,single_active_2,0.0,validation_strong_persistence,chaotic_explosion,0.0,0.25,loss_of_persistence
q3g3_s1_00123,single_active_2,0.2345429737395532,periodic_background_perturbation,0.1899565563432509,local_phase_or_self_fakeout,emission,0.0,0.0,weak_or_unclear
q3g3_s1_00133,sparse_active_010,0.1643279198491437,single_active_1,0.0050136175284437,fragile_or_inconclusive,pass_through,0.0,0.0,weak_or_unclear
q3g3_s1_00162,sparse_active_010,0.0754247399510701,single_active_2,0.0,symmetric_control_fakeout,chaotic_explosion,0.0,1.0,explosion
q3g3_s1_00164,periodic_background_perturbation,0.0414873528021942,random_uniform,0.0,regular_life_like_discovery,emission,0.0,0.0,loss_of_persistence
q3g3_s1_00175,periodic_background_perturbation,0.2151596142506919,single_active_2,0.0,local_phase_or_self_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s1_00214,random_uniform,0.0132634310259615,sparse_active_010,0.0,local_phase_or_self_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s1_00216,two_cell_active,0.205186968662533,single_active_2,0.0472728117562924,fragile_or_inconclusive,emission,0.0,0.28125,weak_or_unclear
q3g3_s1_00237,periodic_background_perturbation,0.0182629950933179,random_uniform,0.0,local_phase_or_self_fakeout,chaotic_explosion,0.0,1.0,explosion
q3g3_s2_00000,sparse_active_010,0.1820694772808653,single_active_1,0.0374314662764057,local_phase_or_self_fakeout,emission,0.0,0.0,weak_or_unclear
q3g3_s2_00001,sparse_active_025,0.2078150616841508,single_active_2,0.0,composition_without_validation,new_motif,0.0,0.0,loss_of_persistence
q3g3_s2_00007,two_cell_active,0.1598900893181626,single_active_2,0.0,composition_without_validation,pass_through,0.0,0.0,loss_of_persistence
q3g3_s2_00009,periodic_background_perturbation,0.1137735985802901,two_cell_active,0.0,fragile_or_inconclusive,emission,0.0,0.0,loss_of_persistence
q3g3_s2_00014,single_active_2,0.2494294394195912,periodic_background_perturbation,0.1319110939440483,local_phase_or_self_fakeout,chaotic_explosion,0.0,0.046875,weak_or_unclear
q3g3_s2_00025,short_random_active_block,0.0027006247768769,sparse_active_025,0.0,local_phase_or_self_fakeout,pass_through,0.0,0.0,loss_of_persistence
q3g3_s2_00027,single_active_1,0.1921788928964783,single_active_2,0.1794632051237729,near_validation_pra,emission,0.0,0.0,weak_or_unclear
q3g3_s2_00028,random_uniform,0.0,random_uniform,0.0,regular_life_like_discovery,emission,0.0,0.0,loss_of_persistence
q3g3_s2_00032,single_active_1,0.3141602967559149,periodic_background_perturbation,0.0194595446256901,local_phase_or_self_fakeout,emission,0.0,0.0,weak_or_unclear
q3g3_s2_00042,random_uniform,0.0,random_uniform,0.0,regular_life_like_discovery,emission,0.0,0.0,loss_of_persistence
q3g3_s2_00075,sparse_active_010,0.1512622173770861,single_active_1,0.0227941223681111,fragile_or_inconclusive,emission,0.0,0.0,weak_or_unclear
q3g3_s2_00078,periodic_background_perturbation,0.353870502923566,short_random_active_block,0.3067869063716804,near_validation_pra,emission,0.0,0.0,weak_or_unclear
