rule_id,stratum,motif_family,mechanism_label_g4,reclassification
q3g3_s1_00009,S1_random_unbiased,local_phase_or_self_fakeout,travelling_identity,symmetric_fakeout
q3g3_s1_00013,S1_random_unbiased,symmetric_control_fakeout,emitter,symmetric_fakeout
q3g3_s1_00018,S1_random_unbiased,regular_life_like_discovery,emitter,self_persistence_fakeout
q3g3_s1_00026,S1_random_unbiased,composition_without_validation,interaction_product,generic_persistence
q3g3_s1_00030,S1_random_unbiased,validation_weak_persistence,travelling_identity,control_adjusted_positive
q3g3_s1_00043,S1_random_unbiased,near_validation_pra,emitter,emission_only
q3g3_s1_00045,S1_random_unbiased,local_phase_or_self_fakeout,travelling_identity,output_distribution_fakeout
q3g3_s1_00105,S1_random_unbiased,regular_life_like_discovery,travelling_identity,symmetric_fakeout
q3g3_s1_00108,S1_random_unbiased,validation_strong_persistence,travelling_identity,control_adjusted_positive
q3g3_s1_00110,S1_random_unbiased,fragile_or_inconclusive,emitter,generic_persistence
q3g3_s1_00114,S1_random_unbiased,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s1_00117,S1_random_unbiased,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s1_00122,S1_random_unbiased,validation_strong_persistence,travelling_identity,control_adjusted_positive
q3g3_s1_00123,S1_random_unbiased,local_phase_or_self_fakeout,emitter,self_persistence_fakeout
q3g3_s1_00133,S1_random_unbiased,fragile_or_inconclusive,travelling_identity,generic_persistence
q3g3_s1_00162,S1_random_unbiased,symmetric_control_fakeout,travelling_identity,symmetric_fakeout
q3g3_s1_00164,S1_random_unbiased,regular_life_like_discovery,emitter,output_distribution_fakeout
q3g3_s1_00175,S1_random_unbiased,local_phase_or_self_fakeout,emitter,generic_persistence
q3g3_s1_00214,S1_random_unbiased,local_phase_or_self_fakeout,emitter,symmetric_fakeout
q3g3_s1_00216,S1_random_unbiased,fragile_or_inconclusive,emitter,generic_persistence
q3g3_s1_00237,S1_random_unbiased,local_phase_or_self_fakeout,travelling_identity,output_distribution_fakeout
q3g3_s2_00000,S2_quiescent_preserving,local_phase_or_self_fakeout,emitter,generic_persistence
