space,rule_id,stratum,target_role,raw_persistence_score,adjusted_persistence,center_only_score,left_removed_score,right_removed_score,symmetrized_rule_score,symbol_phase_only_score,output_distribution_matched_score,stratum_null_persistence_q90,relation_load_bearing_adjusted,asymmetry_load_bearing_adjusted,local_phase_fakeout_rejected,future_distinct_descendant_count_raw,future_distinct_descendant_count_symbol_phase,composition_adjusted_delta,composition_emission_only_flag,interaction_outcome_diversity,matched_control_interaction_diversity,dominant_interaction_outcome,reclassification,recurrence_up_to_shift,motif_material_turnover,pattern_background_contrast,localized_component_lifetime_max,frozen_order_index,chaos_index,future_distinct_descendant_count,post_perturbation_survival_rate,active_fraction_mean,translation_velocity_estimate,period_estimate,collapse_rate,explosion_rate,classification,stage1_score,relation_asymmetry_priority,low_artifact_priority,active_fraction_mean_stage1,output_entropy,depends_center,relation_degree,left_right_asymmetry,temporal_irreversibility_proxy,directional_consequence,activity_density,table_json,table_digest,q,radius,DAR_complete_structural,DAR_asymmetric_structural,dominant_active_neighborhood,dominant_active_neighborhood_count,mechanism_label,symbol_turnover_by_phase_proxy,phase_sequence_length,depends_center_numeric,control_adjusted_positive,adjusted_persistence_positive,relation_positive,asymmetry_positive,composition_positive,non_emission_composition_positive,post_perturbation_survival_above_baseline,pra_positive,all_core_invariants,motif_family,mechanism_label_g4,family_rank_score
q3_radius1,q3g3_s7_00114,S7_symmetric_control,leaked_control,0.1356095265706553,-0.0232196483263427,0.0,0.0099538707532467,0.0006993381787628,0.1360289832392659,0.0,0.0800576475996501,0.158829174896998,0.1256556558174085,-0.0004194566686106,True,64.0,1.0,-0.5,True,-0.0,1.0,emission,symmetric_fakeout,0.4603780110677083,0.5992940266927083,1.0,486.0,0.0004557291666666,0.5067287437307985,64.0,1.0,0.6634221563407396,-0.0072377522786458,0.0,0.0,0.0,emitter_or_generator,0.1436872072878398,0.4310616218635195,0.0749782739550929,0.6317711618623845,1.5012404120907163,True,2,0.0,0.052822756748091,0.0,0.6634221563407396,"[0,2,2,2,1,0,0,2,2,2,2,0,1,0,0,2,2,1,2,0,1,0,0,0,2,1,2]",30de4e25a4d3,3,1,True,False,"(2, 2, 2)",514,emitter-like,0.6124267578125,17,1,False,False,True,False,False,False,False,False,False,chaotic_discovery,emitter,0.10201655082245521
q3_radius1,q3g3_s6_00302,S6_relation_rich_nonchaotic_bias,candidate,0.1354580066594349,-0.0182369644783871,0.0,0.0,0.0,0.0,0.0,0.0918612559224187,0.153694971137822,0.1354580066594349,0.1354580066594349,False,64.0,64.0,1.0,False,1.584962500721156,-0.0,new_motif,generic_persistence,0.9231821695963542,0.2877960205078125,0.8671875,403.0,0.1790364583333333,0.382893005005134,64.0,1.0,0.7786289683559484,-0.0071614583333333,7.875,0.0,0.0,transported_identity,0.1817543981191545,0.6395062156044327,0.1102416903316989,0.660307442631703,1.540709585192697,True,2,0.5185185185185185,0.0279204810891892,0.0,0.7786289683559484,"[0,0,0,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,1,1,1,1,2,2,0,0,2]",4814525c5fbe,3,1,True,True,"(1, 1, 1)",295,travelling,0.3372802734375,17,1,False,False,True,True,True,True,False,False,False,composition_without_validation,interaction_product,0.5026790488404826
q3_radius1,q3r1_s5_0016,S5_asymmetric_neighbor_dependent,anchor,0.1470891682275423,-0.0310790296040054,0.0,0.0003333978238195,0.0020378148279651,0.0259261803949168,0.0,0.1050169590909619,0.1781681978315477,0.1450513533995772,0.1211629878326255,True,64.0,1.0,0.0,True,-0.0,-0.0,emission,generic_persistence,0.7731475830078125,0.2339630126953125,1.0,516.0,0.0141276041666666,0.1023937108432083,64.0,1.0,0.8272249297401671,0.0002187093098958,1.0,0.0,0.0,emitter_or_generator,0.2118019982737935,0.7138511793672301,0.1689289119013586,0.7268002580575905,1.5610150105933087,True,2,0.3703703703703703,0.0151091840450175,0.0,0.8272249297401671,"[0,1,1,1,2,2,0,2,0,0,0,2,2,2,2,0,0,2,2,2,1,2,1,1,0,0,1]",a50a23d92df4,3,1,False,False,"(0, 1, 2)",182,travelling,0.6444091796875,17,1,False,False,True,True,False,False,False,False,False,fragile_or_inconclusive,emitter,0.23513531162819729
q3_radius1,q3g3_s3_00226,S3_sparse_active_preserving,candidate,0.3415022550331041,0.1891515765702541,0.0,0.0,0.0,0.1321744883777614,0.0,0.0083156902459568,0.15235067846285,0.3415022550331041,0.2093277666553427,False,64.0,64.0,0.0,True,-0.0,-0.0,emission,self_persistence_fakeout,0.8302408854166667,0.6520182291666666,1.0,515.0,0.0,0.36932137828908,64.0,1.0,0.5850621967675083,-9.663899739583326e-05,3.0,0.0,0.0,localized_persistence,0.2990093583095806,0.9856234403538028,0.1898931132091164,0.5402062857661266,1.446554269396512,True,2,0.2962962962962963,0.0873258712819189,0.0,0.5850621967675083,"[0,2,2,2,1,1,2,2,0,2,1,2,0,0,1,2,0,0,2,2,2,2,0,0,2,0,0]",76ab17f18138,3,1,True,True,"(2, 2, 2)",304,travelling,0.6455078125,17,1,False,True,True,True,False,False,False,False,False,local_phase_or_self_fakeout,emitter,0.7399815982587009
q3_radius1,q3g3_s2_00078,S2_quiescent_preserving,candidate,0.340233318094681,0.2323467652700346,0.0,0.0,0.0315551299745023,0.0745185377316778,0.0,0.1078865528246463,0.0713591104306952,0.3086781881201786,0.2657147803630032,True,63.0,61.0,-0.5,True,-0.0,1.0,emission,emission_only,0.8090565999348958,0.660858154296875,1.0,516.0,0.0004557291666666,0.3632219842594081,63.0,1.0,0.5749270790501645,-0.00347900390625,3.0,0.0,0.0,localized_persistence,0.3124249464206655,1.0529877823807616,0.1978483152129956,0.5331731120899957,1.5098693043797229,True,2,0.3703703703703703,0.0473785318625935,0.0,0.5749270790501645,"[0,2,2,1,2,2,2,1,0,1,1,2,0,0,2,0,1,0,2,2,2,2,1,2,2,0,0]",f4ffe12dcfb0,3,1,True,True,"(0, 2, 2)",222,travelling,0.6029052734375,17,1,False,True,True,True,False,False,False,True,False,near_validation_pra,emitter,0.8067397337532164
q3_radius1,q3g3_s8_00036,S8_self_only_control,leaked_control,0.0,-0.0787856698390451,0.0,0.0,0.0,0.0,0.0,0.0787856698390451,0.0,0.0,0.0,False,64.0,64.0,0.0,False,1.4591479170272448,1.0,new_motif,self_persistence_fakeout,1.0,0.0,1.0,403.0,1.0,0.2746187726912693,64.0,1.0,0.5667535138641417,0.0,1.0,0.0,0.0,emitter_or_generator,0.0111547116048467,0.0359429596156172,0.0009347198719067,0.4750362351710694,1.579013207279971,True,2,0.2222222222222222,0.0037535862447711,0.0,0.5667535138641417,"[0,0,0,1,1,2,2,2,2,1,0,0,1,1,1,1,2,2,0,0,0,1,1,1,2,2,0]",2ec1fc61a38d,3,1,False,False,"(1, 1, 1)",188,oscillatory,0.1796875,17,1,False,False,False,False,False,False,False,False,False,regular_life_like_discovery,interaction_product,-0.0787856698390451
q3_radius1,q3g3_s7_00013,S7_symmetric_control,leaked_control,0.0008358023576412,-0.0689874066267118,0.0,0.0215092715321033,0.0211843938260883,0.0009155685917438,0.0,0.0532928773063964,0.0698232089843531,-0.0206734691744621,-7.976623410261153e-05,True,64.0,1.0,0.0,True,-0.0,-0.0,emission,symmetric_fakeout,0.9968210856119792,0.0031789143880208,1.0,516.0,0.325390625,0.6444852408502771,64.0,1.0,0.6892569023266173,0.0,4.0,0.0,0.0,emitter_or_generator,0.0135513996625237,0.0406541989875713,0.004098285986244,0.645761452760214,1.5175287893989995,True,2,0.0,0.0425459348668969,0.0,0.6892569023266173,"[0,2,1,1,1,2,0,1,1,2,0,2,1,0,1,1,2,0,1,2,0,2,1,1,1,0,1]",50f125f2293b,3,1,True,False,"(0, 1, 1)",100,emitter-like,0.4298095703125,17,1,False,False,False,False,False,False,False,False,False,symmetric_control_fakeout,emitter,-0.0897406420352765
q3_radius1,q3g3_s4_00147,S4_neighbor_dependent,candidate,0.1645926803474239,0.0453779337003753,0.0,0.000686865490964,0.0,5.269990052555982e-05,0.0,0.1192147466470485,0.0894053997660933,0.1639058148564598,0.1645399804468983,True,64.0,1.0,0.5,False,1.0,1.0,pass_through,control_adjusted_positive,0.7994791666666666,0.2871042887369792,1.0,429.0,0.04921875,0.1541465955544746,64.0,1.0,0.4323381172363598,-0.0065663655598958,0.0,0.0,0.0,transported_identity,0.1920254312185189,0.675645035768863,0.1579364986868636,0.3747151000026599,1.5790132072799707,True,2,0.5185185185185185,0.0037535862447714,0.0,0.4323381172363598,"[0,2,0,0,1,0,2,0,2,1,2,2,1,1,0,0,1,1,2,0,2,1,2,0,1,2,2]",532a87ba53df,3,1,False,False,"(2, 2, 2)",305,travelling,0.2568359375,17,1,True,True,True,True,True,True,False,True,True,validation_composition_overlap,travelling_identity,0.4988237290037334
q3_radius1,q3r1_s1_0002,S1_random_unbiased,anchor,0.1684953302482295,0.0167102825564701,0.0,0.0,0.0941327601351502,0.0009120170341815,0.0,0.0963801042607819,0.1517850476917593,0.0743625701130792,0.1675833132140479,True,64.0,63.0,1.0,False,-0.0,-0.0,new_motif,control_adjusted_positive,0.7268422444661459,0.3586273193359375,1.0,286.5,0.002734375,0.1563100427788835,64.0,1.0,0.5174882676866319,-0.0074564615885416,0.0,0.0,0.0,emitter_or_generator,0.2165221640932746,0.7457985652101682,0.1816530498790594,0.5181749395823201,1.579013207279971,True,2,0.4444444444444444,0.0037535862447711,0.0,0.5174882676866319,"[1,2,1,0,2,2,2,0,0,2,0,0,0,0,1,1,0,1,1,2,1,0,1,0,1,2,2]",161b7b98f66d,3,1,False,False,"(1, 1, 1)",332,travelling,0.4234619140625,17,1,True,True,True,True,True,True,False,True,True,validation_new_motif_overlap,interaction_product,0.5086561658835972
q3_radius1,q3g3_s1_00108,S1_random_unbiased,candidate,0.1881187349806266,0.130251258332268,0.0,0.0078640263974331,0.068860750797516,0.0,0.0,0.0578674766483584,0.0090939701036215,0.1192579841831105,0.1881187349806266,True,60.0,1.0,0.0,False,1.0,1.0,collapse,control_adjusted_positive,0.706146240234375,0.3864288330078125,0.8723958333333333,452.0,0.0446614583333333,0.1772911640547921,60.0,0.9375,0.4848766859821719,-0.0074513753255208,0.25,0.0625,0.0,transported_identity,0.1680880324754019,0.5665189242689471,0.1372338475791983,0.4850245078713977,1.5061046842206038,True,2,0.3703703703703703,0.0497537427318766,0.0,0.4848766859821719,"[2,2,0,0,2,0,0,2,1,1,0,0,1,2,1,2,2,0,2,0,2,0,1,2,0,2,0]",6115159ea575,3,1,True,True,"(2, 2, 2)",174,travelling,0.1251220703125,17,1,True,True,True,True,False,False,False,True,False,validation_strong_persistence,travelling_identity,0.43762797749600507
