world,seed,T,branch_probability,loop_closure_rate,nontrivial_loop_closure_rate,holonomy_diversity_proxy,trivial_closure_rate
W0_null_flat,0,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,1,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,2,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,3,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,4,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,5,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,6,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,7,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,8,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,9,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,10,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,11,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,12,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,13,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,14,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,15,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,16,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,17,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,18,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,19,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,20,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,21,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,22,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,23,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,24,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,25,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,26,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,27,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,28,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,29,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,30,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,31,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,32,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,33,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,34,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,35,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,36,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,37,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,38,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,39,50,0.1,0.0,0.0,0.0,0.0
