world,T,branch_probability,loop_closure_rate,nontrivial_loop_closure_rate,holonomy_diversity_proxy,trivial_closure_rate,attractor_concentration,lock_in_index
W0_null_flat,50,0.1,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,50,0.25,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,100,0.1,0.0,0.0,0.0,0.0,1.0,0.0
W0_null_flat,100,0.25,0.0,0.0,0.0,0.0,1.0,0.0
W1_distinction_only,50,0.1,0.0,0.0,0.0,1.0,1.0,0.1562750704
W1_distinction_only,50,0.25,0.0,0.0,0.0,1.0,1.0,0.15603734399999997
W1_distinction_only,100,0.1,0.0,0.0,0.0,1.0,1.0,0.15627459199999996
W1_distinction_only,100,0.25,0.0,0.0,0.0,1.0,1.0,0.15600575359999996
W2_local_memory_only,50,0.1,0.0,0.0,0.0,1.0,1.0,0.15645175919999998
W2_local_memory_only,50,0.25,0.0,0.0,0.0,1.0,1.0,0.15582489759999998
W2_local_memory_only,100,0.1,0.0,0.0,0.0,1.0,1.0,0.15629847119999998
W2_local_memory_only,100,0.25,0.0,0.0,0.0,1.0,1.0,0.15558374319999999
W3_generic_coupling,50,0.1,0.0,0.0,0.0,1.0,1.0,0.18
W3_generic_coupling,50,0.25,0.0,0.0,0.0,1.0,1.0,0.28
W3_generic_coupling,100,0.1,0.0,0.0,0.0,1.0,1.0,1.0
W3_generic_coupling,100,0.25,0.0,0.0,0.0,1.0,1.0,1.0
W4_random_relation,50,0.1,0.0,0.0,0.0,1.0,1.0,0.15602609679999999
W4_random_relation,50,0.25,0.0,0.0,0.0,1.0,1.0,0.15654677759999996
W4_random_relation,100,0.1,0.0,0.0,0.0,1.0,1.0,0.15587662
W4_random_relation,100,0.25,0.0,0.0,0.0,1.0,1.0,0.15622009439999998
W5_global_commutative_map,50,0.1,0.0,0.0,0.0,1.0,1.0,0.15562955279999996
W5_global_commutative_map,50,0.25,0.0,0.0,0.0,1.0,1.0,0.15620864799999998
W5_global_commutative_map,100,0.1,0.0,0.0,0.0,1.0,1.0,0.15581220559999998
W5_global_commutative_map,100,0.25,0.0,0.0,0.0,1.0,1.0,0.15613050399999998
W6_symmetric_invertible_map,50,0.1,0.0,0.0,0.0,1.0,1.0,0.15574208799999997
W6_symmetric_invertible_map,50,0.25,0.0,0.0,0.0,1.0,1.0,0.15589047679999996
W6_symmetric_invertible_map,100,0.1,0.0,0.0,0.0,1.0,1.0,0.15592063199999998
W6_symmetric_invertible_map,100,0.25,0.0,0.0,0.0,1.0,1.0,0.15572841839999996
W7_lossy_lock_in,50,0.1,0.0,0.0,0.0,1.0,1.0,0.6074
W7_lossy_lock_in,50,0.25,0.0,0.0,0.0,1.0,1.0,0.606052
W7_lossy_lock_in,100,0.1,0.0,0.0,0.0,1.0,1.0,0.606872
W7_lossy_lock_in,100,0.25,0.0,0.0,0.0,1.0,1.0,0.6075160000000001
W8_full_branching_connection_graph,50,0.1,0.0,0.0,0.0,1.0,1.0,0.03132139978661351
W8_full_branching_connection_graph,50,0.25,0.0,0.0,0.0,1.0,1.0,0.03257727813746018
W8_full_branching_connection_graph,100,0.1,0.0,0.0,0.0,1.0,1.0,0.02605026213732317
W8_full_branching_connection_graph,100,0.25,0.0,0.0,0.0,1.0,1.0,0.005978819923391018
W9_noise_rich,50,0.1,0.0,0.0,0.0,1.0,1.0,1.0
W9_noise_rich,50,0.25,0.0,0.0,0.0,1.0,1.0,1.0
W9_noise_rich,100,0.1,0.0,0.0,0.0,1.0,1.0,1.0
W9_noise_rich,100,0.25,0.0,0.0,0.0,1.0,1.0,1.0
