world,T,branch_probability,merge_count,valid_merge_count,transport_conflict_count,transport_conflict_rate
W0_null_flat,50,0.1,0.0,0.0,0.0,0.0
W0_null_flat,50,0.25,0.0,0.0,0.0,0.0
W0_null_flat,100,0.1,0.0,0.0,0.0,0.0
W0_null_flat,100,0.25,0.0,0.0,0.0,0.0
W1_distinction_only,50,0.1,249200.0,0.0,249200.0,1.0
W1_distinction_only,50,0.25,249200.0,0.0,249200.0,1.0
W1_distinction_only,100,0.1,498400.0,0.0,498400.0,1.0
W1_distinction_only,100,0.25,498400.0,0.0,498400.0,1.0
W2_local_memory_only,50,0.1,249200.0,0.0,249200.0,1.0
W2_local_memory_only,50,0.25,249200.0,0.0,249200.0,1.0
W2_local_memory_only,100,0.1,498400.0,0.0,498400.0,1.0
W2_local_memory_only,100,0.25,498400.0,0.0,498400.0,1.0
W3_generic_coupling,50,0.1,32640.0,19.08,32620.92,0.9994150884964881
W3_generic_coupling,50,0.25,32802.98,17.98,32785.0,0.9994516265228839
W3_generic_coupling,100,0.1,32766.92,18.94,32747.98,0.9994220894716235
W3_generic_coupling,100,0.25,32593.64,18.28,32575.36,0.9994392141718383
W4_random_relation,50,0.1,249200.0,0.0,249200.0,1.0
W4_random_relation,50,0.25,249200.0,0.0,249200.0,1.0
W4_random_relation,100,0.1,498400.0,0.0,498400.0,1.0
W4_random_relation,100,0.25,498400.0,0.0,498400.0,1.0
W5_global_commutative_map,50,0.1,249200.0,0.0,249200.0,1.0
W5_global_commutative_map,50,0.25,249200.0,0.0,249200.0,1.0
W5_global_commutative_map,100,0.1,498400.0,0.0,498400.0,1.0
W5_global_commutative_map,100,0.25,498400.0,0.0,498400.0,1.0
W6_symmetric_invertible_map,50,0.1,249200.0,0.0,249200.0,1.0
W6_symmetric_invertible_map,50,0.25,249200.0,0.0,249200.0,1.0
W6_symmetric_invertible_map,100,0.1,498400.0,0.0,498400.0,1.0
W6_symmetric_invertible_map,100,0.25,498400.0,0.0,498400.0,1.0
W7_lossy_lock_in,50,0.1,249200.0,249200.0,0.0,0.0
W7_lossy_lock_in,50,0.25,249200.0,249200.0,0.0,0.0
W7_lossy_lock_in,100,0.1,498400.0,498400.0,0.0,0.0
W7_lossy_lock_in,100,0.25,498400.0,498400.0,0.0,0.0
W8_full_branching_connection_graph,50,0.1,96675.52,0.08,96675.44,0.9999987426854317
W8_full_branching_connection_graph,50,0.25,98462.4,0.88,98461.52,0.9999829257257854
W8_full_branching_connection_graph,100,0.1,110206.64,23.3,110183.34,0.999724666405109
W8_full_branching_connection_graph,100,0.25,112172.18,18.46,112153.72,0.9997887939171671
W9_noise_rich,50,0.1,8953.94,3.18,8950.76,0.9996446935706532
W9_noise_rich,50,0.25,8966.12,3.7,8962.42,0.999587314329974
W9_noise_rich,100,0.1,8953.88,3.58,8950.3,0.999600338298491
W9_noise_rich,100,0.25,8960.18,3.1,8957.08,0.9996542999595497
