world,T,branch_probability,transport_identity_accuracy,transport_failure_rate,mean_transport_depth,transport_survival_to_horizon
W0_null_flat,50,0.1,0.0,1.0,0.0,0.0
W0_null_flat,50,0.25,0.0,1.0,0.0,0.0
W0_null_flat,100,0.1,0.0,1.0,0.0,0.0
W0_null_flat,100,0.25,0.0,1.0,0.0,0.0
W1_distinction_only,50,0.1,1.0,0.0,50.0,1.0
W1_distinction_only,50,0.25,1.0,0.0,50.0,1.0
W1_distinction_only,100,0.1,1.0,0.0,100.0,1.0
W1_distinction_only,100,0.25,1.0,0.0,100.0,1.0
W2_local_memory_only,50,0.1,1.0,0.0,50.0,1.0
W2_local_memory_only,50,0.25,1.0,0.0,50.0,1.0
W2_local_memory_only,100,0.1,1.0,0.0,100.0,1.0
W2_local_memory_only,100,0.25,1.0,0.0,100.0,1.0
W3_generic_coupling,50,0.1,0.00031600000000000004,0.999684,5.652336,0.00031600000000000004
W3_generic_coupling,50,0.25,0.000308,0.999692,5.68584,0.000308
W3_generic_coupling,100,0.1,0.0,1.0,5.6813400000000005,0.0
W3_generic_coupling,100,0.25,0.0,1.0,5.6438120000000005,0.0
W4_random_relation,50,0.1,1.0,0.0,50.0,1.0
W4_random_relation,50,0.25,1.0,0.0,50.0,1.0
W4_random_relation,100,0.1,1.0,0.0,100.0,1.0
W4_random_relation,100,0.25,1.0,0.0,100.0,1.0
W5_global_commutative_map,50,0.1,1.0,0.0,50.0,1.0
W5_global_commutative_map,50,0.25,1.0,0.0,50.0,1.0
W5_global_commutative_map,100,0.1,1.0,0.0,100.0,1.0
W5_global_commutative_map,100,0.25,1.0,0.0,100.0,1.0
W6_symmetric_invertible_map,50,0.1,1.0,0.0,50.0,1.0
W6_symmetric_invertible_map,50,0.25,1.0,0.0,50.0,1.0
W6_symmetric_invertible_map,100,0.1,1.0,0.0,100.0,1.0
W6_symmetric_invertible_map,100,0.25,1.0,0.0,100.0,1.0
W7_lossy_lock_in,50,0.1,1.0,0.0,50.0,1.0
W7_lossy_lock_in,50,0.25,1.0,0.0,50.0,1.0
W7_lossy_lock_in,100,0.1,1.0,0.0,100.0,1.0
W7_lossy_lock_in,100,0.25,1.0,0.0,100.0,1.0
W8_full_branching_connection_graph,50,0.1,0.102356,0.897644,18.59746,0.102356
W8_full_branching_connection_graph,50,0.25,0.11238,0.88762,18.96478,0.11238
W8_full_branching_connection_graph,100,0.1,0.020568,0.9794320000000001,21.367212,0.020568
W8_full_branching_connection_graph,100,0.25,0.016276,0.983724,21.760768,0.016276
W9_noise_rich,50,0.1,0.0,1.0,0.817744,0.0
W9_noise_rich,50,0.25,0.0,1.0,0.820236,0.0
W9_noise_rich,100,0.1,0.0,1.0,0.8174760000000001,0.0
W9_noise_rich,100,0.25,0.0,1.0,0.81894,0.0
