condition,alpha,T,metric,mean,ci_low,ci_high,ci_width
coupled,0.45,900,p_viable_T,0.9988848148148147,0.9988464722222221,0.99893,8.35277777778698e-05
coupled,0.45,1500,p_viable_T,0.9988651851851851,0.9988271944444443,0.9989092592592593,8.206481481498606e-05
coupled,0.45,2400,p_viable_T,0.9988562962962962,0.9988116203703704,0.9988979722222223,8.635185185190686e-05
coupled,0.5,900,p_viable_T,0.9988955555555556,0.9988618518518518,0.9989333518518518,7.150000000000212e-05
coupled,0.5,1500,p_viable_T,0.9989048148148147,0.9988649907407408,0.9989380277777778,7.303703703709363e-05
coupled,0.5,2400,p_viable_T,0.9988885185185186,0.9988447962962962,0.9989235277777777,7.873148148151987e-05
coupled,0.525,900,p_viable_T,0.9989051851851851,0.9988659074074073,0.9989492962962963,8.338888888892448e-05
coupled,0.525,1500,p_viable_T,0.9989099999999999,0.9988692037037037,0.9989506018518518,8.139814814811519e-05
coupled,0.525,2400,p_viable_T,0.9989137037037037,0.9988761018518518,0.99895,7.389814814817708e-05
independent_alpha0,0.45,900,p_viable_T,0.9988674074074074,0.9988264722222222,0.9989061203703704,7.964814814820365e-05
independent_alpha0,0.45,1500,p_viable_T,0.9988825925925925,0.9988410925925926,0.9989264907407407,8.539814814811919e-05
independent_alpha0,0.45,2400,p_viable_T,0.9988585185185185,0.9988132962962962,0.9988924166666667,7.912037037050013e-05
independent_alpha0,0.5,900,p_viable_T,0.998861851851852,0.9988184444444445,0.9989080092592592,8.956481481470213e-05
independent_alpha0,0.5,1500,p_viable_T,0.9988855555555557,0.9988449907407406,0.9989187314814814,7.374074074073533e-05
independent_alpha0,0.5,2400,p_viable_T,0.9988555555555555,0.9988075648148148,0.9988959814814814,8.841666666659087e-05
independent_alpha0,0.525,900,p_viable_T,0.9988470370370371,0.9988060833333332,0.9988845185185184,7.843518518524384e-05
independent_alpha0,0.525,1500,p_viable_T,0.9988755555555555,0.9988350925925924,0.9989109722222221,7.587962962973815e-05
independent_alpha0,0.525,2400,p_viable_T,0.9988366666666667,0.9987937037037038,0.9988791574074074,8.54537037036085e-05
product,0.45,900,p_viable_T,0.9988311111111111,0.9987892222222221,0.9988724722222222,8.32500000000902e-05
product,0.45,1500,p_viable_T,0.998845925925926,0.9988035092592593,0.9988811296296295,7.762037037017944e-05
product,0.45,2400,p_viable_T,0.9988703703703703,0.9988336666666666,0.998911148148148,7.748148148134515e-05
product,0.5,900,p_viable_T,0.9988485185185185,0.9988083055555554,0.9988892962962963,8.099074074086055e-05
product,0.5,1500,p_viable_T,0.9988511111111111,0.9988085185185185,0.9988909722222223,8.24537037038553e-05
product,0.5,2400,p_viable_T,0.9988751851851851,0.9988319537037036,0.9989254351851851,9.348148148147217e-05
product,0.525,900,p_viable_T,0.9988874074074074,0.9988431203703703,0.9989252222222222,8.210185185197894e-05
product,0.525,1500,p_viable_T,0.9988711111111113,0.9988296111111111,0.9989141111111111,8.449999999993185e-05
product,0.525,2400,p_viable_T,0.9988729629629628,0.9988319907407408,0.9989109537037036,7.896296296283634e-05
shuffled,0.45,900,p_viable_T,0.9988477777777778,0.99880275,0.9988889074074074,8.615740740747224e-05
shuffled,0.45,1500,p_viable_T,0.9988566666666667,0.998809787037037,0.9989046944444442,9.490740740714099e-05
shuffled,0.45,2400,p_viable_T,0.9988529629629629,0.9988133333333332,0.9988970555555555,8.372222222230441e-05
shuffled,0.5,900,p_viable_T,0.9988566666666666,0.9988199814814813,0.9988929629629629,7.298148148160433e-05
shuffled,0.5,1500,p_viable_T,0.9988581481481481,0.9988188703703703,0.9989063333333331,8.74629629628032e-05
shuffled,0.5,2400,p_viable_T,0.9988544444444445,0.9988083055555556,0.9988952037037037,8.689814814810681e-05
shuffled,0.525,900,p_viable_T,0.9988655555555557,0.9988229629629629,0.998898537037037,7.557407407410288e-05
shuffled,0.525,1500,p_viable_T,0.9988262962962964,0.9987803703703703,0.9988646388888888,8.426851851850437e-05
shuffled,0.525,2400,p_viable_T,0.9988444444444446,0.9988018333333334,0.9988814814814814,7.96481481479816e-05
time_shuffled,0.45,900,p_viable_T,0.9988862962962964,0.9988472129629629,0.9989262962962964,7.908333333350726e-05
time_shuffled,0.45,1500,p_viable_T,0.998892962962963,0.9988477222222222,0.998927037037037,7.931481481482372e-05
time_shuffled,0.45,2400,p_viable_T,0.9988837037037037,0.9988541944444445,0.9989176203703704,6.342592592589735e-05
time_shuffled,0.5,900,p_viable_T,0.9989211111111109,0.9988836666666666,0.9989606018518519,7.693518518525622e-05
time_shuffled,0.5,1500,p_viable_T,0.9989018518518518,0.9988603703703703,0.9989415,8.112962962969483e-05
time_shuffled,0.5,2400,p_viable_T,0.9989114814814813,0.9988731203703702,0.9989490833333332,7.596296296297211e-05
time_shuffled,0.525,900,p_viable_T,0.9989081481481479,0.9988731388888888,0.9989468611111111,7.37222222222389e-05
time_shuffled,0.525,1500,p_viable_T,0.9989266666666667,0.9988955555555555,0.9989593148148148,6.375925925927728e-05
time_shuffled,0.525,2400,p_viable_T,0.9989296296296298,0.9988916388888889,0.9989638981481481,7.225925925924415e-05
