condition,alpha,T,control,A_past_to_A_future_delta,B_past_to_B_future_delta,component_continuity_balance,component_erasure_score,component_non_erasure
coupled,0.45,900,none,0.8511962294578552,0.4511818587779999,0.5999856293201447,0.4699437765773856,0.5650209263713795
coupled,0.45,900,rigid_collapse,0.8137625455856323,0.23264819383621216,0.41888564825057983,0.71410800964207,0.3523888193042549
coupled,0.45,900,noise_fakeout,-0.0005977023392915726,-0.0003610565618146211,0.999763354222523,1.0,0.4998816771112615
coupled,0.45,900,single_component_erasure,0.8511962294578552,0.23264819383621216,0.38145196437835693,0.7266808923902416,0.3273855359940577
coupled,0.45,900,endpoint_fakeout,0.8223093152046204,0.28799059987068176,0.4656812846660614,0.6497782591712229,0.40795151274741925
coupled,0.45,900,delayed_trap,0.9425685405731201,0.6813660264015198,0.7387974858283997,0.2771177934845762,0.7308398461719117
coupled,0.45,900,component_swap_fakeout,0.8511962294578552,-0.0006203543744049966,0.14818341616773978,1.0,0.07409170808386989
coupled,0.45,1500,none,0.6981476545333862,0.310630202293396,0.6124825477600098,0.5550651781520218,0.5287086848039939
coupled,0.45,1500,rigid_collapse,0.6450875401496887,0.15588869154453278,0.510801151394844,0.7583449038430354,0.3762281237759043
coupled,0.45,1500,noise_fakeout,-1.4627655218646396e-05,-0.0005377702182158828,0.9994768574370028,1.0,0.4997384287185014
coupled,0.45,1500,single_component_erasure,0.6981476545333862,0.15588869154453278,0.45774103701114655,0.7767110001268679,0.34051501844213933
coupled,0.45,1500,endpoint_fakeout,0.6955870985984802,0.1974218338727951,0.5018347352743149,0.7161795636081016,0.3928275858331066
coupled,0.45,1500,delayed_trap,0.8697946667671204,0.5437187552452087,0.6739240884780884,0.37488837766030525,0.6495178554088916
coupled,0.45,1500,component_swap_fakeout,0.6981476545333862,-2.7149819288752042e-05,0.301825195647325,1.0,0.1509125978236625
coupled,0.45,2400,none,0.49031564593315125,0.17541493475437164,0.6850992888212204,0.6422407969043529,0.5214292459584338
coupled,0.45,2400,rigid_collapse,0.429280549287796,0.08440708369016647,0.6551265344023705,0.8033754759441041,0.4258755292291332
coupled,0.45,2400,noise_fakeout,-0.0005091466009616852,-0.0003180397907271981,0.9998088931897655,1.0,0.49990444659488276
coupled,0.45,2400,single_component_erasure,0.49031564593315125,0.08440708369016647,0.5940914377570152,0.8278515393292704,0.38311994921387243
coupled,0.45,2400,endpoint_fakeout,0.5487907528877258,0.15380553901195526,0.6050147861242294,0.7197373712974688,0.4426387074133803
coupled,0.45,2400,delayed_trap,0.7398958206176758,0.3508738577365875,0.6109780371189117,0.5257793760158384,0.5425993305515366
coupled,0.45,2400,component_swap_fakeout,0.49031564593315125,-0.00017907041183207184,0.5095052836550167,1.0,0.25475264182750834
coupled,0.5,900,none,0.8526117205619812,0.48000606894493103,0.6273943483829498,0.4370168068666179,0.595188770758166
coupled,0.5,900,rigid_collapse,0.8151033520698547,0.25318318605422974,0.438079833984375,0.6893851737803529,0.37434733010201104
coupled,0.5,900,noise_fakeout,-0.00036191430990584195,-0.00019986166444141418,0.9998379473545356,1.0,0.4999189736772678
coupled,0.5,900,single_component_erasure,0.8526117205619812,0.25318318605422974,0.40057146549224854,0.7030498409201444,0.34876081228605205
coupled,0.5,900,endpoint_fakeout,0.8265562057495117,0.29618269205093384,0.4696264863014221,0.6416666041695751,0.4139799410659235
coupled,0.5,900,delayed_trap,0.9428791403770447,0.7007609009742737,0.757881760597229,0.2567860810940744,0.7505478397515772
coupled,0.5,900,component_swap_fakeout,0.8526117205619812,-0.00018209450354333967,0.14720618493447546,1.0,0.07360309246723773
coupled,0.5,1500,none,0.693087637424469,0.33892133831977844,0.6458337008953094,0.5109978594060361,0.5674179207446366
coupled,0.5,1500,rigid_collapse,0.6364448070526123,0.17092286050319672,0.5344780534505844,0.7314411892293635,0.40151843211061045
coupled,0.5,1500,noise_fakeout,0.00021084421314299107,-0.0004896948230452836,0.9992994609638117,1.0,0.49964973048190586
coupled,0.5,1500,single_component_erasure,0.693087637424469,0.17092286050319672,0.4778352230787277,0.7533892522764505,0.3622229854011386
coupled,0.5,1500,endpoint_fakeout,0.6841393709182739,0.1989755630493164,0.5148361921310425,0.7091593153274529,0.4028384384017948
coupled,0.5,1500,delayed_trap,0.8660598993301392,0.5562744140625,0.6902145147323608,0.3576952188956505,0.6662596479183551
coupled,0.5,1500,component_swap_fakeout,0.693087637424469,-0.00039609387749806046,0.30651626869803295,1.0,0.15325813434901647
coupled,0.5,2400,none,0.47745880484580994,0.19560109078884125,0.7181422859430313,0.5903288643886073,0.563906710777212
