condition,alpha,T,control,ordered_persistence,horizon_coherence
coupled,0.45,900,none,0.7930921457785493,0.7382292606854997
coupled,0.45,900,rigid_collapse,0.7807788081166412,0.7277437685836862
coupled,0.45,900,noise_fakeout,0.0011727995006367564,0.757342309463994
coupled,0.45,900,single_component_erasure,0.877294934053983,0.748280191424529
coupled,0.45,900,endpoint_fakeout,0.7692698463409519,0.8174514086614557
coupled,0.45,900,delayed_trap,0.9155194816509417,0.8364824218026429
coupled,0.45,900,component_swap_fakeout,0.46054580425455544,0.7752523902549987
coupled,0.45,1500,none,0.6303364441458447,0.7382292606854997
coupled,0.45,1500,rigid_collapse,0.6115956422921348,0.7277437685836862
coupled,0.45,1500,noise_fakeout,0.00857381522655487,0.757342309463994
coupled,0.45,1500,single_component_erasure,0.7079915817497143,0.748280191424529
coupled,0.45,1500,endpoint_fakeout,0.6358787863185474,0.8174514086614557
coupled,0.45,1500,delayed_trap,0.8080221779528074,0.8364824218026429
coupled,0.45,1500,component_swap_fakeout,0.38775496009232785,0.7752523902549987
coupled,0.45,2400,none,0.4296846943131338,0.7382292606854997
coupled,0.45,2400,rigid_collapse,0.4110978805983905,0.7277437685836862
coupled,0.45,2400,noise_fakeout,0.004412810822638373,0.757342309463994
coupled,0.45,2400,single_component_erasure,0.4881911879589704,0.748280191424529
coupled,0.45,2400,endpoint_fakeout,0.5139823405770585,0.8174514086614557
coupled,0.45,2400,delayed_trap,0.6386458404401006,0.8364824218026429
coupled,0.45,2400,component_swap_fakeout,0.27474696074690047,0.7752523902549987
coupled,0.5,900,none,0.799528312908175,0.7420298171709221
coupled,0.5,900,rigid_collapse,0.784060753202842,0.7335517360534528
coupled,0.5,900,noise_fakeout,0.0052583472182353335,0.660381865649642
coupled,0.5,900,single_component_erasure,0.8797869496726586,0.7488813929289175
coupled,0.5,900,endpoint_fakeout,0.7770303482927071,0.8151138104932154
coupled,0.5,900,delayed_trap,0.9272784307637872,0.8417701078257916
coupled,0.5,900,component_swap_fakeout,0.46579456567997113,0.7763896618980514
coupled,0.5,1500,none,0.6366053444799036,0.7420298171709221
coupled,0.5,1500,rigid_collapse,0.6185216028922392,0.7335517360534528
coupled,0.5,1500,noise_fakeout,0.008073789901876202,0.660381865649642
coupled,0.5,1500,single_component_erasure,0.7056312248071966,0.7488813929289175
coupled,0.5,1500,endpoint_fakeout,0.6434721383557189,0.8151138104932154
coupled,0.5,1500,delayed_trap,0.8142587325613325,0.8417701078257916
coupled,0.5,1500,component_swap_fakeout,0.3892965962683472,0.7763896618980514
coupled,0.5,2400,none,0.4378784769602741,0.7420298171709221
coupled,0.5,2400,rigid_collapse,0.41950237260122475,0.7335517360534528
coupled,0.5,2400,noise_fakeout,0.0025897789746522903,0.660381865649642
coupled,0.5,2400,single_component_erasure,0.49091818762826733,0.7488813929289175
coupled,0.5,2400,endpoint_fakeout,0.5161357558099553,0.8151138104932154
coupled,0.5,2400,delayed_trap,0.6558230810139017,0.8417701078257916
coupled,0.5,2400,component_swap_fakeout,0.279129730440521,0.7763896618980514
coupled,0.525,900,none,0.7962971511102902,0.7368065057189641
coupled,0.525,900,rigid_collapse,0.7807747783954255,0.7284722531292647
coupled,0.525,900,noise_fakeout,0.008207261678762734,0.8554008355257614
coupled,0.525,900,single_component_erasure,0.869323164166417,0.7491220010535448
coupled,0.525,900,endpoint_fakeout,0.7649137496288555,0.8239906030525028
coupled,0.525,900,delayed_trap,0.9196245033914844,0.8391561755317538
coupled,0.525,900,component_swap_fakeout,0.457445827856039,0.7735161305708494
